Állomány	Bájt	Látogató	Weboldal
463195	15998416794	24340	233395
364717	12697100533	19703	191308
236328	8865640425	16476	138487
168013	7638581909	14099	112416
133766	7144696643	13998	92086
121124	5395672880	13129	84423
129062	5531380890	13416	84999
169036	6881950628	15627	101216
281330	11248544086	19404	150320
494158	19478513166	27246	239442
821198	32497272221	38825	388627
1141265	44933314145	47935	528284
1287685	48409123150	52526	595127
1300232	52996109390	53044	597117
1233275	49386239812	53347	560780
1254739	53781644809	51802	598703
1226699	51372148082	50269	559785
1130892	44715018478	46514	515560
941634	39994440717	41331	430133
774521	33631679497	36533	352122
685765	28059927310	34197	308724
669047	26474934061	33227	302386
644741	23368763247	32264	293910
581492	21555930399	29158	276246
