datum	pilotaaz	helyezes	hiba	csapat	tipus	motor
1958.10.19	369	6		Temple Buell	Maserati 	Maserati 
1954.07.17	460	11		Sir Jeremy Boles	Connaught 	Lea 
1950.09.03	42	2		Scuderia Ferrari	Ferrari 	Ferrari 
1951.10.28	248		gyújtás	Scuderia Ferrari	Ferrari 	Ferrari 
1951.07.29	721	3		Scuderia Ferrari	Ferrari 	Ferrari 
1951.05.30	167		tengely	Ludson Morris	Kurtis 	Offenhauser 
1957.05.30	645	9		Phillips	Phillips	Offenhauser 
1959.08.02	597	6		Scuderia Centro Sud	Cooper 	Maserati 
1960.05.30	43		gyújtás	Kurtis Kraft	Kurtis 	Offenhauser 
1953.05.30	683	9		JC Agajanian	Kurtis 	Offenhauser 
1950.05.21	625	4		Scuderia Ferrari	Ferrari 	Ferrari 
1957.05.19	83		karambol	Vandervell Products Ltd	Vanwall	Vanwall 
1955.05.22	83	9		Daimler Benz AG	Mercedes 	Mercedes 
1952.05.18	382	2		Ecurie Espadon	Ferrari 	Ferrari 
1959.05.31	19	4		Team Lotus	Lotus 	Climax 
1957.09.08	1	2		Officine Alfieri Maserati	Maserati 	Maserati 
1960.06.06	743		futómû	Team Lotus	Lotus 	Climax 
1954.08.01	759	8		Ecurie Rosier	Ferrari 	Ferrari 
1958.07.06	452		motor	Scuderia Centro Sud	Maserati 	Maserati 
1956.06.03	83	3		Officine Alfieri Maserati	Maserati 	Maserati 
1956.01.22	45	6		Alberto Uria	Maserati 	Maserati 
1960.05.29	115		kizárták	Reventlow Automobiles Inc	Scarab	Scarab 
1956.05.30	445	1		Watson	Watson	Offenhauser 
1960.02.07	150	5		Scuderia Ferrari	Ferrari 	Ferrari 
1956.08.05	238		túlhajtás	Scuderia Centro Sud	Maserati 	Maserati 
1954.01.17	448		pályaelhagyás	Scuderia Ferrari	Ferrari 	Ferrari 
1955.06.05	655		nem rajtolt el	Scuderia Ferrari	Ferrari 	Ferrari 
1952.06.22	606		karambol	Equipe Gordini	Gordini 	Gordini 
1954.09.05	248		kuplung	Officine Alfieri Maserati	Maserati 	Maserati 
1959.08.02	238	7		Owen Racing Organisation	BRM 	BRM 
1957.05.19	238		kiállás	Officine Alfieri Maserati	Maserati 	Maserati 
1957.05.30	96		gázadagoló	Kurtis Kraft	Kurtis 	Offenhauser 
1950.05.13	742	10			Maserati 	Maserati 
1951.07.29	550		motor	Enrico Plate	Maserati 	Maserati 
1958.08.24	452		karambol	Temple Buell	Maserati 	Maserati 
1951.09.16	53		futómû		Ferrari 	Ferrari 
1952.07.06	714	12		Scuderia Marzotto	Ferrari 	Ferrari
1959.07.18	700		kicsúszás	Owen Racing Organisation	BRM 	BRM 
1952.09.07	465		kizárták		HWM	Alta 
1950.05.30	20	2		Lou Moore	Deidt	Offenhauser 
1950.09.03	1		kiesett	Alfa Romeo SpA	Alfa 	Alfa 
1954.07.17	355	15		Gould's Garage (Bristol)	Cooper 	Bristol 
1951.05.30	683		tûz	Carl Marchese	Marchese	Offenhauser 
1958.06.15	178		túlhajtás	Cooper Car Company	Cooper 	Climax 
1954.07.04	379		nem rajtolt el	Officine Alfieri Maserati	Maserati 	Maserati 
1953.07.05	118	12		Ecurie Belge	Connaught 	Lea 
1953.07.18	721	4		Officine Alfieri Maserati	Maserati 	Maserati 
1951.07.01	42	2		Scuderia Ferrari	Ferrari 	Ferrari 
1951.09.16	729	3		Alfa Romeo SpA	Alfa 	Alfa 
1960.07.16	222	4		Cooper Car Company	Cooper 	Climax 
1958.10.19	54		motor	Vandervell Products Ltd	Vanwall	Vanwall 
1957.07.20	178		kuplung	Rob Walker Racing Team	Cooper 	Climax 
1954.07.04	1	1		Daimler Benz AG	Mercedes 	Mercedes 
1954.09.05	316		futómû	Officine Alfieri Maserati	Maserati 	Maserati 
1954.07.17	786		karambol	Rob Walker Racing Team	Connaught 	Lea 
1956.08.05	545		motor	Equipe Gordini	Gordini 	Gordini 
1952.05.18	240		gyújtás	Alfred Dattner	Simca-Gordini 	Gordini
1953.09.13	448	4		Scuderia Ferrari	Ferrari 	Ferrari 
1955.05.22	448		gázadagoló	Vandervell Products Ltd	Vanwall	Vanwall 
1954.06.20	532		motor	Equipe Gordini	Gordini 	Gordini 
1956.08.05	499		kiállás	Gilby Engineering Ltd	Maserati 	Maserati 
1957.07.20	448	3		Scuderia Ferrari	Lancia 	Lancia 
1958.05.26	275	6		Team Lotus	Lotus 	Climax 
1960.05.29	381		kizárták	JB Naylor	JBW	Maserati 
1955.01.16	287	3		Scuderia Ferrari	Ferrari 	Ferrari 
1952.05.30	555	21		Roger Wolcott	Kurtis 	Offenhauser 
1955.05.22	325		kiesett	Officine Alfieri Maserati	Maserati 	Maserati 
1951.10.28	59		motor		Talbot-Lago 	Talbot 
1952.09.07	483		kizárták	Ecurie Francorchamps	Ferrari 	Ferrari 
1956.01.22	599		karambol	Scuderia Ferrari	Ferrari 	Ferrari 
1958.05.18	606		törés	Owen Racing Organisation	BRM 	BRM 
1953.05.30	412	12		Lee Elkins	Kurtis 	Offenhauser 
1954.07.17	692		motor		Connaught 	Lea 
1950.05.13	118	11		Ecurie Belge	Talbot-Lago 	Talbot 
1957.01.13	448		kuplung	Scuderia Ferrari	Lancia 	Lancia 
1952.09.07	735	15		Ecurie Richmond	Cooper 	Bristol 
1958.07.19	178	6		Cooper Car Company	Cooper 	Climax 
1958.10.19	83	1		Vandervell Products Ltd	Vanwall	Vanwall 
1952.05.30	693		differenciálmû	Lee Elkins	Kurtis 	Offenhauser 
1952.07.06	364		kuplung		Alta 	Alta 
1959.09.13	238	7		Owen Racing Organisation	BRM 	BRM 
1954.08.01	153		motor	Hans Klenk-Meteor	Klenk-Meteor	BMW 
1952.08.03	32		olajnyomás	WS Aston	Aston	Butterworth 
1959.05.10	695		karambol	John Fisher	Lotus 	Climax 
1955.01.16	779		karambol	Daimler Benz AG	Mercedes 	Mercedes 
1952.08.03	579		nem rajtolt el		AFM	BMW 
1958.06.15	140		motor	Francesco Godia-Sales	Maserati 	Maserati 
1950.06.18	315	9			Alta 	Alta
1954.07.04	248	5		Officine Alfieri Maserati	Maserati 	Maserati 
1953.07.18	467		karambol	Ecurie Ecosse	Cooper 	Bristol 
1958.08.03	336		motor	Scuderia Centro Sud	Maserati 	Maserati 
1960.06.19	278	6		Equipe Nationale Belge	Cooper 	Climax 
1956.08.05	654		kiesett	Scuderia Ferrari	Lancia 	Lancia 
1960.11.20	381		motor	JB Naylor	JBW	Maserati 
1956.07.14	325	7		Officine Alfieri Maserati	Maserati 	Maserati 
1954.05.31	683	12		Kuzma	Kuzma	Offenhauser 
1954.08.01	83		motor	Officine Alfieri Maserati	Maserati 	Maserati 
1952.05.30	421	3		Ed Walsh	Kurtis 	Offenhauser 
1958.07.06	275		motor	Team Lotus	Lotus 	Climax 
1954.07.17	193		kiesett	Scuderia Ambrosiana	Ferrari 	Ferrari 
1958.05.18	157		kizárták		Maserati 	Maserati 
1959.05.30	411	7		Leader Cards Inc	Kurtis 	Offenhauser 
1950.05.30	139	14		Jack Hinkle	Kurtis 	Offenhauser 
1959.05.30	622		gyújtás	Kuzma	Kuzma	Offenhauser 
1953.05.30	577	8		HA Chapman	Stevens	Offenhauser 
1953.05.30	33		karambol	Federal Auto Associates	Kurtis 	Offenhauser 
1953.07.05	1	2		Officine Alfieri Maserati	Maserati 	Maserati 
1960.07.03	19	7		Team Lotus	Lotus 	Climax 
1952.07.19	675		törés	Escuderia Bandeirantes	Maserati 	Maserati
1951.07.29	438		sebességváltó		Talbot-Lago 	Talbot 
1957.07.20	83		kiesett	Vandervell Products Ltd	Vanwall	Vanwall 
1957.08.18	394	5		Vandervell Products Ltd	Vanwall	Vanwall 
1953.08.02	560		kiesett	Ecurie Espadon	Ferrari 	Ferrari 
1957.07.07	599	3		Scuderia Ferrari	Lancia 	Lancia 
1951.05.27	472	14		Ecurie Belgique	Talbot-Lago 	Talbot 
1952.07.19	335		törés	Ecurie Espadon	Ferrari 	Ferrari
1953.07.18	419	3		Scuderia Ferrari	Ferrari 	Ferrari 
1959.05.30	686		karambol	Lesovsky	Lesovsky	Offenhauser 
1952.06.22	83		motor	ERA Ltd	ERA 	Bristol 
1953.05.30	683		benzinfolyás	JC Agajanian	Kurtis 	Offenhauser 
1954.08.22	779		benzinbefecskendezõ	Daimler Benz AG	Mercedes 	Mercedes 
1951.10.28	721	2		Scuderia Ferrari	Ferrari 	Ferrari 
1951.07.01	42		sebességváltó	Scuderia Ferrari	Ferrari 	Ferrari 
1954.09.05	379	9		Officine Alfieri Maserati	Maserati 	Maserati 
1957.07.20	121	8		Gilby Engineering Ltd	Maserati 	Maserati 
1959.07.05	606		dugattyú	Scuderia Ferrari	Ferrari 	Ferrari 
1960.07.03	597	10		Scuderia Centro Sud	Cooper 	Maserati 
1953.05.30	144	11		Jean Marcenac	Kurtis 	Novi 
1955.07.16	197		karambol		Connaught 	Alta 
1952.09.07	655	7		Scuderia Ferrari	Ferrari 	Ferrari 
1950.05.30	698		olajfolyás	Kurtis Kraft	Kurtis 	Offenhauser 
1956.05.13	238		karambol	Vandervell Products Ltd	Vanwall	Vanwall 
1953.08.23	111		sebességváltó	Equipe Gordini	Gordini 	Gordini 
1954.08.01	587		sebességváltó	Equipe Gordini	Gordini 	Gordini 
1958.08.03	295		kiállás	Rob Walker Racing Team	Cooper 	Climax 
1953.01.18	448	4		Scuderia Ferrari	Ferrari 	Ferrari 
1954.07.17	606		sebességváltó	Equipe Gordini	Gordini 	Gordini 
1952.09.07	675	11		Escuderia Bandeirantes	Maserati 	Maserati
1952.07.19	550	19		Enrico Plate	Maserati 	Plate 
1959.08.02	111	4		Rob Walker Racing Team	Cooper 	Climax 
1950.07.02	438	5			Talbot-Lago 	Talbot 
1959.05.31	606	5		Scuderia Ferrari	Ferrari 	Ferrari 
1950.07.02	463	6			Talbot-Lago 	Talbot 
1954.01.17	419	2		Scuderia Ferrari	Ferrari 	Ferrari 
1960.09.04	553		olajfolyás	Scuderia Castellotti	Cooper 	Castellotti 
1959.07.18	452		gyújtás	David Brown Corporation	Aston 	Aston 
1960.05.30	800	1		Watson	Watson	Offenhauser 
1956.08.05	526		nem rajtolt el	Luigi Piotti	Maserati 	Maserati 
1952.08.03	466		kiállás	Ecurie Espadon	Ferrari 	Ferrari
1953.08.02	767		kiállás	Connaught Engineering	Connaught 	Lea 
1956.07.14	606	3		Officine Alfieri Maserati	Maserati 	Maserati 
1953.07.05	42	4		Scuderia Ferrari	Ferrari 	Ferrari 
1957.07.20	316	2		Scuderia Ferrari	Lancia 	Lancia 
1956.08.05	316		kiesett	Scuderia Ferrari	Lancia 	Lancia 
1956.09.02	606		kiesett	Officine Alfieri Maserati	Maserati 	Maserati 
1958.10.19	396		karambol	Rob Walker Racing Team	Cooper 	Climax 
1955.06.05	83	2		Daimler Benz AG	Mercedes 	Mercedes 
1952.09.07	550		kizárták	Enrico Plate	Maserati 	Plate 
1960.02.07	553	13			Maserati 	Maserati 
1952.09.07	599		kizárták	HW Motors	HWM	Alta 
1956.07.14	784	4		Connaught Engineering	Connaught 	Alta 
