datum	nev	helyszin
1994.05.15	Monacoi	Monaco
1979.07.14	Brit	Nagy-Britannia
1976.07.18	Brit	Nagy-Britannia
1994.07.31	Német	Németország
1978.09.10	Olasz	Olaszország
1976.08.15	Osztrák	Ausztria
2006.10.08	Japán	Japán
1952.05.18	Svájci	Svájc
1983.08.14	Osztrák	Ausztria
1993.05.23	Monacoi	Monaco
2004.05.30	Európa	Németország
1950.05.21	Monacoi	Monaco
1987.06.21	USA	USA
1955.05.30	Indy 500	USA
1993.07.25	Német	Németország
1974.07.07	Francia	Franciaország
1975.06.22	Holland	Hollandia
2001.10.14	Japán	Japán
1979.02.04	Brazil	Brazília
1976.08.29	Holland	Hollandia
1999.09.26	Európa	Németország
1954.09.05	Olasz	Olaszország
1992.11.08	Ausztrál	Ausztrália
1994.04.17	Japán	Japán
1976.03.28	USA	USA
1983.09.25	Európa	Nagy-Britannia
1989.10.22	Japán	Japán
1977.08.14	Osztrák	Ausztria
2002.03.31	Brazil	Brazília
1995.11.12	Ausztrál	Ausztrália
1974.10.06	USA	USA
1957.05.19	Monacoi	Monaco
1991.05.12	Monacoi	Monaco
1962.07.21	Brit	Nagy-Britannia
1985.10.19	Dél-Afrikai	Dél-Afrika
1985.11.03	Ausztrál	Ausztrália
1995.06.11	Kanadai	Kanada
1954.07.04	Francia	Franciaország
1957.07.20	Brit	Nagy-Britannia
2004.10.10	Japán	Japán
1984.09.09	Olasz	Olaszország
1992.09.27	Portugál	Portugália
1982.06.06	USA	USA
1959.08.02	Német	Németország
2006.03.19	Maláj	Malaysia
1981.04.12	Argentín	Argentína
2005.08.21	Török	Törökország
1999.10.31	Japán	Japán
1980.01.27	Brazil	Brazília
1978.10.01	USA	USA
2001.07.15	Brit	Nagy-Britannia
1999.05.30	Spanyol	Spanyolország
1963.10.27	Mexikói	Mexikó
1982.01.23	Dél-Afrikai	Dél-Afrika
1987.05.17	Belga	Belgium
1999.06.27	Francia	Franciaország
1979.05.27	Monacoi	Monaco
1964.10.04	USA	USA
1991.03.10	USA	USA
1994.06.12	Kanadai	Kanada
2006.03.12	Bahreini	Bahrain
2001.04.29	Spanyol	Spanyolország
2005.05.08	Spanyol	Spanyolország
1979.09.30	Kanadai	Kanada
2000.07.30	Német	Németország
1999.10.17	Maláj	Malaysia
1987.09.06	Olasz	Olaszország
1979.07.29	Német	Németország
1951.10.28	Spanyol	Spanyolország
1992.06.14	Kanadai	Kanada
2006.08.06	Magyar	Magyarország
2002.03.17	Maláj	Malaysia
1956.07.14	Brit	Nagy-Britannia
1961.08.06	Német	Németország
2005.06.12	Kanadai	Kanada
1954.10.24	Spanyol	Spanyolország
1983.05.01	San Marinoi	San Marino
1989.07.16	Brit	Nagy-Britannia
1964.05.10	Monacoi	Monaco
1974.06.09	Svéd	Svédország
2004.05.23	Monacoi	Monaco
2003.10.12	Japán	Japán
2003.04.20	San Marinoi	San Marino
2006.09.10	Olasz	Olaszország
1999.05.16	Monacoi	Monaco
2004.06.13	Kanadai	Kanada
1999.07.25	Osztrák	Ausztria
1952.07.19	Brit	Nagy-Britannia
1964.08.23	Osztrák	Ausztria
2001.06.10	Kanadai	Kanada
1982.05.09	Belga	Belgium
1977.01.09	Argentín	Argentína
1959.09.13	Olasz	Olaszország
1959.05.31	Holland	Hollandia
1980.08.10	Német	Németország
1986.06.15	Kanadai	Kanada
1983.10.15	Dél-Afrikai	Dél-Afrika
2001.06.24	Európa	Németország
1962.06.03	Monacoi	Monaco
1978.06.17	Svéd	Svédország
2001.09.16	Olasz	Olaszország
1980.01.13	Argentín	Argentína
1980.08.31	Holland	Hollandia
1996.09.22	Portugál	Portugália
1992.05.03	Spanyol	Spanyolország
1965.06.27	Francia	Franciaország
1996.06.02	Spanyol	Spanyolország
2002.07.07	Brit	Nagy-Britannia
1984.07.22	Brit	Nagy-Britannia
1954.01.17	Argentín	Argentína
1965.01.01	Dél-Afrikai	Dél-Afrika
1970.05.10	Monacoi	Monaco
1973.02.11	Brazil	Brazília
1986.04.13	Spanyol	Spanyolország
1983.05.22	Belga	Belgium
1982.09.12	Olasz	Olaszország
1970.10.25	Mexikói	Mexikó
1957.09.08	Olasz	Olaszország
2005.09.04	Olasz	Olaszország
1965.05.30	Monacoi	Monaco
1990.09.09	Olasz	Olaszország
1953.01.18	Argentín	Argentína
1982.08.08	Német	Németország
1987.07.26	Német	Németország
2003.09.28	USA	USA
1976.10.03	Kanadai	Kanada
1996.06.30	Francia	Franciaország
1980.03.01	Dél-Afrikai	Dél-Afrika
1982.09.25	USA	USA
