ermeid	cimlet	tomeg	darab	kiadas	bevonas
1	1	1,50	227158000	1946.08.01	1995.06.30
2	1	1,40	431890120	1967.05.12	1995.06.30
3	1	2,05	483371015	1993.03.29	2008.02.28
4	2	2,80	13500000	1946.08.01	1951.11.30
5	2	5,00	57528000	1950.01.20	1971.06.30
6	2	4,44	303208159	1970.07.01	1995.06.30
7	2	3,10	467772105	1993.03.29	2008.02.28
8	5	20,00	39802	1946.08.01	1977.06.30
10	5	12,00	10004252	1947.05.19	1977.06.30
11	5	7,40	20029200	1967.05.12	1972.06.30
12	5	5,73	58284387	1971.08.02	1987.03.31
13	5	5,00	109668035	1983.04.18	1995.06.30
14	5	4,20	197772300	1993.06.21	
15	10	8,83	66130376	1971.06.01	1987.03.31
16	10	6,10	108330025	1983.04.18	1995.06.30
17	10	6,10	158688505	1993.06.21	
18	20	7,06	108792015	1983.04.18	1995.06.30
19	20	6,90	171477005	1993.03.29	
20	50	7,70	65406505	1993.03.29	
21	100	9,40	42573505	1993.06.21	1998.12.31
22	100	8,00	155073000	1996.10.21	
23	200	12,00	11250014	1992.12.01	1998.04.03
