	Győr		Árpás		Vág		Ragyogóhíd			Készültségi fok	Győr	Árpás	Vág	Ragyogóhíd
Időpont	vízszint	fokozat	vízszint	fokozat	vízszint	fokozat	vízszint	fokozat		I. fok	500	320	250	150
2009.06.18	168		-78		-84		-102			II. fok	600	420	300	250
2009.06.19	178		-71		-82		-101			III. fok	650	480	350	300
2009.06.20	164		-79		-87		-108			Átlagos magasság				
2009.06.21	225		-79		-88		-109			Maximális magasság				
2009.06.22	266		-68		-63		-69			Időpontja				
2009.06.23	232		-45		-64		-86							
2009.06.24	379		-47		-55		-83							
2009.06.25	530		-13		-33		-29							
2009.06.26	592		116		62		50							
2009.06.27	631		184		96		76							
2009.06.28	633		225		120		183							
2009.06.29	612		337		294		295							
2009.06.30	607		376		347		313							
2009.07.01	622		432		350		301							
2009.07.02	624		440		325		281							
2009.07.03	586		434		332		282							
2009.07.04	539		434		315		228							
2009.07.05	506		415		193		133							
2009.07.06	470		282		124		79							
2009.07.07	423		193		90		60							
2009.07.08	419		165		71		45							
2009.07.09	414		144		55		23							
2009.07.10	404		112		35		7							
2009.07.11	342		94		29		-1							
2009.07.12	310		90		29		5							
2009.07.13	287		72		12		-13							
2009.07.14	261		50		1		-25							
2009.07.15	237		36		-9		-34							
2009.07.16	237		25		-13		-37							
2009.07.17	228		18		-18		-33							
2009.07.18	243		94		36		15							
2009.07.19	267		43		-6		-31							
2009.07.20	394		60		29		22							
2009.07.21	380		128		62		51							
2009.07.22	353		139		39		11							
2009.07.23	306		69		11		-8							
2009.07.24	269		53		-1		-20							
2009.07.25	260		34		-12		-31							
2009.07.26	275		25		-15		-39							
2009.07.27	276		34		-3		-27							
2009.07.28	240		17		-23		-47							
2009.07.29	217		9		-31		-53							
2009.07.30	214		-6		-37		-56							
2009.07.31	194		-8		-40		-60							
2009.08.01	189		-12		-48		-63							
2009.08.02	187		-11		-41		-61							
2009.08.03	171		-24		-50		-68							
2009.08.04	164		-28		-52		-72							
2009.08.05	231		-28		-46		-59							
2009.08.06	364		84		44		31							
2009.08.07	292		129		74		61							
2009.08.08	271		166		91		72							
2009.08.09	256		82		15		-7							
2009.08.10	221		59		11		-7							
2009.08.11	213		60		4		-13							
2009.08.12	227		40		-3		-12							
2009.08.13	240		105		48		21							
2009.08.14	225		49		-4		-26							
2009.08.15	208		27		-15		-21							
2009.08.16	218		94		47		37							
2009.08.17	229		87		14		-12							
2009.08.18	185		32		-13		-33							
2009.08.19	172		14		-24		-41							
2009.08.20	165		9		-29		-48							
2009.08.21	164		-5		-38		-58							
2009.08.22	140		-16		-45		-64							
2009.08.23	146		-22		-50		-67							
2009.08.24	151		-23		-43		-47							
2009.08.25	172		45		-8		-28							
2009.08.26	156		2		-36		-52							
2009.08.27	140		-12		-46		-61							
2009.08.28	133		-22		-54		-69							
2009.08.29	127		-27		-60		-62							
2009.08.30	151		0		-35		-55							
2009.08.31	194		46		15		9							
2009.09.01	181		38		-13		-32							
2009.09.02	150		4		-36		-52							
2009.09.03	136		-12		-46		-59							
2009.09.04	132		-19		-51		-65							
2009.09.05	148		-20		-51		-66							
2009.09.06	232		7		-4		5							
2009.09.07	241		104		47		41							
2009.09.08	219		133		71		58							
2009.09.09	207		70		7		-11							
2009.09.10	175		34		-9		-27							
2009.09.11	161		21		-18		-36							
2009.09.12	151		3		-30		-49							
2009.09.13	166		-4		-36		-54							
2009.09.14	159		-11		-39		-54							
2009.09.15	148		-7		-33		-44							
2009.09.16	179		64		21		0							
2009.09.17	183		37		-9		-23							
2009.09.18	171		20		-21		-38							
2009.09.19	167		11		-22		-21							
2009.09.20	178		71		17		-6							
2009.09.21	170		29		-15		-32							
2009.09.22	153		14		-25		-41							
2009.09.23	143		1		-35		-51							
2009.09.24	138		-7		-40		-56							
2009.09.25	136		-14		-45		-59							
2009.09.26	131		-18		-49		-63							
2009.09.27	125		-21		-51		-66							
2009.09.28	123		-25		-55		-70							
2009.09.29	120		-29		-58		-72							
2009.09.30	117		-32		-60		-74							
2009.10.01	117		-34		-63		-77							
2009.10.02	115		-36		-64		-78							
2009.10.03	113		-40		-65		-74							
2009.10.04	117		-31		-61		-77							
2009.10.05	114		-37		-65		-83							
2009.10.06	106		-39		-66		-87							
2009.10.07	99		-44		-70		-89							
2009.10.08	95		-45		-70		-91							
2009.10.09	91		-48		-73		-92							
2009.10.10	88		-46		-72		-93							
2009.10.11	86		-52		-74		-88							
2009.10.12	89		-38		-62		-74							
2009.10.13	112		4		-38		-55							
2009.10.14	124		2		-25		-42							
2009.10.15	139		-1		-49		-72							
2009.10.16	124		-23		-56		-81							
2009.10.17	115		-31		-60		-86							
2009.10.18	112		-39		-67		-90							
2009.10.19	118		-40		-68		-94							
2009.10.20	121		-40		-67		-93							
2009.10.21	122		-46		-72		-92							
2009.10.22	119		-47		-73		-94							
2009.10.23	112		-49		-76		-92							
2009.10.24	126		-45		-72		-94							
2009.10.25	141		-48		-71		-91							
2009.10.26	147		-43		-68		-86							
2009.10.27	143		-40		-68		-84							
2009.10.28	129		-46		-73		-85							
2009.10.29	128		-48		-74		-87							
2009.10.30	117		-49		-75		-89							
2009.10.31	112		-51		-76		-90							
2009.11.01	100		-52		-77		-92							
2009.11.02	95		-53		-78		-95							
2009.11.03	97		-53		-78		-89							
2009.11.04	105		-50		-74		-86							
2009.11.05	136		-23		-52		-67							
2009.11.06	148		-18		-51		-68							
2009.11.07	150		-8		-45		-65							
2009.11.08	136		-16		-45		-61							
2009.11.09	137		7		-22		-43							
2009.11.10	137		4		-28		-39							
2009.11.11	142		49		0		-22							
2009.11.12	149		18		-23		-46							
2009.11.13	141		-1		-38		-56							
2009.11.14	134		-10		-44		-63							
2009.11.15	127		-18		-50		-68							
2009.11.16	119		-22		-53		-71							
2009.11.17	116		-26		-56		-74							
2009.11.18	113		-28		-58		-76							
2009.11.19	111		-31		-60		-78							
2009.11.20	114		-32		-62		-78							
2009.11.21	113		-34		-63		-80							
2009.11.22	107		-37		-64		-82							
2009.11.23	102		-39		-66		-85							
2009.11.24	100		-40		-67		-86							
2009.11.25	105		-39		-64		-80							
2009.11.26	103		-37		-66		-83							
2009.11.27	103		-40		-68		-86							
2009.11.28	102		-45		-72		-87							
2009.11.29	95		-46		-72		-88							
2009.11.30	94		-46		-69		-84							
2009.12.01	96		-44		-71		-85							
2009.12.02	104		-42		-69		-85							
2009.12.03	112		-31		-44		-45							
2009.12.04	146		42		-8		-29							
2009.12.05	141		5		-36		-56							
2009.12.06	126		-12		-45		-64							
2009.12.07	121		-19		-51		-70							
2009.12.08	117		-25		-55		-74							
2009.12.09	120		-28		-57		-72							
2009.12.10	127		-21		-38		-46							
2009.12.11	151		7		-35		-54							
2009.12.12	161		-13		-46		-63							
2009.12.13	178		-20		-50		-69							
2009.12.14	172		-25		-55		-74							
2009.12.15	158		-30		-58		-77							
2009.12.16	144		-30		-59		-80							
2009.12.17	136		-33		-60		-79							
2009.12.18	130		-35		-63		-81							
2009.12.19	122		-36		-67		-83							
2009.12.20	113		-50		-86		-89							
2009.12.21	110		-62		-94		-54							
2009.12.22	126		-4		-83		-50							
2009.12.23	116		-45		-72		-89							
2009.12.24	118		-34		-57		-73							
2009.12.25	125		-15		-38		-50							
2009.12.26	149		11		-25		-46							
2009.12.27	172		46		22		16							
2009.12.28	198		123		58		40							
2009.12.29	189		61		11		-19							
2009.12.30	167		29		-11		-37							
2009.12.31	156		12		-22		-48							
2010.01.01	147		1		-28		-54							
2010.01.02	153		-5		-32		-57							
2010.01.03	168		-11		-35		-63							
2010.01.04	162		-16		-40		-68							
2010.01.05	148		-23		-52		-74							
2010.01.06	139		-28		-56		-77							
2010.01.07	137		-28		-55		-77							
2010.01.08	136		-28		-49		-77							
2010.01.09	137		-28		-55		-76							
2010.01.10	133		-22		-48		-68							
2010.01.11	143		16		-5		-11							
2010.01.12	163		53		0		-16							
2010.01.13	158		28		-14		-36							
2010.01.14	149		11		-27		-49							
2010.01.15	142		-1		-36		-58							
2010.01.16	135		-9		-41		-63							
2010.01.17	129		-15		-47		-69							
2010.01.18	126		-19		-50		-71							
2010.01.19	124		-24		-53		-74							
2010.01.20	126		-25		-53		-74							
2010.01.21	129		-27		-53		-74							
2010.01.22	128		-27		-54		-76							
2010.01.23	123		-30		-57		-80							
2010.01.24	117		-29		-61		-83							
2010.01.25	110		-36		-62		-83							
2010.01.26	109		-39		-63		-88							
2010.01.27	103		-40		-74		-79							
2010.01.28	121		-49		-82		-84							
2010.01.29	125		-51		-78		-77							
2010.01.30	124		-47		-69		-85							
2010.01.31	124		-41		-63		-83							
2010.02.01	113		-37		-64		-78							
2010.02.02	108		-42		-65		-85							
2010.02.03	102		-50		-71		-86							
2010.02.04	100		-49		-70		-87							
2010.02.05	101		-46		-69		-86							
2010.02.06	107		-45		-67		-83							
