tancid	ferfiid	noid
1	638	596
1	345	648
1	236	268
1	550	589
1	511	486
1	424	491
1	151	380
2	511	596
2	151	382
2	424	204
2	236	32
2	175	268
2	345	197
2	638	589
2	611	491
2	492	380
3	151	365
3	175	496
3	236	589
3	492	486
3	511	273
3	611	526
4	611	539
4	151	648
4	638	382
4	175	486
4	345	610
4	550	589
4	492	197
4	236	496
5	550	382
5	175	204
5	611	526
5	345	486
5	151	496
5	511	273
5	492	380
5	638	610
5	236	268
6	424	382
6	611	365
6	511	496
6	236	589
6	638	486
6	151	491
6	492	380
7	611	596
7	175	380
7	236	610
7	638	197
7	151	382
7	511	496
7	345	365
7	550	491
8	236	204
8	511	365
8	638	648
8	492	589
8	151	486
8	175	539
8	424	273
8	550	491
8	345	526
9	175	204
9	236	32
9	345	648
9	424	197
9	511	491
9	550	526
10	345	596
10	550	382
10	611	204
10	638	365
10	236	648
10	424	197
10	492	491
10	151	526
10	175	380
11	175	204
11	345	496
11	638	268
11	492	197
11	151	486
11	424	273
12	151	526
12	175	382
12	492	496
12	550	273
12	511	610
12	638	32
12	345	486
12	236	648
13	18	219
13	347	596
13	386	436
13	328	451
13	162	61
13	501	15
13	398	558
13	590	607
13	184	39
13	153	490
14	153	219
14	162	596
14	184	436
14	201	451
14	328	599
14	347	308
14	386	170
14	398	607
14	501	490
15	184	436
15	590	15
15	386	170
15	153	39
15	162	558
15	347	94
15	201	61
15	328	596
15	398	599
16	153	219
16	590	599
16	347	308
16	386	61
16	184	558
16	398	39
16	328	490
17	18	596
17	501	451
17	347	607
17	153	308
17	328	219
17	201	558
17	184	94
17	162	39
17	590	648
17	398	15
17	386	61
18	153	61
18	398	94
18	184	39
18	162	170
18	386	607
18	501	648
18	328	490
18	590	219
18	18	596
18	347	558
19	18	490
19	398	219
19	153	94
19	162	607
19	347	558
19	590	599
19	184	15
19	328	451
19	501	61
20	153	596
20	162	436
20	184	451
20	328	599
20	347	558
20	386	607
20	501	490
21	162	436
21	398	599
21	590	308
21	153	61
21	184	170
21	386	558
21	347	39
22	162	308
22	201	94
22	184	170
22	153	648
22	386	558
22	328	607
22	18	61
22	398	436
22	590	596
23	26	472
23	319	225
23	391	146
23	327	218
23	338	589
23	385	471
24	319	63
24	26	186
24	375	589
24	338	82
24	391	189
24	327	471
25	338	35
25	26	63
25	385	82
25	327	186
25	391	189
25	153	454
25	319	472
26	375	35
26	385	63
26	338	146
26	391	186
26	319	189
26	227	225
26	153	454
26	26	471
26	327	472
27	375	454
27	338	589
27	327	63
27	26	218
27	391	186
27	319	35
28	26	35
28	227	63
28	327	82
28	153	146
28	391	186
28	338	189
28	319	218
28	385	454
28	375	471
29	338	589
29	26	472
29	385	63
29	227	186
29	319	189
29	375	454
29	391	82
29	153	146
30	153	189
30	227	472
30	385	35
30	26	218
30	375	589
30	327	82
30	319	186
30	338	63
30	391	225
31	327	82
31	153	472
31	375	218
31	338	589
31	26	146
31	391	186
31	227	189
31	385	63
31	319	225
32	338	218
32	375	471
32	153	589
32	319	225
32	327	146
32	26	189
32	385	63
32	227	472
32	391	35
33	26	35
33	319	82
33	327	146
33	338	186
33	375	225
33	385	471
34	391	472
34	26	589
34	385	35
34	327	63
34	319	225
34	227	146
34	375	186
34	338	218
34	153	82
35	153	472
35	338	471
35	391	589
35	385	82
35	227	63
35	375	186
35	319	146
35	327	225
36	26	63
36	227	189
36	319	218
36	338	225
36	385	454
36	391	471
36	327	472
37	385	35
37	327	63
37	26	146
37	227	186
37	391	189
37	338	218
37	319	454
37	153	471
38	391	82
38	375	146
38	338	218
38	385	225
38	227	454
38	153	472
39	375	589
39	391	189
39	153	225
39	227	471
39	385	186
39	26	63
39	327	35
39	338	146
40	9	115
40	120	640
40	327	462
40	473	71
40	501	113
40	582	648
41	150	462
41	501	623
41	602	134
41	638	617
41	305	648
41	327	453
41	9	600
42	638	462
42	150	555
42	582	113
42	473	600
42	9	433
42	305	109
42	501	430
42	602	617
42	120	115
43	120	555
43	327	109
43	305	640
43	473	71
43	582	536
43	638	617
43	150	98
43	9	600
44	120	555
44	9	109
44	582	640
44	638	430
44	602	623
44	473	617
44	150	264
44	327	453
45	501	555
45	582	115
45	305	109
45	150	430
45	602	462
45	638	623
45	120	536
45	9	98
46	582	617
46	305	453
46	120	536
46	501	433
46	602	430
46	473	462
46	9	648
46	638	555
46	150	640
47	9	109
47	638	433
47	305	617
47	327	134
47	501	430
47	602	115
47	120	555
48	120	115
48	150	430
48	473	462
48	501	623
48	582	134
48	602	648
49	501	462
49	150	623
49	9	555
49	473	134
49	582	433
49	305	648
49	638	109
49	327	600
49	120	640
49	602	98
50	582	536
50	9	433
50	150	648
50	638	264
50	120	134
50	305	640
50	501	462
50	473	98
50	602	600
51	626	143
51	325	149
51	381	494
51	638	506
51	297	526
51	415	557
52	408	471
52	626	557
52	503	607
52	638	300
52	381	641
52	297	149
53	297	143
53	503	149
53	638	300
53	408	471
53	415	494
53	325	526
53	626	557
53	381	607
54	297	149
54	408	300
54	415	494
54	325	506
54	626	557
54	638	607
55	408	607
55	381	143
55	297	506
55	626	494
55	325	149
55	638	557
55	503	300
55	415	641
56	638	607
56	626	526
56	381	300
56	297	494
56	415	641
56	408	557
56	503	471
56	325	149
57	638	471
57	408	526
57	297	607
57	503	149
57	415	641
57	626	494
57	325	143
58	381	143
58	638	471
58	408	607
58	325	557
58	503	149
58	297	641
58	626	506
58	415	494
59	325	506
59	626	143
59	408	526
59	381	641
59	297	471
59	638	494
60	503	143
60	408	557
60	297	526
60	638	471
60	381	506
60	325	641
60	626	494
61	381	300
61	638	641
61	297	557
61	503	494
61	408	149
61	626	471
62	297	506
62	381	149
62	503	494
62	638	641
62	626	471
62	325	143
62	415	557
62	408	607
63	19	102
63	27	189
63	48	210
63	50	332
63	379	399
63	403	537
63	601	577
64	10	431
64	19	577
64	27	102
64	48	189
64	50	329
64	65	594
64	322	332
64	517	537
64	601	399
65	27	189
65	65	577
65	379	210
65	616	102
65	261	399
65	322	329
65	48	181
65	517	594
65	403	332
65	10	537
65	28	431
66	10	102
66	19	181
66	27	189
66	28	210
66	65	329
66	261	431
66	379	537
66	403	577
67	10	329
67	19	189
67	28	332
67	48	181
67	50	537
67	322	102
67	379	594
68	261	102
68	616	181
68	27	210
68	322	332
68	48	399
68	517	431
68	10	577
69	10	210
69	27	181
69	28	594
69	48	431
69	50	189
69	65	102
69	261	329
69	322	577
69	379	537
69	403	399
69	517	332
70	19	102
70	28	594
70	48	332
70	65	189
70	261	399
70	403	210
70	601	181
71	48	102
71	616	577
71	322	181
71	601	537
71	517	431
71	19	210
71	65	399
71	50	332
71	27	594
72	27	102
72	517	431
72	19	329
72	65	332
72	322	399
72	403	189
72	616	181
72	379	210
72	48	577
72	28	537
72	10	594
73	231	101
73	34	554
73	208	140
73	172	281
73	582	597
73	361	38
73	298	495
73	121	213
74	356	140
74	72	597
74	34	308
74	361	281
74	298	318
74	403	75
74	25	495
74	582	454
74	121	101
74	172	213
74	232	163
74	231	554
74	334	38
75	172	140
75	361	318
75	25	554
75	356	495
75	403	101
75	121	255
75	232	75
75	231	213
75	72	281
75	266	454
75	406	497
75	582	597
76	25	597
76	34	38
76	72	75
76	121	255
76	172	454
76	266	495
76	298	101
76	334	140
76	356	554
76	403	308
76	406	281
77	34	38
77	232	101
77	266	140
77	334	281
77	361	308
77	406	495
78	121	140
78	72	597
78	361	163
78	266	75
78	232	255
78	25	554
78	582	281
78	172	318
78	231	213
78	334	38
78	403	308
78	356	101
78	34	495
78	208	454
79	361	497
79	172	38
79	231	213
79	356	454
79	208	75
79	232	495
79	121	101
79	25	255
79	406	140
79	34	318
79	334	554
79	72	597
79	298	308
79	582	163
79	403	281
80	298	554
80	334	213
80	25	308
80	34	140
80	121	255
80	231	495
80	582	454
80	72	75
80	266	38
80	403	318
80	232	597
81	208	101
81	266	318
81	231	497
81	72	281
81	121	597
81	34	140
81	232	554
81	361	495
81	356	255
81	406	308
81	403	454
81	582	75
81	334	38
81	172	213
81	25	163
82	72	101
82	25	597
82	356	140
82	298	554
82	208	495
82	582	318
82	266	497
82	334	213
82	34	308
83	25	38
83	298	308
83	121	318
83	72	454
83	231	597
83	356	75
83	334	281
83	403	101
83	34	554
83	582	163
84	72	308
84	121	495
84	334	213
84	172	454
84	232	597
84	266	281
84	582	318
84	356	497
84	403	75
84	361	101
84	25	255
84	406	140
84	208	163
84	231	554
85	34	308
85	121	213
85	172	597
85	231	75
85	232	255
85	356	101
85	361	163
85	403	38
86	25	38
86	121	75
86	231	101
86	232	163
86	266	281
86	334	454
86	356	495
86	403	554
87	121	38
87	172	75
87	208	140
87	231	163
87	232	308
87	266	497
87	298	554
88	1	523
88	10	213
88	183	225
88	232	76
88	473	383
88	562	614
89	201	76
89	10	225
89	26	115
89	232	15
89	1	213
89	571	523
89	183	648
90	1	115
90	10	370
90	26	614
90	157	76
90	183	523
90	201	15
90	232	219
90	562	383
91	1	115
91	10	370
91	26	614
91	183	440
91	201	76
91	232	523
91	473	219
92	1	15
92	201	213
92	183	219
92	571	383
92	232	370
92	473	614
92	10	648
92	562	225
92	157	115
93	1	370
93	10	440
93	26	76
93	157	225
93	183	523
93	232	648
93	473	219
93	562	383
94	1	440
94	10	523
94	26	614
94	157	15
94	183	76
94	201	648
94	232	383
94	473	213
94	562	370
95	157	115
95	562	523
95	232	370
95	1	15
95	26	614
95	10	213
95	183	225
95	571	440
95	473	219
96	473	440
96	183	648
96	571	15
96	232	523
96	562	76
96	10	115
96	157	370
96	26	219
96	201	225
96	1	213
97	473	370
97	562	440
97	183	523
97	571	648
97	201	219
97	1	383
98	232	15
98	10	523
98	201	115
98	1	225
98	473	219
98	157	440
98	571	370
