id	datum	nev
1	1999.10.02	rumba
2	1999.10.02	jive
3	1999.10.02	bécsi keringő
4	1999.10.02	angol keringő
5	1999.10.02	paso doble
6	1999.10.02	jive
7	1999.10.02	cha-cha-cha
8	1999.10.02	mambo
9	1999.10.02	bécsi keringő
10	1999.10.02	paso doble
11	1999.10.02	jive
12	1999.10.02	rumba
13	1999.10.30	slow foxtrott
14	1999.10.30	mambo
15	1999.10.30	jive
16	1999.10.30	jive
17	1999.10.30	cha-cha-cha
18	1999.10.30	cha-cha-cha
19	1999.10.30	bécsi keringő
20	1999.10.30	paso doble
21	1999.10.30	mambo
22	1999.10.30	slow foxtrott
23	1999.11.27	rumba
24	1999.11.27	bécsi keringő
25	1999.11.27	slow foxtrott
26	1999.11.27	mambo
27	1999.11.27	samba
28	1999.11.27	mambo
29	1999.11.27	tangó
30	1999.11.27	slow foxtrott
31	1999.11.27	cha-cha-cha
32	1999.11.27	paso doble
33	1999.11.27	tangó
34	1999.11.27	angol keringő
35	1999.11.27	rumba
36	1999.11.27	paso doble
37	1999.11.27	samba
38	1999.11.27	paso doble
39	1999.11.27	tangó
40	1999.12.25	bécsi keringő
41	1999.12.25	bécsi keringő
42	1999.12.25	mambo
43	1999.12.25	tangó
44	1999.12.25	slow foxtrott
45	1999.12.25	rumba
46	1999.12.25	tangó
47	1999.12.25	slow foxtrott
48	1999.12.25	rumba
49	1999.12.25	samba
50	1999.12.25	samba
51	2000.01.22	jive
52	2000.01.22	angol keringő
53	2000.01.22	paso doble
54	2000.01.22	cha-cha-cha
55	2000.01.22	slow foxtrott
56	2000.01.22	paso doble
57	2000.01.22	tangó
58	2000.01.22	angol keringő
59	2000.01.22	paso doble
60	2000.01.22	mambo
61	2000.01.22	samba
62	2000.01.22	angol keringő
63	2000.02.19	rumba
64	2000.02.19	angol keringő
65	2000.02.19	angol keringő
66	2000.02.19	samba
67	2000.02.19	bécsi keringő
68	2000.02.19	bécsi keringő
69	2000.02.19	angol keringő
70	2000.02.19	tangó
71	2000.02.19	jive
72	2000.02.19	paso doble
73	2000.03.18	rumba
74	2000.03.18	tangó
75	2000.03.18	jive
