Lakosság:																
Legkevesebb:																
																
község																
nagyközség																
város																
megyei jogú város																
megyeszékhely, megyei jogú város																
fővárosi kerület																
																
																
helység	jogállása	népesség	bolgár  	cigány  	görög  	horvát  	lengyel  	német  	örmény  	román  	ruszin  	szerb  	szlovák  	szlovén  	ukrán  	körjegyzőség kódja
Aba	nagyközség	4657														1
Abádszalók	város	4276		1												1
Abaliget	község	605		1												6
Abasár	község	2562														1
Abaújalpár	község	77														6
Abaújkér	község	692													1	4
Abaújlak	község	114														6
Abaújszántó	város	3169													1	3
Abaújszolnok	község	164		1												6
Abaújvár	község	232														4
Abda	község	3107														4
Abod	község	228														6
Abony	város	15498		1												1
Ábrahámhegy	község	440														4
Ács	város	7156		1												1
Acsa	község	1513		1									1			4
Acsád	község	689														4
Acsalag	község	456														6
Ácsteszér	község	708														4
Adács	község	2820														1
Ádánd	község	2294														1
Adásztevel	község	785						1								6
Adony	város	3839						1								1
Adorjánháza	község	381		1												6
Adorjás	község	191		1												6
Ág	község	178		1												6
Ágasegyháza	község	1912														1
Ágfalva	község	2119						1								1
Aggtelek	község	569														4
Agyagosszergény	község	896														4
Ajak	nagyközség	3691		1												1
Ajka	város	29685		1				1								1
Aka	község	257														6
Akasztó	község	3367														1
Alacska	község	812														1
Alap	község	2005														4
Alattyán	község	2145		1												1
Albertirsa	város	12348		1									1			3
Alcsútdoboz	község	1454														1
Aldebrő	község	696						1								4
Algyő	nagyközség	5247														1
Alibánfa	község	484														6
Almamellék	község	471		1				1								4
Almásfüzitő	község	2246														1
Almásháza	község	62														6
Almáskamarás	község	869						1								6
Almáskeresztúr	község	82														6
Álmosd	község	1602		1												1
Alsóberecki	község	795		1												4
Alsóbogát	község	273														6
Alsódobsza	község	344														4
Alsógagy	község	100														6
Alsómocsolád	község	349		1				1								4
Alsónána	község	690														4
Alsónémedi	nagyközség	4982	1													1
Alsónemesapáti	község	736		1												4
Alsónyék	község	778														6
Alsóörs	község	1412														1
Alsópáhok	község	1326														1
Alsópetény	község	734		1									1			6
Alsórajk	község	365														4
Alsóregmec	község	202											1			6
Alsószenterzsébet	község	77														6
Alsószentiván	község	650														6
Alsószentmárton	község	1172		1												1
Alsószölnök	község	363						1						1		4
Alsószuha	község	459		1												6
Alsótelekes	község	137														6
Alsótold	község	257														4
Alsóújlak	község	610														1
Alsóvadász	község	1554														1
Alsózsolca	város	6044		1												1
Ambrózfalva	község	509											1			4
Anarcs	község	1977		1												1
Andocs	község	1117														1
Andornaktálya	község	2743														1
Andrásfa	község	318														6
Annavölgy	község	958														6
Apácatorna	község	171														6
Apagy	község	2269														1
Apaj	község	1251														6
Aparhant	község	1070		1												4
Apátfalva	község	3065		1						1						1
Apátistvánfalva	község	369												1		4
Apátvarasd	község	132														6
Apc	község	2655		1												1
Áporka	község	1155														1
Apostag	község	2035														1
Aranyosapáti	község	1993		1												4
Aranyosgadány	község	340		1		1		1								6
Arka	község	81														6
Arló	nagyközség	3785		1												1
Arnót	község	2607		1												1
Ároktő	község	1128														1
Árpádhalom	község	529														6
Árpás	község	247														6
Ártánd	község	506														6
Ásotthalom	község	4063														1
Ásványráró	község	1923														1
Aszaló	község	1960		1												1
Ászár	község	1946		1												1
Aszód	város	6324									1					1
Aszófő	község	413														1
Áta	község	186														6
Átány	község	1394														4
Atkár	község	1726														1
Attala	község	869														6
Babarc	község	758						1								4
Babarcszőlős	község	116														6
Babócsa	község	1653		1												4
Bábolna	város	3756														1
Bábonymegyer	község	820														6
Babosdöbréte	község	535														6
Babót	község	1109														1
Bácsalmás	város	7045		1		1		1								3
Bácsbokod	nagyközség	2804				1		1								1
Bácsborsód	község	1238						1								4
Bácsszentgyörgy	község	159														6
Bácsszőlős	község	388														6
Badacsonytomaj	város	2178														1
Badacsonytördemic	község	834														1
Bag	nagyközség	3987		1												1
Bagamér	nagyközség	2553		1												1
Baglad	község	42														6
Bagod	község	1356														4
Bágyogszovát	község	1321														4
Baj	község	2838						1								1
Baja	város	37707		1		1		1				1				1
Bajánsenye	község	488														4
Bajna	község	1955		1												1
Bajót	község	1567		1												4
Bak	község	1708		1												4
Bakháza	község	199														6
Bakóca	község	280														6
Bakonszeg	község	1176														1
Bakonya	község	388		1												6
Bakonybánk	község	457														6
Bakonybél	község	1259														4
Bakonycsernye	község	3149											1			1
Bakonygyirót	község	144														6
Bakonyjákó	község	659						1								4
Bakonykoppány	község	186						1								6
Bakonykúti	község	117														6
Bakonynána	község	1011						1								6
Bakonyoszlop	község	526						1								6
Bakonypéterd	község	265														6
Bakonypölöske	község	387						1								6
Bakonyság	község	50														6
Bakonysárkány	község	953						1								4
Bakonyszentiván	község	227						1								6
Bakonyszentkirály	község	875														4
Bakonyszentlászló	község	1790														4
Bakonyszombathely	község	1460														1
Bakonyszücs	község	344						1								6
Bakonytamási	község	665		1												6
Baks	község	2141		1												1
Baksa	község	773		1												4
Baktakék	község	700		1												4
Baktalórántháza	város	4306		1												1
Baktüttös	község	338														6
Balajt	község	465														6
Balassagyarmat	város	16580		1												3
Balástya	község	3450														1
Balaton	község	1162		1												4
Balatonakali	község	632														1
Balatonalmádi	város	8886						1								1
Balatonberény	község	1155														1
Balatonboglár	város	5920														3
Balatoncsicsó	község	199						1								6
Balatonederics	község	1053														4
Balatonendréd	község	1386														1
Balatonfenyves	község	1856														1
Balatonfőkajár	község	1357		1												1
Balatonföldvár	város	2071														3
Balatonfüred	város	13422		1												1
Balatonfűzfő	város	4335														1
Balatongyörök	község	999														4
Balatonhenye	község	124														6
Balatonkenese	nagyközség	3263														3
Balatonkeresztúr	község	1486														4
Balatonlelle	város	4911														1
Balatonmagyaród	község	496		1												6
Balatonmáriafürdő	község	646														6
Balatonőszöd	község	531														6
Balatonrendes	község	119														6
Balatonszabadi	község	3022														4
Balatonszárszó	nagyközség	1903														1
Balatonszemes	község	1782														4
Balatonszentgyörgy	község	1610		1												4
Balatonszepezd	község	399														1
Balatonszőlős	község	602														4
Balatonudvari	község	284														1
Balatonújlak	község	507														6
Balatonvilágos	község	1192														1
Balinka	község	987						1								4
Balkány	város	6442		1												1
Ballószög	község	3356														1
Balmazújváros	város	17575		1				1								1
Balogunyom	község	1242														4
Balotaszállás	község	1541		1												1
Balsa	község	856														4
Bálványos	község	541														6
Bana	község	1685		1												1
Bánd	község	696						1								6
Bánfa	község	211		1												6
Bánhorváti	község	1409														1
Bánk	község	691											1			4
Bánokszentgyörgy	község	678		1												6
Bánréve	község	1376		1												1
Bár	község	543						1								6
Barabás	község	769														6
Baracs	község	3573														1
Baracska	község	2723		1												4
Báránd	község	2624														1
Baranyahídvég	község	205		1												6
Baranyajenő	község	527		1												4
Baranyaszentgyörgy	község	137														6
Barbacs	község	738														4
Barcs	város	11699		1		1		1								1
Bárdudvarnok	község	1200														1
Barlahida	község	131														4
Bárna	község	1130		1												6
Barnag	község	123						1								6
Bársonyos	község	761														4
Basal	község	203														6
Baskó	község	186									1					6
Báta	község	1758		1												1
Bátaapáti	község	405														6
Bátaszék	város	6607		1				1								3
Baté	község	834		1												4
Bátmonostor	község	1574														6
Bátonyterenye	város	13270		1												1
Bátor	község	437														6
Bátorliget	község	710														6
Battonya	város	5838		1						1		1				1
Bátya	község	2132		1		1										1
Batyk	község	407														1
Bázakerettye	község	851														4
Bazsi	község	407		1												6
Béb	község	257						1								6
Becsehely	község	2141		1		1										4
Becske	község	574		1												6
Becskeháza	község	40														6
Becsvölgye	község	833														1
Bedegkér	község	457														4
Bedő	község	252		1						1						6
Bejcgyertyános	község	476														6
Békás	község	214														6
Bekecs	község	2486														1
Békés	város	20465		1				1		1			1			1
Békéscsaba	megyeszékhely, megyei jogú város	64784		1			1			1			1			1
Békéssámson	község	2434														1
Békésszentandrás	nagyközség	3909														1
Bekölce	község	688														6
Bélapátfalva	város	3215		1												3
Bélavár	község	370		1												1
Belecska	község	432														6
Beled	nagyközség	2686														3
Beleg	község	661		1												6
Belezna	község	836				1										4
Bélmegyer	község	1064														4
Beloiannisz	község	1161			1											1
Belsősárd	község	110														6
Belvárdgyula	község	423		1												1
Benk	község	452														6
Bénye	község	1268														4
Bér	község	399		1									1			6
Bérbaltavár	község	502														4
Bercel	község	2020														4
Beregdaróc	község	755														1
Beregsurány	község	633														4
Berekböszörmény	község	1707														1
Berekfürdő	község	956														1
Beremend	nagyközség	2651		1				1								3
Berente	község	1110		1												1
Beret	község	273														6
Berettyóújfalu	város	15427		1												1
Berhida	város	6034		1				1								3
Berkenye	község	670						1								4
Berkesd	község	868		1				1								4
Berkesz	község	900														6
Bernecebaráti	község	860														1
Berzék	község	1118														4
Berzence	nagyközség	2570														1
Besence	község	129		1												6
Besenyőd	község	642														6
Besenyőtelek	község	2710		1												1
Besenyszög	község	3452														1
Besnyő	község	1808														1
Beszterec	község	1044		1												4
Bezedek	község	242						1								6
Bezenye	község	1393				1										1
Bezeréd	község	158														6
Bezi	község	462						1								6
Biatorbágy	város	11769			1		1	1								1
Bicsérd	község	1035														4
Bicske	város	11552		1												1
Bihardancsháza	község	193														6
Biharkeresztes	város	3819		1												3
Biharnagybajom	község	2801														1
Bihartorda	község	905		1												1
Biharugra	község	899														4
Bikács	község	443														6
Bikal	község	763						1								6
Biri	község	1356														1
Birján	község	492				1		1								6
Bisse	község	242														6
Boba	község	837														1
Bocfölde	község	1128		1												4
Boconád	község	1350														1
Bócsa	község	1816														1
Bocska	község	374		1												6
Bocskaikert	község	2964														1
Boda	község	438														1
Bodajk	város	4124														1
Bodmér	község	213														6
Bodolyabér	község	251		1												6
Bodonhely	község	299														6
Bodony	község	770		1												1
Bodorfa	község	109														6
Bodrog	község	452														6
Bodroghalom	község	1355														1
Bodrogkeresztúr	község	1157														1
Bodrogkisfalud	község	891														4
Bodrogolaszi	község	942														4
Bódvalenke	község	182														6
Bódvarákó	község	109														6
Bódvaszilas	község	1067						1								4
Bogács	község	2011														1
Bogád	község	1080														6
Bogádmindszent	község	417		1												4
Bogdása	község	301		1												6
Bogyiszló	község	2231		1												1
Bogyoszló	község	604														6
Bojt	község	501		1												6
Bókaháza	község	313														6
Bokod	község	2245														1
Bokor	község	115											1			6
Boldog	község	3067		1												1
Boldogasszonyfa	község	446						1								6
Boldogkőújfalu	község	534		1												6
Boldogkőváralja	község	1160		1							1					4
Boldva	község	2384		1												4
Bolhás	község	441		1												6
Bolhó	község	752		1		1										4
Bóly	város	3970						1								3
Boncodfölde	község	358														6
Bonyhád	város	13957		1				1								3
Bonyhádvarasd	község	421						1								6
Bonnya	község	269														6
Bordány	község	3155														1
Borgáta	község	149														6
Borjád	község	422						1								4
Borota	község	1365														4
Borsfa	község	728														4
Borsodbóta	község	901		1												4
Borsodgeszt	község	263														6
Borsodivánka	község	753														4
Borsodnádasd	város	3146		1												1
Borsodszentgyörgy	község	1188														1
Borsodszirák	község	1228														1
Borsosberény	község	1034		1												1
Borszörcsök	község	375														6
Borzavár	község	732														1
Bosta	község	140		1												6
Botpalád	község	591		1												4
Botykapeterd	község	347														6
Bozzai	község	320														6
Bozsok	község	342														6
Bózsva	község	197														6
Bő	község	646														4
Bőcs	község	2793		1												1
Böde	község	310														6
Bödeháza	község	70														6
Bögöt	község	387														4
Bögöte	község	312														4
Böhönye	község	2383		1												4
Bököny	község	3272														1
Bölcske	község	2914														1
Bőny	község	2192		1												1
Börcs	község	1279														6
Börzönce	község	63														6
Bősárkány	nagyközség	2158														3
Bőszénfa	község	581														6
Bucsa	község	2251														4
Bucsu	község	602														6
Búcsúszentlászló	község	878														4
Bucsuta	község	238														6
Budajenő	község	1701						1								1
Budakalász	nagyközség	10299						1				1				1
Budakeszi	város	13933						1								1
Budaörs	város	28272		1	1			1	1	1	1					1
Budapest I. kerület	fővárosi kerület	24728			1		1	1	1			1	1			1
Budapest II. kerület	fővárosi kerület	88729	1		1	1	1	1	1	1		1	1		1	1
Budapest III. kerület	fővárosi kerület	123723	1	1	1	1	1	1	1		1	1	1			1
Budapest IV. kerület	fővárosi kerület	98374	1	1	1	1	1	1	1	1	1	1	1		1	1
Budapest V. kerület	fővárosi kerület	27283	1	1	1	1	1	1	1	1	1		1			1
Budapest VI. kerület	fővárosi kerület	42120		1	1		1	1	1		1	1	1			1
Budapest VII. kerület	fővárosi kerület	62530	1	1	1	1	1	1	1	1	1	1				1
Budapest VIII. kerület	fővárosi kerület	82222	1	1	1		1	1	1	1	1		1		1	1
Budapest IX. kerület	fővárosi kerület	61576	1	1	1	1		1	1		1	1	1		1	1
Budapest X. kerület	fővárosi kerület	79270	1	1	1	1	1	1	1	1	1					1
Budapest XI. kerület	fővárosi kerület	139049	1	1	1	1	1	1	1	1	1	1	1		1	1
Budapest XII. kerület	fővárosi kerület	56544	1		1	1		1	1		1	1	1			1
Budapest XIII. kerület	fővárosi kerület	113531	1	1	1	1	1	1	1		1	1	1			1
Budapest XIV. kerület	fővárosi kerület	120148	1	1	1	1	1	1	1	1	1	1	1			1
Budapest XV. kerület	fővárosi kerület	80218	1	1	1	1		1	1	1		1				1
Budapest XVI. kerület	fővárosi kerület	68484	1	1	1	1	1	1	1	1	1		1		1	1
Budapest XVII. kerület	fővárosi kerület	78250	1	1	1		1	1	1	1	1		1			1
Budapest XVIII. kerület	fővárosi kerület	93225	1	1	1	1	1	1	1	1	1	1		1		1
Budapest XIX. kerület	fővárosi kerület	61610	1	1	1	1	1			1		1				1
Budapest XX. kerület	fővárosi kerület	63371	1	1		1		1	1							1
Budapest XXI. kerület	fővárosi kerület	76339	1	1	1			1	1	1	1					1
Budapest XXII. kerület	fővárosi kerület	50499	1	1		1		1								1
Budapest XXIII. kerület	fővárosi kerület	20387	1	1				1								1
Bugac	nagyközség	2869														3
Bugacpusztaháza	község	307														6
Bugyi	nagyközség	5338														1
Buj	község	2305		1												1
Buják	község	2238		1												4
Buzsák	község	1328														1
Bük	város	3402				1		1								1
Bükkábrány	község	1590														1
Bükkaranyos	község	1525														1
Bükkmogyorósd	község	141														6
Bükkösd	község	1160						1								1
Bükkszék	község	758														6
Bükkszenterzsébet	község	1119		1												1
Bükkszentkereszt	község	1209											1			4
Bükkszentmárton	község	331		1												6
Bükkzsérc	község	1009														6
Bürüs	község	104														6
Büssü	község	336		1												6
