az	nev	szulev	halev
1	Richmond LANDON 	1898	1971
2	Krisztian PARS 	1982	
3	Mihaela LOGHIN 	1952	
4	Frantisek DOUDA 	1908	1990
5	Tzvetanka Pavlova KHRISTOVA 	1962	2008
6	Richard Aldrich BABKA 	1936	
7	Dana INGROVA-ZATOPKOVA 	1922	
8	Eino PENTTILA 	1906	1982
9	Duncan MCNAUGHTON 	1910	1998
10	Ivanka Mikailova CHRISTOVA-TODOROVA 	1941	
11	Antti RUUSKANEN 	1984	
12	Christian TAYLOR 	1990	
13	Kathryn Joan SCHMIDT 	1953	
14	Folke JANSSON 	1897	1965
15	Lawrence E, Joseph FEUERBACH 	1879	1911
16	Zoltan KOVAGO 	1979	
17	Walter KRÜGER 	1930	
18	Sergey MAKAROV 	1973	
19	Nadine KLEINERT 	1975	
20	Hrysopiyi DEVETZI 	1975	
21	Kenkichi OSHIMA 	1908	1985
22	Yanis LUSIS 	1939	
23	Virgilijus ALEKNA 	1972	
24	Ruth A, SVEDBERG 	1903	2002
25	Birute ZALOGAJTITE-KALEDENE 	1934	
26	Sergey KLIUGIN 	1974	
27	Anthony William WINTER 	1884	1955
28	Peter Timothy ZAREMBA 	1909	1994
29	Mirella MANIANI-TZELILI 	1976	
30	Marion BECKER-STEINER 	1950	
31	Tadeusz SLUSARSKI 	1950	1998
32	Malcolm Maurice WILKINS 	1950	
33	Nadezhda CHIZHOVA 	1945	
34	Mor KOVACS 	1885	1972
35	Jai TAURIMA 	1972	
36	Harry LIVERSEDGE 	1894	1951
37	Steve HOOKER 	1982	
38	Delos Packard THURBER 	1916	1987
39	Jan Eric JOHNSON 	1950	
40	Imre NEMETH 	1917	1989
41	Matt HEMINGWAY 	1972	
42	Udo BEYER 	1955	
43	Denys YURCHENKO 	1978	
44	Halina KONOPACKA 	1900	1989
45	Vilhjalmur EINARSSON 	1934	
46	Piotr MALACHOWSKI 	1983	
47	John Dale BENNETT 	1930	
48	Lance Earl DEAL 	1961	
49	Brittney REESE 	1986	
50	Maurren Higa MAGGI 	1976	
51	Klaus LEHNERTZ 	1938	
52	Frantisek JANDA 	1878	1955
53	Jacqueline MAZEAS 	1920	2012
54	Irina BEGLYAKOVA 	1933	
55	Yuri SEDYKH 	1955	
56	Shuhei NISHIDA 	1910	1997
57	Harold Vincent CONNOLLY 	1931	2010
58	Leslie Jean DENIZ 	1962	
59	John BILLER 	1877	1934
60	Masao HARADA 	1912	2000
61	Urszula KIELAN 	1960	
62	Gisela MAUERMAYER 	1913	1995
63	Luis DELIS 	1957	
64	Dwight Edwin STONES 	1953	
65	Miklos NEMETH 	1946	
66	William Wesley COE 	1879	1926
67	Frank Thayer NELSON 	1887	1970
68	Hans BAUMGARTNER 	1949	
69	Greg RUTHERFORD 	1986	
70	Charles SIMPKINS 	1963	
71	Henry PETERSEN 	1900	1949
72	Klaus PLOGHAUS 	1956	
73	Elfriede KAUN 	1914	2008
74	Tatyana LYSENKO 	1983	
75	Yuri TAMM 	1957	
76	Irena SZEWINSKA 	1946	
77	Tatiana KOLPAKOVA 	1959	
78	Mikhail KRIVONOSOV 	1929	1995
79	Alexandre KOVALENKO 	1963	
80	Cornelius WALSH 	1881	1942
81	Egil DANIELSEN 	1933	
82	Maritza MARTEN 	1963	
83	Stacy DRAGILA 	1971	
84	Odon FOLDESSY 	1929	
85	Wenxiu ZHANG 	1986	
86	Igor TRANDENKOV 	1966	
87	Carl Albert ANDERSEN 	1876	1951
88	Leevan SANDS 	1981	
89	Marquis Franklin HORR 	1880	1955
90	Ainars KOVALS 	1981	
91	Alvin KRAENZLEIN 	1876	1928
92	Erik H, LUNDQVIST 	1908	1963
93	Sara SIMEONI 	1953	
94	Meredith Bright COLKETT 	1878	1947
95	Vasiliy KAPTYUKH 	1967	
96	Arne HALSE 	1887	1975
97	Earle Elmer MEADOWS 	1913	1992
98	Carl LEWIS 	1961	
99	Rodion GATAULLIN 	1965	
100	Andrey ABDUVALIEV 	1966	
101	Frantz KRUGER 	1975	
102	Ann-Britt LEYMAN 	1922	
103	Hildrun CLAUS-LAUFER 	1939	
104	Ute HOMMOLA 	1952	
105	Karl HEIN 	1908	1982
106	Jozsef CSERMAK 	1932	2001
107	Luise KRÜGER 	1915	2001
108	Saida GUNBA 	1959	
109	Charles Michael PORTER 	1936	
110	Edera CORDIALE-GENTILE 	1920	1993
111	Georgios ROUBANIS 	1929	
112	William Preston MILLER 	1930	
113	Mathilde (Tilly) FLEISCHER 	1911	2005
114	Eric SVENSSON 	1903	1986
115	Gabriele HINZMANN 	1947	
116	Iolanda BALAS 	1936	
117	Michael D'Andrea CARTER 	1960	
118	Steve BACKLEY 	1969	
119	Hermine (Herma) BAUMA 	1915	2003
120	Jean SHILEY 	1911	1998
121	John Gates POWELL 	1947	
122	Vera KOLASHNIKOVA-KREPKINA 	1933	
123	Stefan JUNGE 	1950	
124	Anna CHICHEROVA 	1982	
125	Anisoara CUSMIR-STANCIU 	1962	
126	Diana CHRISTOVA-YORGOVA 	1942	
