fogaz	szemaz
1	1
1	2
2	2
1	3
1	4
3	4
1	5
4	5
5	6
3	7
5	8
5	9
52	10
6	11
7	11
8	12
8	13
8	14
9	15
10	16
10	17
11	18
12	19
13	19
13	20
13	21
16	22
14	23
15	24
17	25
17	26
17	27
53	28
13	28
53	29
53	30
16	31
16	32
13	32
16	33
16	34
16	35
16	36
16	37
16	38
16	39
16	40
16	41
53	42
16	43
53	44
53	45
16	46
16	47
16	48
16	49
16	50
16	51
16	52
16	53
13	53
16	54
22	54
13	55
19	56
7	57
7	58
7	59
20	60
21	61
19	62
7	63
23	64
18	65
24	66
23	66
6	67
23	67
6	68
25	68
31	69
26	70
27	71
28	71
27	72
28	72
29	73
10	74
9	74
10	75
30	75
9	76
10	76
10	77
32	78
33	79
34	80
34	81
34	82
14	83
35	84
36	85
37	85
10	86
10	87
10	88
10	89
10	90
38	90
10	91
10	92
10	93
1	94
1	95
1	96
1	97
1	98
5	99
5	100
30	101
30	102
1	102
19	103
7	103
39	104
41	104
16	105
23	106
40	107
26	108
26	109
26	110
12	111
43	111
45	111
42	112
31	113
44	114
18	115
18	116
18	117
18	118
18	119
18	120
3	121
3	122
13	123
13	124
13	125
49	125
17	126
16	127
16	128
16	129
16	130
16	131
16	132
16	133
16	134
16	135
16	136
16	137
16	138
13	138
16	139
16	140
16	141
16	142
16	143
16	144
13	144
16	145
27	146
46	147
46	148
12	148
46	149
46	150
46	151
12	151
46	152
46	153
33	153
46	154
12	154
50	155
7	155
48	156
6	157
51	157
6	158
47	159
6	159
18	160
18	161
12	162
