az	nev	ev	elozo
1	Deák Krisztina	2007	Balázs Béla-díjas 
2	Forgács Péter	2007	Balázs Béla-díjas 
3	Gulyás Gyula	2013	Balázs Béla-díjas 
4	Gulyás János Péter	2013	Balázs Béla-díjas 
5	Kisfaludy András	2013	Balázs Béla-díjas 
6	Kerekes Gábor	2009	Balázs Béla-díjas 
7	Medvigy Gábor	2009	Balázs Béla-díjas 
8	Baricz Katalin	2007	Balogh Rudolf-díjas
9	Szilágyi Lenke	2008	Balogh Rudolf-díjas 
10	Csomay Zsófia	2008	Ybl Miklós-díjas
11	Selmeczi György	2012	Erkel Ferenc-díjas 
12	Hauser Beáta	2011	Ferenczy Noémi-díjas
13	Kókay Krisztina	2007	Ferenczy Noémi-díjas
14	Rónai Éva	2012	Ferenczy Noémi-díjas
15	Sárkány Győző	2012	Ferenczy Noémi-díjas 
16	Gáyor Tibor	2009	
17	Gyémánt László	2009	
18	Barta Dóra	2007	Harangozó Gyula-díjas
19	Goda Gábor	2008	Harangozó Gyula-díjas
20	Kalmár Tibor	2007	Jászai Mari-díjas
21	Mohácsi János	2008	Jászai Mari-díjas
22	Bajcsay Mária	2013	Jászai Mari-díjas
23	Kentaur (Erkel László)	2013	Jászai Mari-díjas 
24	Tordai Hajnal	2012	Jászai Mari-díjas 
25	Császár Angéla	2011	Jászai Mari-díjas 
26	Gyöngyössy Katalin	2011	Jászai Mari-díjas 
27	Ráckevei Anna	2011	Jászai Mari-díjas 
28	Mácsai Pál	2008	Jászai Mari-díjas 
29	Bogdán Zsolt	2012	Jászai Mari-díjas 
30	Csikos Sándor	2012	Jászai Mari-díjas 
31	Csuja Imre	2010	Jászai Mari-díjas 
32	Csurka László	2013	Jászai Mari-díjas 
33	Fekete Ernő	2010	Jászai Mari-díjas 
34	Harsányi Gábor	2011	Jászai Mari-díjas 
35	Hirtling István	2012	Jászai Mari-díjas 
36	Kerekes Éva	2009	Jászai Mari-díjas 
37	Körtvélyessy Zsolt	2013	Jászai Mari-díjas 
38	Lorán Lenke	2010	Jászai Mari-díjas 
39	Meszléry Judit	2013	Jászai Mari-díjas 
40	Mihályi Győző	2007	Jászai Mari-díjas 
41	Nagy Anna	2013	Jászai Mari-díjas 
42	Nemcsák Károly	2012	Jászai Mari-díjas 
43	Sunyovszky Szilvia	2013	Jászai Mari-díjas 
44	Szarvas József	2012	Jászai Mari-díjas 
45	Szervét Tibor	2010	Jászai Mari-díjas 
46	Szűcs Nelli	2013	Jászai Mari-díjas 
47	Takács Katalin	2008	Jászai Mari-díjas 
48	Tordai Teri	2012	Jászai Mari-díjas 
49	Tóth Ildikó	2009	Jászai Mari-díjas 
50	Trill Zsolt	2012	Jászai Mari-díjas 
