helyezes	pontszam	jatek	versenyzoid	ranglistaid
62	2620	51	1	1
50	2632	10	1	2
46	2639	24	1	3
41	2643	8	1	4
49	2617	22	1	5
45	2639	10	1	6
54	2633	33	1	7
51	2635	2	1	8
59	2626	23	1	9
51	2634	19	1	10
43	2642	25	1	11
59	2632	26	1	12
66	2628	25	1	13
90	2617	29	1	19
96	2619	14	1	20
99	2615	5	1	21
91	2620	28	1	22
84	2629	24	1	27
99	2596	16	2	7
100	2595	57	3	3
83	2604	18	3	4
67	2604	51	3	5
39	2643	9	4	1
40	2642	19	4	2
61	2622	28	4	3
80	2606	22	4	4
72	2602	4	4	5
74	2608	20	4	6
85	2601	8	4	7
65	2615	24	5	1
81	2606	8	5	2
68	2616	24	5	3
66	2616	0	5	4
55	2612	15	5	5
66	2612	0	5	6
61	2628	24	5	7
59	2628	0	5	8
53	2634	7	5	9
48	2640	7	5	10
64	2625	18	5	11
69	2625	0	5	12
76	2624	23	5	17
78	2624	0	5	18
78	2624	0	5	19
87	2624	0	5	20
65	2636	18	5	21
67	2637	2	5	22
79	2632	0	5	23
82	2632	0	5	24
12	2699	11	6	1
11	2699	0	6	2
20	2679	15	6	3
13	2693	10	6	4
5	2692	0	6	5
16	2692	0	6	6
16	2693	14	6	7
15	2690	9	6	8
17	2687	2	6	9
17	2688	1	6	10
19	2688	0	6	11
18	2686	13	6	12
20	2693	6	6	13
20	2693	0	6	14
20	2682	6	6	15
22	2682	0	6	16
23	2682	0	6	17
23	2682	0	6	18
28	2674	4	6	19
27	2674	0	6	20
31	2672	2	6	21
33	2672	2	6	22
29	2672	0	6	23
32	2672	0	6	24
38	2668	3	6	25
41	2670	9	6	30
60	2655	10	6	31
66	2655	0	6	32
72	2651	3	6	33
67	2651	0	6	34
87	2644	8	6	35
86	2644	0	6	36
97	2644	0	6	37
42	2641	21	7	1
41	2641	0	7	2
42	2640	26	7	3
43	2640	0	7	4
76	2601	41	7	5
87	2601	0	7	6
95	2598	12	7	7
90	2604	9	7	8
60	2623	35	8	1
54	2627	9	8	2
41	2641	26	8	3
42	2641	0	8	4
22	2650	35	8	5
38	2650	0	8	6
27	2662	10	8	7
26	2664	9	8	8
28	2667	13	8	9
28	2667	9	8	10
31	2667	0	8	11
38	2653	9	8	12
71	2623	37	8	13
72	2623	0	8	14
72	2623	0	8	15
53	2639	9	8	16
53	2642	17	8	17
56	2640	8	8	18
32	2670	16	8	19
71	2631	25	8	20
46	2639	54	9	1
44	2639	0	9	2
59	2629	38	9	3
63	2620	13	9	4
91	2600	18	9	6
80	2605	10	9	7
72	2616	13	9	8
68	2623	14	9	9
78	2625	17	9	21
82	2630	18	9	22
83	2630	0	9	23
100	2616	7	9	24
86	2602	9	10	2
89	2600	28	11	1
90	2600	0	11	2
88	2602	22	11	3
87	2602	0	11	4
72	2602	17	11	5
94	2599	11	11	6
84	2602	9	11	7
74	2613	4	11	8
76	2617	22	11	9
75	2617	0	11	10
85	2610	21	11	11
81	2610	0	11	12
97	2607	18	11	13
92	2608	11	11	14
95	2608	0	11	15
33	2654	77	12	1
51	2629	16	12	2
49	2638	43	12	3
48	2638	0	12	4
17	2659	46	12	5
25	2668	9	12	6
39	2649	29	12	7
28	2661	13	12	8
40	2652	27	12	9
40	2650	27	12	10
38	2649	30	12	11
41	2649	0	12	12
27	2668	40	12	13
31	2667	20	12	14
30	2667	18	12	15
34	2667	0	12	16
26	2679	29	12	17
40	2660	28	12	18
61	2635	27	12	19
74	2630	18	12	20
81	2631	39	12	22
88	2626	12	12	23
89	2622	13	12	24
86	2625	18	12	25
72	2639	10	12	26
70	2639	0	12	27
61	2648	8	12	28
59	2653	22	12	29
63	2646	10	12	30
80	2638	27	12	31
79	2641	26	12	32
