id	datum
1	2000.07.01
2	2000.10.01
3	2001.01.01
4	2001.04.01
5	2001.07.01
6	2001.10.01
7	2002.01.01
8	2002.04.01
9	2002.07.01
10	2002.10.01
11	2003.01.01
12	2003.04.01
13	2003.07.01
14	2003.10.01
15	2004.01.01
16	2004.04.01
17	2004.07.01
18	2004.10.01
19	2005.01.01
20	2005.04.01
21	2005.07.01
22	2005.10.01
23	2006.01.01
24	2006.04.01
25	2006.07.01
26	2006.10.01
27	2007.01.01
28	2007.04.01
29	2007.07.01
30	2007.10.01
31	2008.01.01
32	2008.04.01
33	2008.07.01
34	2008.10.01
35	2009.01.01
36	2009.04.01
37	2009.07.01
38	2009.09.01
39	2009.11.01
40	2010.01.01
41	2010.03.01
42	2010.05.01
43	2010.07.01
44	2010.09.01
45	2010.11.01
46	2011.01.01
47	2011.03.01
48	2011.05.01
49	2011.07.01
50	2011.09.01
51	2011.11.01
