id	szulnev	nem	szulorszag	szulovaros	szuldatum
1	Korcsnoj, Viktor Lvovics	F	URS	Leningrad	1931.03.23
2	Portisch, Lajos	F	HUN	Zalaegerszeg	1937.04.04
3	Tukmakov, Vladimir B	F	URS	Odessa	1946.03.15
4	Gulko, Boris F	F	GDR	Erfurt	1947.02.09
5	Huebner, Robert	F	FRG	Cologne	1948.11.06
6	Karpov, Anatoly	F	URS	Zlatoust	1951.05.23
7	Andersson, Ulf	F	SWE	Västerås	1951.06.27
8	Vaganian, Rafael Artemovich	F	URS	Yerevan	1951.10.15
9	Timman, Jan Hendrik	F	NED	Amsterdam	1951.12.14
10	Romanishin, Oleg Mikhailovich	F	URS	Lviv	1952.01.10
11	Dorfman, Josif Davidovich	F	URS	Zhitomir	1953.05.01
12	Beliavsky, Alexander Genrikhovich	F	URS	Lviv	1953.12.17
13	Afromeev, Vladimir	F	URS	Tula	1954.04.02
14	Spraggett, Kevin	F	CAN	Montreal	1954.11.10
15	Nunn, John Denis Martin	F	ENG	London	1955.04.25
16	Speelman, Jonathan Simon	F	ENG	London	1956.10.02
17	Eingorn, Viacheslav	F	URS	Odessa	1956.11.23
18	Vladimirov, Yevgeniy	F	URS	Alma-Ata	1957.01.20
19	Ftáčnik, Ľubomír	F	TCH	Bratislava	1957.10.30
20	Lputian, Smbat Gariginovich	F	URS	Yerevan	1958.02.14
21	Yermolinsky, Alex	F	URS	Leningrad	1958.04.11
22	Smagin, Sergey	F	URS	Norilsk	1958.09.08
23	Dvoirys, Semen	F	URS	Chelyabinsk	1958.11.02
24	Psakhis, Lev Borisovich	F	URS	Krasnoyarks	1958.11.29
25	Dolmatov, Sergey	F	URS	Kiselyovsk	1959.02.20
26	Gurevich, Mikhail Naumovich	F	URS	Kharkiv	1959.02.22
28	Sturua, Zurab	F	URS	Tbilisi	1959.06.08
29	Fominyh, Alexander	F	URS		1959.06.15
30	Kaidanov, Gregory	F	URS	Berdychiv	1959.10.11
31	Jussupow, Artur Mayakovich	F	URS	Moscow	1960.02.13
32	Chernin, Alexander	F	URS	Kharkiv	1960.03.06
33	Azmaiparashvili, Zurab	F	URS	Tbilisi	1960.03.16
34	Seirawan, Yasser	F	SYR	Damascus	1960.03.24
35	Nikolić, Predrag	F	YUG	Bosanski Šamac	1960.09.11
36	Ye, Jiangchuan	F	CHN	Wuxi	1960.11.20
37	Pigusov, Evgeny	F	URS	Kemerovo	1961.03.31
38	Damljanovic, Branko	F	YUG	Novi Sad	1961.06.17
39	Glek, Igor	F	URS	Moscow	1961.11.07
40	Novikov, Igor	F	URS	Kharkiv	1962.05.23
42	Crişan, Alexandru	F	ROM	Brașov	1962.07.31
43	Graf, Alexander	F	URS	Tashkent	1962.08.25
45	Xu, Jun	F	CHN	Suzhou	1962.09.17
46	Ehlvest, Jaan	F	URS	Tallin	1962.10.14
48	Hjartarson, Jóhann	F	ISL	Reykjavík	1963.02.08
49	Kuzmin, Alexey	F	RUS		1963.03.08
50	Sokolov, Andrei	F	URS	Vorkuta	1963.03.20
51	Morovic Fernández, Iván Eduardo	F	CHI	Viña del Mar	1963.03.24
52	Kasparov, Garry	F	URS	Baku	1963.04.13
54	Rozentalis, Eduardas	F	URS	Vilnius	1963.05.27
55	Hodgson, Julian M.	F	ENG	St Asaph	1963.07.25
56	Milos, Gilberto	F	BRA	São Paulo	1963.10.30
57	Krasenkow, Michal	F	URS	Moscow	1963.11.14
58	Benjamin, Joel	F	USA	Brooklyn	1964.03.11
59	Salov, Valery	F	POL	Wrocław	1964.05.26
60	Neverov, Valeriy	F	UKR	Kharkiv	1964.06.21
61	Kotronias, Vasilios	F	GRE	Athens	1964.08.25
63	Hansen, Curt	F	DEN	Southern Jutland	1964.09.18
64	Atalik, Suat	F	TUR	Istanbul	1964.10.10
65	Giorgadze, Giorgi	F	GEO		1964.10.10
66	Goldin, Alexander	F	URS	Novosibirsk	1965.02.27
68	Adianto, Utut	F	INA	Jakarta	1965.03.16
69	Hickl, Joerg	F	GER	Wiesbaden	1965.04.16
70	Marin, Mihail	F	ROM	Bucharest	1965.04.21
71	Nijboer, Friso	F	NED		1965.05.26
72	Short, Nigel David	F	ENG	Leigh	1965.06.01
74	Epishin, Vladimir	F	URS	Leningrad	1965.07.11
75	Dautov, Rustem	F	URS	Ufa	1965.11.28
76	Georgiev, Kiril	F	BUL	Petrich	1965.11.28
78	Illescas Córdoba, Miguel	F	ESP	Barcelona	1965.12.03
79	Khalifman, Alexander Valeryevich	F	URS	Leningrad	1966.01.18
80	Shipov, Sergei	F	URS		1966.04.17
81	Magomedov, Magaram	F	URS		1966.05.20
82	Kožul, Zdenko	F	CRO	Bihać	1966.05.21
83	Agrest, Evgenij	F	URS	Vitebsk	1966.08.15
84	Bareev, Evgeny	F	URS	Chelyabinsk	1966.11.21
85	Minasian, Artashes	F	URS	Yerevan	1967.01.21
86	Baburin, Alexander	F	URS	Gorky	1967.02.19
87	Granda Zúñiga, Julio Ernesto	F	PER	Camaná	1967.02.25
88	Conquest, Stuart	F	ENG	Ilford	1967.03.01
89	Ibragimov, Ildar	F	URS	Kazan	1967.08.16
90	Shabalov, Alexander	F	URS	Riga	1967.09.12
91	Smirin, Ilia	F	URS	Vitebsk	1968.01.21
92	Khenkin, Igor	F	URS	Vladimir	1968.03.21
93	Sokolov, Ivan	F	YUG	Jajce	1968.06.13
95	Wang, Zili	F	CHN		1968.06.14
96	Gelfand, Boris Abramovich	F	URS	Minsk	1968.06.24
97	Kharlov, Andrei	F	URS	Prokopyevsk	1968.11.20
98	Piket, Jeroen	F	NED	Leiden	1969.01.27
99	Dreev, Alexey	F	URS	Stavropol	1969.01.30
101	Sermek, Drazen	F	YUG	Osijek	1969.01.30
102	Ivanchuk, Vassily	F	URS	Kopychyntsi	1969.03.18
103	Korneev, Oleg Anatolyevich	F	URS		1969.07.25
104	Chuchelov, Vladimir	F	URS	Moscow	1969.09.28
105	Luther, Thomas	F	GER	Erfurt	1969.11.04
106	Anand, Viswanathan	F	IND	Mayiladuthurai	1969.12.11
107	Najdoski, Toni	F	YUG		1970.05.04
108	Hráček, Zbyněk	F	TCH	Uherské Hradiště	1970.09.09
109	Degraeve, Jean-Marc	F	FRA	Tourcoing	1971.01.26
110	Palac, Mladen	F	YUG	Donji Mamići	1971.02.18
111	Lutz, Christopher	F	GER	Neukirchen-Vluyn	1971.02.24
112	Delchev, Aleksander	F	BUL	Sofia	1971.07.15
113	Adams, Michael	F	ENG	Truro	1971.11.17
114	Akopian, Vladimir	F	URS	Baku	1971.12.07
116	Bologan, Viktor	F	URS	Chișinău	1971.12.14
117	Tregubov, Pavel	F	URS	Krasnodar	1971.12.21
118	Landa, Konstantin	F	URS	Omsk	1972.05.22
119	Shirov, Alexei	F	URS	Riga	1972.07.04
120	Mikhalevski, Victor	F	URS	Gomel	1972.07.08
121	Stefansson, Hannes	F	ISL		1972.07.18
122	Milov, Vadim	F	URS	Ufa	1972.08.01
123	Fedorov, Alexei	F	URS	Mogilev	1972.09.27
124	van Wely, Loek	F	NED	Heesch	1972.10.07
125	Hamdouchi, Hichem	F	MAR	Tangier	1972.10.08
126	Tiviakov, Sergei	F	URS	Krasnodar	1973.02.14
127	Peng, Xiaomin	F	CHN		1973.04.08
128	Lautier, Joel	F	CAN	Scarborough	1973.04.12
129	Aleksandrov, Aleksej	F	URS		1973.05.11
130	Nielsen, Peter Heine	F	DEN	Holstebro	1973.05.24
131	Rustemov, Alexander	F	URS	Murmansk	1973.07.06
132	Tkachiev, Vladislav	F	URS	Moscow	1973.11.09
133	Kazhgaleyev, Murtas	F	URS	Oral	1973.11.17
134	Kotsur, Pavel	F	URS	Tselinograd	1974.01.03
135	Miladinovic, Igor	F	YUG		1974.01.25
136	Volkov, Sergey	F	URS	Saransk	1974.02.07
137	Sakaev, Konstantin	F	URS	Leningrad	1974.04.13
138	Sadler, Matthew	F	ENG		1974.05.15
140	Kamsky, Gata	F	USR	Novokuznetsk	1974.06.02
141	Rublevsky, Sergei	F	URS	Kurgan	1974.10.15
