id	kapitanyid	elso	utolso
1	18	1	4
2	45	5	8
3	21	9	10
4	45	11	17
5	37	18	30
6	23	31	52
7	37	53	57
8	23	58	66
9	13	67	71
10	37	72	73
11	22	74	74
12	48	75	76
13	28	77	99
14	25	100	100
15	33	101	114
16	28	115	133
17	14	134	139
18	40	140	142
19	37	143	146
20	33	147	163
21	39	164	180
22	10	181	221
23	19	222	234
24	12	235	235
25	19	236	236
26	12	237	238
27	49	239	244
28	15	245	262
29	53	263	266
30	43	267	335
31	6	336	343
32	51	344	347
33	2	348	427
34	26	428	437
35	44	438	447
36	24	448	457
37	26	458	486
38	4	487	487
39	38	488	493
40	47	494	494
41	2	495	531
42	31	532	539
43	32	540	545
44	35	546	576
45	36	577	606
46	30	607	609
47	53	610	613
48	16	614	618
49	1	619	624
50	36	625	629
51	3	630	638
52	35	639	656
53	20	657	660
54	27	661	674
55	42	675	678
56	53	679	688
57	35	689	700
58	8	701	719
59	3	720	755
60	17	756	778
61	34	779	806
62	5	807	813
63	50	814	829
64	29	830	849
65	11	850	883
66	7	884	884
67	41	885	889
68	9	890	896
69	46	897	912
