id	datum	ido	varos	stadion	nezoszam	ellenfel	lott	kapott	tetmeccs
1	1902.10.12		Bécs		500	Ausztria	0	5	
2	1903.04.05		Budapest	Csömöri út	750	Csehország	2	1	
3	1903.06.11	16:30:00	Budapest	Margitsziget	700	Ausztria	3	2	
4	1903.10.11		Bécs		600	Ausztria	2	4	
5	1904.06.02		Budapest	Csömöri út	800	Ausztria	3	0	
6	1904.10.09		Bécs		2000	Ausztria	4	5	
7	1905.04.09	16:00:00	Budapest	Csömöri út	6500	Ausztria	0	0	
8	1906.04.01		Budapest	Csömöri út	5000	Csehország	1	1	
9	1906.10.07		Prága		6000	Csehország	4	4	
10	1906.11.04	15:00:00	Budapest	Csömöri út	3000	Ausztria	3	1	
11	1907.04.07	16:00:00	Budapest	Millenáris	1000	Csehország	5	2	
12	1907.05.05		Bécs		2000	Ausztria	1	3	
13	1907.10.06		Prága		4000	Csehország	3	5	
14	1907.11.03	14:30:00	Budapest	Millenáris	7000	Ausztria	4	1	
15	1908.04.05	16:00:00	Budapest	Millenáris	9000	Csehország	5	2	
16	1908.05.03		Bécs		3500	Ausztria	0	4	
17	1908.06.10	18:00:00	Budapest	Millenáris	7000	Anglia	0	7	
18	1908.11.01	16:00:00	Budapest	Millenáris	8000	Ausztria	5	3	
19	1909.04.04	16:00:00	Budapest	Millenáris	9000	Németország	3	3	
20	1909.05.02		Bécs		1000	Ausztria	4	3	
21	1909.05.29	17:30:00	Budapest	Millenáris	10000	Anglia	2	4	
22	1909.05.30	17:30:00	Budapest	Millenáris	11000	Ausztria	1	1	
23	1909.05.31	17:30:00	Budapest	Millenáris	11000	Anglia	2	8	
24	1909.11.07	14:30:00	Budapest	Millenáris	10000	Ausztria	2	2	
25	1910.05.01		Bécs		7000	Ausztria	1	2	
26	1910.05.26	17:00:00	Budapest	Millenáris	12000	Olaszország	6	1	
27	1910.11.06	14:30:00	Budapest	Millenáris	11000	Ausztria	3	0	
28	1911.01.01		Párizs		2032	Franciaország	3	0	
29	1911.01.06	14:30:00	Milánó		4500	Olaszország	1	0	
30	1911.01.08		Zürich		3000	Svájc	0	2	
31	1911.05.07		Bécs		7000	Ausztria	1	3	
32	1911.10.29	15:30:00	Budapest	Millenáris	15000	Svájc	9	0	
33	1911.11.05	14:30:00	Budapest	Üllői út	25000	Ausztria	2	0	
34	1911.12.17		München		8000	Németország	4	1	
35	1912.04.14	16:00:00	Budapest	Üllői út	25000	Németország	4	4	
36	1912.05.05		Bécs		15000	Ausztria	1	1	
37	1912.06.20		Göteborg		2500	Svédország	2	2	
38	1912.06.23		Kristiania		4000	Norvégia	6	0	
39	1912.06.30		Stockholm		8000	Anglia	0	7	OJ
40	1912.07.03		Stockholm		2000	Németország	3	1	OJ
41	1912.07.05		Stockholm		5000	Ausztria	3	0	OJ
42	1912.07.12		Moszkva		3000	Oroszország	9	0	
