id	nev	tipus	megye	telepules	irszam	cim
1	Napi élelmiszerpiac	piac	Somogy	Balatonboglár	8630	Dózsa utca
2	Állat- és kirakodóvásár	vásár	Somogy	Balatonboglár	8630	Zrínyi utca, Major
3	Élelmiszerpiac	piac	Somogy	Balatonlelle	8638	Rákóczi utca
4	Őstermelői piac	termelői piac	Somogy	Balatonmáriafürdő	8647	Fizető strand
5	Vásárcsarnok, Helyi kirakodóvásár	piac és vásárcsarnok	Somogy	Barcs	7570	1819/53 hrsz.
6	Petörke Portéka	termelői piac	Somogy	Bárdudvarnok	7478	Petörke-tó partja
7	Községi piac 	piac	Tolna	Báta	7149	Fő utca 159.
8	Piac	piac	Tolna	Bátaszék	7140	Kossuth utca
9	Rákóczi utcai piac	piac	Tolna	Bonyhád	7150	Rákóczi utca
10	Országos állat- és kirakodóvásár	vásár	Tolna	Bonyhád	7150	1029 hrsz.
11	Piac	piac	Tolna	Dombóvár	7200	Petőfi utca 11.
12	Állatvásár	vásár	Tolna	Dombóvár	7200	Teleki utca
13	Kirakodó vásár	vásár	Tolna	Dombóvár	7200	Dózsa György utca 1.
14	Vegyes termékek árusítása	piac	Tolna	Fadd	7133	Mátyás király utca 32.
15	Országos állat- és kirakodóvásár	vásár	Tolna	Fadd	7133	Mátyás király utca nyugati végén lévő közterület
16	Piaccsarnok, vásár	piac és vásárcsarnok	Somogy	Fonyód	8640	8053 hrsz, 8044/10-13, 10235, 10236, 10242 hrsz.
17	Piac	piac	Baranya	Harkány	7815	Ady Endre utca
18	Heti piac	piac	Tolna	Hőgyész	2053	
19	Országos állat- és kirakodóvásár	vásár	Tolna	Hőgyész	2053	
20	Őstermelői piac	termelői piac	Somogy	Kaposmérő	7521	Rákóczi utca 41/a. Faluház előtti terület
21	Élelmiszerpiac és vásárcsarnok	piac	Somogy	Kaposvár	7400	Laktanya utca 5.
22	Élelmiszerpiac	piac	Somogy	Kaposvár	7400	Arany tér 7.
23	Állandó heti vásár	vásár	Somogy	Kaposvár	7400	Vásártéri utca 2.
24	Kaposvári Nagypiac	piac és vásárcsarnok	Somogy	Kaposvár	7400	Baross Gábor utca 5-13. 
25	Piac	piac	Somogy	Karád	8676	Semmelweis téri közterület 
26	Országos kirakódóvásár	vásár	Somogy	Karád	8676	Somogymeggyes útszakasz és a Vásártér utcaközötti terület
