helyid	napid
1	1
1	2
1	3
1	4
1	5
1	7
1	6
5	4
5	3
5	5
5	1
5	2
6	6
7	1
7	2
7	4
7	3
7	6
7	5
8	3
8	6
9	2
9	5
10	4
10	2
10	3
10	6
10	7
10	5
11	1
11	2
11	5
11	3
11	4
11	6
12	7
13	7
14	6
14	3
14	1
14	2
14	5
14	4
15	6
16	6
16	3
18	5
18	2
20	6
21	7
21	3
21	5
21	6
21	2
21	4
24	5
24	2
24	6
24	7
24	4
24	3
25	5
25	3
25	1
28	3
28	6
31	5
31	2
31	6
31	3
31	4
31	1
32	6
35	4
35	2
35	6
36	5
36	3
39	2
39	5
40	4
40	5
40	6
41	4
41	5
41	2
41	1
41	6
41	3
42	1
42	2
42	3
42	4
42	6
42	7
42	5
43	3
43	2
43	1
43	5
43	4
43	6
44	5
44	7
44	3
44	4
44	2
44	6
44	1
46	6
47	3
47	1
47	5
47	6
47	7
47	4
47	2
48	2
49	3
49	6
49	5
49	1
49	2
49	4
50	4
50	6
52	6
52	5
52	2
52	4
52	3
52	1
53	3
54	2
54	3
55	5
55	6
55	4
55	3
56	7
58	1
58	2
58	4
58	3
58	6
58	5
59	7
60	2
60	3
60	1
60	6
60	7
60	4
60	5
62	3
62	6
63	3
64	7
64	5
64	2
65	5
65	7
65	2
