szalloda_az	indulas	idotartam	ar
BS	2011.01.05	8	244900
BS	2011.01.05	15	358900
BS	2011.01.12	8	157900
BS	2011.01.12	15	265900
BS	2011.01.19	8	157900
BS	2011.01.19	15	265900
BS	2011.01.26	8	157900
BS	2011.01.26	15	265900
BS	2011.02.02	8	157900
BS	2011.02.02	15	265900
BS	2011.02.09	8	157900
BS	2011.02.09	15	289900
BS	2011.02.16	8	176900
BS	2011.02.16	15	303900
BS	2011.02.23	8	176900
BS	2011.02.23	15	303900
BS	2011.03.02	8	176900
BS	2011.03.02	15	303900
BS	2011.03.09	8	188900
BS	2011.03.09	15	322900
BS	2011.03.16	8	188900
BS	2011.03.16	15	322900
BS	2011.03.23	8	188900
BS	2011.03.23	15	358900
BS	2011.03.30	8	230900
BS	2011.03.30	15	394900
BS	2011.04.06	8	230900
BS	2011.04.06	15	394900
BS	2011.04.13	8	230900
BS	2011.04.13	15	406900
BS	2011.04.20	8	230900
BS	2011.04.20	15	445900
BS	2011.04.27	8	268900
CL	2011.01.02	8	59900
CL	2011.01.02	15	99900
CL	2011.01.09	8	83900
CL	2011.01.09	15	124900
CL	2011.01.16	8	91900
CL	2011.01.16	15	144900
CL	2011.01.23	8	91900
CL	2011.01.23	15	144900
CL	2011.01.30	8	91900
CL	2011.01.30	15	144900
CL	2011.02.06	8	98900
CL	2011.02.06	15	144900
CL	2011.02.13	8	98900
CL	2011.02.13	15	144900
CL	2011.02.20	8	98900
CL	2011.02.20	15	147900
CL	2011.02.27	8	98900
CL	2011.02.27	15	147900
CL	2011.03.06	8	106900
CL	2011.03.06	15	157900
CL	2011.03.10	11	128900
CL	2011.03.13	8	106900
CL	2011.03.13	12	135900
CL	2011.03.13	15	157900
CL	2011.03.17	8	105900
CL	2011.03.17	11	128900
CL	2011.03.17	15	157900
CL	2011.03.20	8	106900
CL	2011.03.20	12	135900
CL	2011.03.20	15	157900
CL	2011.03.24	8	105900
CL	2011.03.24	11	128900
CL	2011.03.24	15	157900
CL	2011.03.27	8	106900
CL	2011.03.27	12	135900
CL	2011.03.27	15	157900
CL	2011.03.31	8	105900
CL	2011.03.31	11	128900
CL	2011.03.31	15	157900
CL	2011.04.03	8	106900
CL	2011.04.03	12	135900
CL	2011.04.03	15	166900
CL	2011.04.07	8	105900
CL	2011.04.07	11	136900
CL	2011.04.07	15	180900
CL	2011.04.10	8	114900
CL	2011.04.10	12	155900
CL	2011.04.10	15	181900
CL	2011.04.14	8	125900
CL	2011.04.14	11	150900
CL	2011.04.14	15	180900
CL	2011.04.17	8	122900
CL	2011.04.17	12	149900
CL	2011.04.17	15	172900
CL	2011.04.21	8	108900
CL	2011.04.21	11	130900
CL	2011.04.21	15	160900
CL	2011.04.24	8	106900
CL	2011.04.28	8	105900
CP	2011.01.23	8	97900
CP	2011.01.23	15	143900
CP	2011.01.30	8	97900
CP	2011.01.30	15	143900
CP	2011.02.06	8	97900
CP	2011.02.06	15	143900
CP	2011.02.13	8	97900
CP	2011.02.13	15	143900
CP	2011.02.20	8	97900
CP	2011.02.20	15	143900
CP	2011.02.27	8	97900
CP	2011.02.27	15	143900
CP	2011.03.06	8	97900
CP	2011.03.06	15	143900
CP	2011.03.13	8	97900
CP	2011.03.13	15	143900
CP	2011.03.20	8	97900
CP	2011.03.20	15	143900
CP	2011.03.27	8	97900
CP	2011.03.27	15	143900
CP	2011.04.03	8	97900
CP	2011.04.03	15	154900
CP	2011.04.10	8	104900
CP	2011.04.10	15	154900
CP	2011.04.17	8	97900
CP	2011.04.17	15	143900
CP	2011.04.24	8	97900
CW	2011.01.02	8	79900
CW	2011.01.02	15	119900
CW	2011.01.09	8	93900
CW	2011.01.09	15	142900
CW	2011.01.16	8	112900
CW	2011.01.16	15	178900
CW	2011.01.23	8	112900
CW	2011.01.23	15	178900
CW	2011.01.30	8	112900
CW	2011.01.30	15	178900
CW	2011.02.06	8	119900
CW	2011.02.06	15	188900
CW	2011.02.13	8	119900
CW	2011.02.13	15	188900
CW	2011.02.20	8	119900
CW	2011.02.20	15	188900
CW	2011.02.27	8	119900
CW	2011.02.27	15	188900
CW	2011.03.06	8	128900
CW	2011.03.06	15	200900
CW	2011.03.10	11	158900
CW	2011.03.13	8	128900
CW	2011.03.13	12	169900
CW	2011.03.13	15	200900
CW	2011.03.17	8	127900
CW	2011.03.17	11	158900
CW	2011.03.17	15	200900
CW	2011.03.20	8	128900
CW	2011.03.20	12	169900
CW	2011.03.20	15	200900
CW	2011.03.24	8	127900
CW	2011.03.24	11	158900
CW	2011.03.24	15	200900
CW	2011.03.27	8	128900
CW	2011.03.27	12	169900
CW	2011.03.27	15	205900
CW	2011.03.31	8	127900
CW	2011.03.31	11	163900
CW	2011.03.31	15	226900
CW	2011.04.03	8	132900
CW	2011.04.03	12	194900
CW	2011.04.03	15	241900
CW	2011.04.07	8	152900
CW	2011.04.07	11	199900
CW	2011.04.07	15	241900
CW	2011.04.10	8	163900
CW	2011.04.10	12	205900
CW	2011.04.10	15	236900
CW	2011.04.14	8	142900
CW	2011.04.14	11	174900
CW	2011.04.14	15	216900
CW	2011.04.17	8	128900
CW	2011.04.17	12	169900
CW	2011.04.17	15	200900
CW	2011.04.21	8	127900
CW	2011.04.21	11	158900
CW	2011.04.21	15	200900
CW	2011.04.24	8	128900
CW	2011.04.28	8	127900
CZ	2011.01.05	8	59900
CZ	2011.01.05	15	99900
CZ	2011.01.12	8	86900
CZ	2011.01.12	15	130900
CZ	2011.01.19	8	94900
CZ	2011.01.19	15	142900
CZ	2011.01.26	8	94900
CZ	2011.01.26	15	142900
CZ	2011.02.02	8	102900
CZ	2011.02.02	15	151900
CZ	2011.02.09	8	102900
CZ	2011.02.09	15	151900
CZ	2011.02.16	8	102900
CZ	2011.02.16	15	151900
CZ	2011.02.23	8	102900
CZ	2011.02.23	15	157900
CZ	2011.03.02	8	102900
CZ	2011.03.02	15	157900
CZ	2011.03.09	8	109900
CZ	2011.03.09	15	164900
CZ	2011.03.16	8	109900
CZ	2011.03.16	15	164900
CZ	2011.03.23	8	109900
CZ	2011.03.23	15	164900
CZ	2011.03.30	8	109900
CZ	2011.03.30	15	189900
CZ	2011.04.06	8	133900
CZ	2011.04.06	15	207900
