kod	nev	szekhely
1	Panoráma Kiadó	Budapest
2	Lapkiadó Vállalat	Budapest
3	Statisztikai Kiadó Vállalat	Budapest
4	Helikon Kiadó	Budapest
5	Magvetõ Kiadó	Budapest
6	Szépirodalmi Könyvkiadó	Budapest
7	Móra Kiadó	Budapest
8	Fekete Sas Kiadó	Budapest
9	Editorg Kiadó	Budapest
10	Akadémiai Kiadó	Budapest
11	Unikornis Kiadó	Budapest
12	Európa Könyvkiadó	Budapest
13	Magánkiadás	
14	Széphalom Könyvmûhely	Budapest
15	Árkádia Kiadó	Budapest
16	Fabula Kiadó	Budapest
17	Forum Könyvkiadó	Újvidék
18	Gulliver Könyvkiadó	Budapest
19	Natura Kiadó	Budapest
20	Gondolat Kiadó	Budapest
21	Bethlen Gábor Könyvkiadó	Budapest
22	Kriterion Könyvkiadó	Kolozsvár
23	Nesztor Kiadó	Budapest
24	Franklin Társulat	Budapest
25	Ifjúsági Lap- és Könyvkiadó Vállalat	Budapest
26	Minerva Kiadó	Budapest
27	Kossuth Könyvkiadó	Budapest
28	Zenemûkiadó Vállalat	Budapest
29	Corvina Kiadó	Budapest
30	Szak Kiadó	Bicske
31	Kiskapu Kft	Budapest
32	Openinfo Kiadó	Budapest
33	LSI Oktatóközpont	Budapest
34	Mûszaki Könyvkiadó	Budapest
35	ComputerBooks Kiadó	Budapest
36	Szent Jeromos Kiadó	Budapest
37	Saxum Kiadó	Budapest
38	Zenemûkiadó Vállalat	Budapest
39	CMGK Kiadó	Budapest
40	Aranyhal Kiadó	Budapest
41	Tóth Könyvkereskedés és Kiadó	Debrecen
42	Maecenas Könyvkiadó	Budapest
43	Anno Kiadó	Budapest
