szerzo	cim	ev	kiadokod	oldal	tema
Fajth Tibor	Svájc	1980	1	576	útikönyv
Verzár István	Portugália	1984	1	519	útikönyv
Polonyi Péter	Kína	1987	1	616	útikönyv
Fehérdy Iván - Dukay Tóth Romola	Kanada	1985	1	549	útikönyv
dr. Viczenik Dénes	Mexikó	1985	1	504	útikönyv
Bács Gyula	Lengyelország	1976	1	618	útikönyv
	Magyarország	1972	1	759	útikönyv
Szabó R. Jenõ	Nagy-Britannia és Észak-Írország	1976	1	456	útikönyv
Békési B. István	Törökország	1983	1	548	útikönyv
Szentirmai József	Japán	1975	1	643	útikönyv
Fajth Tibor	Itália	1969	1	639	útikönyv
Pálfy József	Franciaország	1974	1	581	útikönyv
Szíj Enikõ	Finnország	1979	1	515	útikönyv
Forgács András - Szabó Miklós	Görögország	1976	1	677	útikönyv
Kis Csaba	Európai miniállamok	1985	1	404	útikönyv
Szabó R. Jenõ	Egyiptom	1979	1	622	útikönyv
Lindner László	Dánia	1985	1	439	útikönyv
Doromby Endre	Spanyolország	1976	1	629	útikönyv
	Románia	1973	1	658	útikönyv
Kis Csaba	Amerikai Egyesült Államok	1982	1	744	útikönyv
Balázs Dénes	Ausztrália, Új-Zéland, Óceánia	1981	1	832	útikönyv
Pethõ Tibor - Szombathy Viktor	Ausztria	1971	1	720	útikönyv
Bács Gyula	Bulgária	1972	1	436	útikönyv
Bede Béla - Lempert Márta	Brazília	1983	1	752	útikönyv
Pálfy József	Benelux államok	1975	1	447	útikönyv
Láng György	A Tamás-templom karnagya I-III.	1985	2	1059	zene
Marafkó László	Irodalmi séták	1985	3	172	irodalomtörténet
Márai Sándor	Füves könyv	1977	4	137	szépirodalom
Márai Sándor	Napló 1958-1967	1999	4	368	szépirodalom
Márai Sándor	Napló 1984-1989	1999	4	314	szépirodalom
Márai Sándor	Egy polgár vallomásai I-II.	1990	4	392	szépirodalom
Márai Sándor	Csutora	1991	4	126	szépirodalom
Márai Sándor	Szindbád hazamegy	1992	4	126	szépirodalom
Márai Sándor	A kassai polgárok	1990	4	191	szépirodalom
Márai Sándor	Eszter hagyatéka	2001	4	294	szépirodalom
Márai Sándor	A gyertyák csonkig égnek	1998	4	129	szépirodalom
Krúdy Gyula	Álmoskönyv	1966	5	598	szépirodalom
Krúdy Gyula	A tegnapok ködlovagjai	1961	6	676	szépirodalom
Krúdy Gyula	A Tisza fia	1979	7	498	szépirodalom
Krúdy Gyula	Szindbád	1973	4	865	szépirodalom
Kosztolányi Dezsõ	Nyelv és lélek	1971	6	584	szépirodalom
Kosztolányi Dezsõ	Pacsirta	1963	6	182	szépirodalom
Kosztolányi Dezsõ	Nero, a véres költõ	1957	6	286	szépirodalom
Köntös-Szabó Zoltán	Fehér zászló Erdély felett	1992	5	412	szépirodalom
Köntös-Szabó Zoltán	Tövissel kerített Éden	1994	5	420	szépirodalom
Köntös-Szabó Zoltán	Köd lepte be a Szamost	1997	8	408	szépirodalom
Köntös-Szabó Zoltán	Torda felõl hírt hoz a szél	2002	8	492	szépirodalom
Jókai Mór	A lõcsei fehér asszony	1982	6	516	szépirodalom
Jókai Mór	Az arany ember	1981	6	584	szépirodalom
Jókai Mór	Sárga rózsa	1979	7	96	szépirodalom
Jókai Mór	Fekete gyémántok I-II.	1958	6	541	szépirodalom
Jókai Mór	A huszti beteglátogatók	1982	7	366	szépirodalom
Jókai Mór	Szegény gazdagok	1983	6	412	szépirodalom
Jókai Mór	Az új földesúr	1991	9	326	szépirodalom
Jókai Mór	És mégis mozog a Föld I-II.	1958	6	740	szépirodalom
Jókai Mór	Akik kétszer halnak meg	1961	6	704	szépirodalom
Jókai Mór	Egy magyar nábob	1977	7	504	szépirodalom
Jókai Mór	Kárpáthy Zoltán	1979	7	452	szépirodalom
Jókai Mór	A lélekidomár	1979	10	538	szépirodalom
Jókai Mór	A kõszívû ember fiai	1996	11	534	szépirodalom
James, Henry	Maisie tudja	1978	12	286	szépirodalom
Jókai Anna	A reimsi angyal	1975	6	438	szépirodalom
Jókai Anna	Szegény Sudár Anna	1989	6	438	szépirodalom
Jókai Anna	Ima Magyarországért	2003	13	10	szépirodalom
Jókai Anna	Ne féljetek	2005	14	343	szépirodalom
Homérosz	Iliász. Odüszeia	1967	4	958	szépirodalom
Hemingway, Ernest	Fiesta	1962	12	250	szépirodalom
Hemingway, Ernest	Francis Macomber rövid boldogsága. A Kilimandzsáró hava	1970	4	73	szépirodalom
Hemingway, Ernest	Akiért a harang szól	1983	12	526	szépirodalom
Hemingway, Ernest	Veszélyes nyár	1988	15	272	szépirodalom
Hemingway, Ernest	Vándorünnep	1968	12	236	szépirodalom
Hemingway, Ernest	Elbeszélések	1992	16	288	szépirodalom
Hemingway, Ernest	A folyón át, a fék közé	1966	17	318	szépirodalom
Hemingway, Ernest	Búcsú a fegyverektõl	1966	12	324	szépirodalom
Durrell, Gerard	Vadállatok bolondja	1982	7	207	szórakoztató irodalom
Durrell, Gerard	Szamártolvajok	1990	18	128	szórakoztató irodalom
Durrell, Gerard	Vadak a vadonban	1988	19	173	szórakoztató irodalom
Durrell, Gerard	Családom és egyéb állatfajták	1983	12	338	szórakoztató irodalom
Durrell, Gerard	Istenek kertje	1986	12	262	szórakoztató irodalom
Durrell, Gerard	Rokonom, Rosy	1983	12	268	szórakoztató irodalom
Durrell, Gerard	Állatkert a poggyászomban	1985	20	213	szórakoztató irodalom
Durrell, Jacquie	Állatok az ágyamban	1985	12	244	szórakoztató irodalom
Hugo, Victor	A párizsi Notre Dame	1964	12	489	szépirodalom
Hugo, Victor	A nyomorultak I-II.	1966	12	1360	szépirodalom
Illyés Gyula	Ki a magyar	1982	5	66	szépirodalom
Illyés Gyula	A Szentlélek karavánja	1987	6	348	szépirodalom
