Díj km-ként	150 		Megtett út					
Alapdíj	300 		Bevétel					
Ajándék	75 		Összajándék					
								
A rendelés időpontja	A beszállás időpontja	A célbaérés időpontja	Megtett út	Törzsutaskártya száma	Várakozási idő	Taxióra állása	Fizetendő	Sebesség (km/h)
6:23:00	6:29:00	6:50:00	7,54	T21231				
6:58:00	7:02:00	7:10:00	3,4					
7:32:00	7:37:00	8:00:00	6,05					
7:59:00	8:01:00	8:08:00	3,98					
8:16:00	8:16:00	8:35:00	7	T342344				
8:46:00	9:04:00	9:23:00	6,19					
9:12:00	9:27:00	9:47:00	8,66					
9:44:00	9:54:00	10:20:00	6,58					
10:15:00	10:28:00	10:49:00	7,08					
11:08:00	11:12:00	11:20:00	4,84					
11:31:00	11:44:00	12:12:00	8,41	T312124				
11:54:00	12:14:00	12:27:00	6,06	T42421				
12:32:00	12:52:00	13:01:00	3,65					
12:57:00	13:16:00	13:46:00	7,4					
14:02:00	14:07:00	14:12:00	2,06					
14:05:00	14:13:00	14:28:00	7,9					
14:21:00	14:33:00	14:38:00	2,99					
14:42:00	14:58:00	15:02:00	2,31	T42313				
15:12:00	15:16:00	15:34:00	5,65					
15:29:00	15:37:00	15:41:00	2,46					
16:02:00	16:08:00	16:35:00	7,62	T6621				
16:38:00	16:52:00	16:57:00	3,52					
16:44:00	17:01:00	17:11:00	3,64					
17:17:00	17:25:00	17:30:00	2,92	T41221				
17:28:00	17:30:00	17:43:00	5,75					
18:00:00	18:00:00	18:26:00	6,62					
