hajoazon	nap	szemely
15	3	2
37	7	3
14	3	6
24	3	4
20	3	2
23	2	4
36	3	3
38	3	2
32	4	5
17	3	10
18	2	9
8	3	3
22	4	3
26	3	2
21	2	5
11	3	2
25	4	4
5	2	2
33	3	1
10	4	3
39	2	2
40	7	3
7	3	4
9	4	2
6	8	4
13	3	4
27	2	3
30	3	4
16	4	4
31	3	1
35	2	6
5	3	2
26	4	2
22	2	2
39	7	1
27	7	4
19	7	3
37	6	3
9	5	2
27	4	4
31	3	2
32	4	5
20	5	2
27	4	4
8	3	3
15	4	1
14	5	6
9	4	2
25	3	6
18	4	10
32	5	5
8	6	3
1	5	2
19	4	3
1	3	2
19	4	2
22	4	4
35	3	8
29	3	1
37	4	3
16	4	6
11	5	2
28	6	7
24	5	5
32	4	6
10	3	4
37	4	3
27	5	4
23	4	3
12	3	3
25	4	4
6	5	5
1	6	2
17	5	11
35	4	7
15	3	2
11	4	2
16	5	5
39	6	1
29	4	2
31	3	2
18	4	10
33	5	1
34	6	2
14	4	8
5	4	2
26	5	3
28	6	6
33	3	1
24	2	4
38	3	2
36	2	4
30	3	4
7	4	5
20	3	1
3	4	2
4	5	6
9	4	2
3	3	3
