Országok és területek	Terület	 Teljes lakossága	Népsûrûség	GNI	GNI kategóriák	Európai Unió tagállama	Földrajzilag Európához tartozó területe	 Európához tartozó területének lakossága	Mely országok nem tartoznak teljesen Európához?
Albánia	28748	3170000		2960		0	28748	3170000	
Andorra	468	83137				0	468	83137	
Ausztria	83858	8340924		39590		1	83858	8340924	
Azerbajdzsán	86600	7911974		1850		0	39730	4198491	
Belgium	30510	10666866		38600		1	30510	10666866	
Bosznia-Hercegovina	51129	3935000		2980		0	51129	3935000	
Bulgária	110910	7640238		3990		1	110910	7640238	
Ciprus	5895	788457		18430		1	0	0	
Csehország	78866	10424926		12680		1	78866	10424926	
Dánia	43094	5489022		51700		1	43094	5489022	
Egyesült Királyság	244820	61186000		40180		1	244820	61186000	
Észtország	45226	1340600		11410		1	45226	1340600	
Fehéroroszország	207600	9690000		3380		0	207600	9690000	
Finnország	337030	5320100		40650		1	337030	5320100	
Franciaország	547030	64473140		36550		1	551695	61875822	
Görögország	131940	11215000		21690		1	131940	11215000
Grúzia	69700	4677401		1560		0	49240	2447176
Hollandia	41526	16448000		42670		1	41526	16448000
Horvátország	56542	4435400		9330		0	56542	4435400
Írország	70280	4422100		45580		1	70280	4422100
Izland	103000	319355		50580		0	103000	319355
Kazahsztán	2717300	15185844		3790		0	263200	1285174
Lengyelország	312685	38115967		8190		1	312685	38115967
Lettország	64589	2268000		8100		1	64589	2268000
Liechtenstein	160	35365				0	160	35365
Litvánia	65200	3361100		7870		0	65200	3361100
Luxemburg	2586	483800		76040		1	2586	483800
Macedónia	25333	2045200		3060		0	25333	2045200
Magyarország	93030	10035000		10950		1	93030	10035000
Málta	316	410600		13610		1	316	410600
Moldova	33843	4128047		1100		0	33843	4128047
Monaco	2	33000				0	2	33000
Montenegro	13812	598000		3860		0	13812	598000
Németország	357021	82169000		36620		1	357021	82169000
Norvégia	324220	4782000		66530		0	386433	4782000
Olaszország	301230	59619290		32020		1	301230	59619290
Oroszország	3960000	143420309		5780		0	3960000	106037143
Portugália	92391	10617600		18100		1	91568	10371794
Románia	238391	21528600		4850		1	237500	21528600
San Marino	61	30800				0	61	30800
Spanyolország	504782	46063500		27570		1	497286	43918756
Svájc	41290	7647600		57230		0	41290	7647600
Svédország	449964	9223766		43580		1	449964	9223766
Szerbia	77464	9598000		3910		0	88361	9598000
Szlovákia	48845	5402273		9870		1	48845	5402273
Szlovénia	20273	2029000		18890		1	20273	2029000
Törökország	780580	69660559		5400		0	23812	11044932
Ukrajna	603700	46030720		1950		0	603700	46030720
