vasarlokod;osszeg;idopont
8567;710;13:02:35
3420;700;11:11:07
8758;425;10:06:40
9717;795;8:02:54
6330;720;9:11:19
8492;775;10:37:13
3480;250;11:30:54
2049;150;13:08:40
8766;520;9:03:09
8390;195;13:33:09
4359;600;11:02:59
9577;275;9:09:17
2924;140;8:09:50
1363;690;8:15:09
4220;280;12:00:46
8739;635;8:07:21
4631;510;13:05:01
2180;340;12:07:59
353;600;12:52:19
2568;160;9:28:07
147;365;13:01:12
580;505;9:08:23
1278;110;8:12:10
3564;435;10:00:17
4269;305;13:07:26
9847;210;13:14:43
9530;465;12:03:05
4359;665;11:03:07
4750;300;13:08:50
6609;765;8:59:46
5050;735;11:12:36
3004;785;8:09:24
8813;635;8:58:25
401;595;12:08:32
4767;750;12:11:38
7040;670;11:09:19
273;95;13:06:46
1385;630;12:10:14
5596;225;10:05:31
3240;585;12:05:20
9148;690;9:19:51
8238;635;12:33:01
4411;515;11:00:42
2867;670;12:08:42
8588;245;9:11:37
4118;405;13:03:51
3891;225;8:01:37
3745;805;13:07:37
180;95;13:03:29
1152;460;8:04:38
7199;430;9:08:35
6868;340;12:10:45
7844;690;9:14:38
1228;275;11:01:04
3898;810;12:09:00
769;195;9:05:32
7809;360;8:16:37
572;115;9:13:29
891;255;11:00:05
3808;425;13:01:30
1877;540;11:04:44
1896;105;9:00:25
2454;145;10:04:52
1643;750;13:00:23
7363;755;9:17:15
1088;160;12:08:51
8912;80;10:05:13
7195;445;10:03:37
469;430;11:04:06
9467;740;8:11:23
6416;665;8:30:35
5878;775;13:13:13
5216;795;8:12:48
8271;570;9:02:41
4812;395;10:08:27
7220;585;13:13:25
8768;365;12:14:15
4029;480;12:13:40
6760;760;12:02:38
9885;140;12:07:36
2284;470;13:14:21
6757;265;12:05:30
883;325;8:04:08
9629;425;11:11:17
9152;725;9:13:49
1946;445;13:07:58
8179;315;10:09:59
2360;245;9:05:52
6481;290;11:07:24
6481;210;8:04:29
3685;165;10:07:31
9407;105;12:03:33
7762;170;11:01:42
2215;305;10:07:21
5387;465;13:00:13
6767;195;11:14:16
5683;315;11:06:44
9900;680;10:26:29
4767;245;9:26:29
5510;715;10:57:01
9247;485;12:04:56
2871;285;8:09:12
2066;550;9:03:00
1451;780;9:09:06
3661;185;8:03:59
1088;600;12:14:37
3409;750;13:02:15
8757;565;10:00:39
7547;360;8:13:57
9272;645;13:10:30
8271;190;11:11:39
4359;440;9:04:39
3768;405;13:05:55
6481;620;13:04:01
8929;440;10:06:50
8754;105;10:09:48
9270;740;8:06:39
790;270;8:10:09
8429;330;13:06:03
9705;360;12:01:39
7618;590;12:12:08
1363;215;10:49:20
5431;405;13:06:37
2623;500;11:02:27
8215;235;11:01:12
3580;530;10:00:50
9474;360;8:01:08
654;755;13:10:18
868;515;8:04:57
8739;520;11:07:04
2878;715;8:08:49
684;445;12:11:18
4767;775;12:03:24
3556;470;10:14:05
2716;800;9:06:56
1228;150;13:11:19
891;275;10:03:47
1509;405;12:09:55
2898;515;12:14:55
1203;700;13:40:51
8393;315;11:02:16
6051;230;13:03:20
9652;710;8:07:13
5386;580;9:09:43
106;670;11:07:14
111;245;12:09:31
7844;435;12:18:00
6802;165;12:01:56
4502;640;13:01:20
2112;615;11:12:06
5593;280;11:09:07
223;310;12:13:08
3933;665;10:37:31
6039;150;10:01:37
6931;195;11:13:49
5364;425;12:12:18
7490;175;10:13:54
8355;225;10:08:47
868;390;9:14:08
3207;155;13:11:11
7081;805;13:03:02
4716;215;11:10:55
1088;675;12:08:11
998;165;9:06:45
9991;310;11:00:16
2351;510;9:08:01
1074;765;8:00:13
8552;135;8:11:46
8099;540;11:03:15
1589;585;11:01:22
4502;305;10:10:22
3075;690;11:04:14
5055;570;11:35:59
1776;675;10:06:13
4456;690;8:07:42
3004;115;12:09:10
5273;335;12:28:42
1877;565;11:11:29
4014;560;12:00:08
1642;305;11:08:37
5546;290;8:01:53
7694;685;9:07:26
1268;450;10:10:41
6272;800;8:06:51
5387;260;13:11:03
6446;725;9:54:56
7564;125;9:11:45
9466;125;10:10:11
9241;445;9:47:26
9577;215;10:09:29
7645;620;10:01:08
1268;605;11:06:33
6192;205;10:13:31
2352;235;13:12:24
1770;400;13:13:04
5596;410;12:12:29
237;670;8:07:02
7959;85;10:03:19
9140;95;11:38:40
1745;630;10:05:22
2929;590;9:28:17
9576;425;10:18:25
28;345;10:08:59
9766;600;10:11:23
5126;555;10:51:57
4750;240;8:00:47
6883;165;10:24:43
9185;665;11:17:57
7740;660;8:10:31
2320;140;11:55:15
6767;280;13:05:17
3933;785;13:05:46
9657;470;13:12:41
7547;445;8:03:06
9842;585;8:03:17
6934;825;13:08:10
3682;190;10:01:48
317;590;10:07:43
5382;615;12:08:23
4069;585;13:10:52
2924;530;9:01:03
372;145;8:05:16
5647;365;11:07:58
7292;670;11:10:23
9148;195;8:13:18
857;440;13:34:51
9126;775;12:00:57
3409;200;9:14:00
4748;625;9:11:02
572;85;13:07:15
3998;640;10:03:27
1616;670;10:35:00
6934;540;12:14:46
7243;375;13:08:31
8291;110;8:08:30
317;455;9:04:48
2021;220;8:02:33
2827;425;13:12:13
6829;720;10:13:10
2623;105;13:14:02
647;810;12:03:57
8393;440;13:00:04
5884;80;12:00:28
8655;505;13:02:54
223;265;9:00:16
2875;410;10:14:16
7617;415;11:15:07
1877;450;10:01:17
4244;340;11:11:58
1186;155;12:04:18
3294;675;13:06:13
7068;655;8:39:22
7243;475;9:09:35
9681;710;8:06:21
3315;640;13:10:09
9623;430;8:12:28
2313;485;8:01:20
2375;630;8:43:19
9968;290;11:04:34
3563;655;13:34:40
71;530;9:07:16
7341;320;12:07:12
9437;460;8:05:28
1687;785;8:12:40
4748;445;10:10:51
2545;485;11:43:15
5435;260;8:09:33
3745;460;11:03:46
3149;770;10:06:31
2320;260;12:36:35
6351;495;11:08:48
3294;650;13:10:42
5321;340;8:02:14
5321;810;12:10:24
3393;415;12:54:49
4372;345;8:11:02
5307;295;10:11:14
3315;710;9:12:55
510;810;13:07:04
446;410;11:08:17
9657;385;9:10:38
5273;780;9:50:41
4502;565;10:07:55
2007;85;11:02:50
6758;670;12:11:06
8774;710;8:09:01
6692;400;12:07:47
7866;370;12:14:07
8067;95;9:02:17
425;100;11:00:33
2241;405;9:00:35
286;360;12:20:51
5940;450;12:04:36
5046;610;13:02:24
8291;630;11:07:32
7012;580;8:05:59
6645;825;11:10:46
1858;130;8:11:34
2953;815;9:04:18
9257;370;8:04:46
8470;680;10:00:27
8732;735;8:08:41
2391;785;8:13:26
2342;280;11:59:59
2170;345;13:12:05
8420;700;10:52:35
6274;530;9:05:00
3179;490;13:04:42
6850;400;11:13:37
9879;285;11:12:27
4183;740;9:11:10
8541;405;9:14:18
949;675;8:08:12
6757;470;11:10:13
767;395;8:08:00
2613;510;13:09:39
4956;230;13:13:43
3582;285;13:12:53
2529;220;11:13:08
4947;780;9:08:55
4810;385;11:00:54
3315;615;13:06:25
1955;570;11:01:52
6057;380;12:11:49
2360;695;10:02:48
2010;160;9:15:16
9842;415;8:14:25
2397;185;9:10:29
476;675;8:15:00
8050;420;9:11:28
2589;785;9:11:56
9638;580;9:02:52
372;630;10:04:16
1850;530;12:45:48
4619;595;8:01:45
6500;430;13:04:22
8179;350;11:08:27
4315;585;13:23:53
2982;415;13:03:40
4918;115;10:05:50
7648;235;9:07:49
500;365;12:13:29
382;480;13:11:31
230;315;9:05:20
9899;440;12:07:24
3113;795;9:12:07
482;715;8:05:05
9885;600;12:06:14
3792;375;13:05:09
8251;780;9:13:05
1385;465;13:00:39
8457;700;10:12:51
8328;335;9:53:35
1930;535;9:08:13
8291;110;12:05:42
477;790;10:08:16
2170;740;12:11:27
1554;810;11:14:27
5414;145;8:34:54
9847;690;8:14:16
7542;450;8:38:42
3588;545;13:09:20
580;465;10:09:20
3999;805;10:06:02
6432;430;8:05:37
3675;165;12:13:20
446;450;10:11:02
7912;215;8:10:52
953;315;10:13:43
8328;120;11:03:55
1267;700;11:27:53
4808;580;13:01:52
2010;230;12:11:58
3720;690;11:05:04
4391;730;12:03:45
7454;795;12:12:38
6948;525;9:01:54
5018;760;10:02:38
151;430;8:09:41
8912;395;10:00:58
3643;785;13:13:54
769;340;10:09:38
6526;785;13:01:01
2240;675;10:04:28
2433;785;10:12:22
2198;655;12:13:59
448;390;10:11:44
2568;455;10:18:05
1858;755;9:04:27
5542;315;12:52:40
4849;500;11:38:48
7694;200;11:12:58
3263;280;10:30:57
6854;360;9:14:30
2970;565;12:01:29
2148;185;11:04:53
7384;285;9:09:55
8982;505;13:00:31
8928;140;8:12:58
8469;730;10:14:28
8625;375;9:06:03
3933;765;8:06:29
5567;620;12:12:46
4442;730;12:01:48
9046;615;12:05:08
8291;80;12:00:16
1042;500;13:08:22
1683;655;9:41:50
6784;545;9:05:42
4612;605;13:05:25
7618;90;9:01:45
2241;400;11:01:31
3377;530;12:02:16
234;775;8:11:58
1414;450;9:01:14
3787;100;13:05:34
7614;165;9:42:46
4220;520;13:09:28
2342;170;11:03:34
203;595;12:14:26
1851;625;13:07:47
9911;560;12:02:56
8541;765;11:08:57
8099;535;10:05:02
3967;265;11:02:38
1734;810;8:03:47
7019;525;11:14:59
350;635;12:05:52
2867;345;8:13:06
6129;300;13:14:11
1403;85;9:14:56
7614;610;11:13:25
3737;590;11:05:48
4453;795;10:09:10
3588;375;11:06:53
3113;470;9:07:08
5704;125;12:06:51
425;730;8:04:20
2763;130;13:09:59
3588;270;11:09:31
7007;205;9:03:37
4388;110;12:04:47
5216;755;8:05:48
5141;620;9:13:40
8929;530;12:59:56
8732;350;8:55:07
6433;530;11:14:39
353;580;10:12:34
5647;190;10:02:20
6854;570;11:04:25
1877;105;9:12:18
9888;215;12:02:46
9681;695;13:09:50
9247;365;9:09:25
5386;800;8:00:36
6757;575;10:02:09
9241;330;10:47:01
6129;445;8:10:21
1897;610;9:22:05
8429;720;12:15:04
5973;795;10:13:20
8215;630;8:03:27
4918;470;12:06:04
5301;580;13:01:42
1186;665;11:14:07
8929;825;10:38:28
7343;810;10:12:59
5988;370;13:02:04
5973;140;13:04:34
1850;340;9:00:54
998;525;8:13:38
583;705;9:07:38
9393;600;8:03:35
4619;590;13:14:32
273;545;9:12:36
891;345;8:01:28
9407;135;9:05:09
3631;575;12:10:04
2204;245;13:08:58
9629;320;8:07:51
9713;775;10:02:30
2284;205;11:13:16
6088;195;8:14:33
1102;325;10:12:04
8215;100;12:06:43
4069;295;13:15:15
1021;700;8:10:42
3643;355;8:14:52
719;330;10:45:46
9726;660;12:06:25
6051;145;10:08:38
5739;235;11:11:50
2073;125;11:02:04
2878;705;11:09:41
9086;785;13:14:52
7676;355;13:09:08
7442;130;13:06:56
1987;220;9:10:50
7494;145;13:02:46
8689;255;12:02:27
5803;735;9:00:06
6854;240;9:04:08
8457;785;9:01:24
1908;470;9:03:47
6611;665;9:15:04
1851;525;10:52:02
4716;495;12:00:36
8313;290;9:02:25
582;90;10:12:43
4439;275;10:06:22
9570;415;10:11:53
3643;225;10:14:58
5829;490;11:06:22
7343;120;10:03:56
4442;485;13:12:32
3078;130;8:00:02
4053;565;9:30:18
9422;310;11:12:17
8429;315;10:00:05
1279;430;11:09:51
5301;120;9:00:46
1461;520;12:03:13
8286;325;8:09:59
2467;445;12:07:03
8367;245;13:04:10
9888;450;8:06:11
4315;230;8:52:50
2504;595;9:02:33
1616;670;9:06:14
3453;505;8:14:41
3510;485;8:02:05
5321;315;9:08:46
5075;755;9:45:36
9366;700;9:06:34
1770;660;13:13:34
8215;170;13:03:11
7490;335;10:02:58
4249;690;13:04:52
8047;550;12:10:34
3808;520;8:13:47
9911;520;9:59:54
6016;175;12:01:17
4925;650;10:04:04
5955;155;11:08:06
5550;605;11:05:36
4053;340;10:21:28
5729;595;9:06:24
9611;785;10:10:30
4073;290;10:53:56
6222;340;12:09:20
8618;450;8:00:59
5843;360;12:13:50
2758;655;10:14:38
7645;345;8:02:25
7414;225;10:11:33
5739;150;11:03:26
5226;310;9:01:35
2050;530;12:04:26
230;290;9:03:29
8739;435;9:13:17
4391;715;11:10:02
4849;580;9:14:46
6446;620;8:08:20
230;680;8:12:20
7375;135;10:14:49
6274;190;9:12:27
3404;775;8:14:06
7676;595;11:07:49
4388;80;13:11:54
4014;225;11:12:46
1562;480;10:03:09
1734;375;11:25:07
2613;490;9:12:45
4385;725;8:07:31
3661;355;12:12:56
9046;455;11:14:49
3295;210;11:05:24
1642;165;11:26:17
2084;320;11:13:59
6496;170;12:01:09
1745;315;9:03:58
111;450;11:06:10
9407;415;13:15:03
2058;700;12:10:57
4411;660;11:10:34
9279;85;10:04:40
3967;560;9:03:20
1851;645;12:04:06
1642;220;11:47:41
5216;405;8:00:24
496;450;10:12:13
9582;450;10:15:06
4851;155;12:02:04
9713;190;8:11:13
7414;310;11:00:24
8390;180;12:09:43
7956;175;8:02:44
9573;675;10:39:24
203;425;10:05:42
2577;260;9:10:06
4758;435;13:11:42
