kod;csoport;ferfi
4517;T;-1
8238;12;0
2137;9;0
2924;12;-1
1074;12;0
5984;10;0
6217;10;0
500;10;0
8362;12;0
4810;12;0
5236;12;-1
1616;11;0
5046;9;-1
2454;9;0
1294;9;0
3240;12;-1
8355;10;0
9713;10;0
9247;10;0
6972;11;0
8625;12;0
2893;9;0
7602;9;0
6829;11;-1
3143;10;-1
899;T;0
7342;10;-1
4405;9;0
9115;11;-1
8153;10;0
660;T;0
5120;12;0
5593;10;0
3284;11;0
8179;12;0
4069;11;0
1371;9;0
3420;10;0
2931;9;0
111;12;0
4029;9;0
2681;11;0
3450;11;0
2676;11;0
7617;9;-1
3471;10;-1
4439;11;-1
3004;12;-1
1851;11;0
9020;12;0
1896;9;-1
1289;10;0
5333;11;0
8420;T;0
4812;10;0
6496;9;-1
6692;9;-1
6658;10;0
3083;9;-1
8400;11;0
9574;10;-1
9576;9;-1
3720;9;-1
4619;10;-1
3409;10;-1
653;12;0
350;12;-1
2086;11;0
5600;9;-1
7019;10;-1
3682;9;0
9182;9;0
7384;11;0
7614;12;0
2558;11;0
8454;9;0
9152;11;0
8857;10;-1
9972;9;-1
5340;11;0
1633;12;-1
7676;9;-1
4638;12;-1
5567;12;-1
8470;12;-1
9255;12;0
1624;9;0
7809;12;0
1228;9;0
3891;12;0
6526;10;-1
5424;12;-1
7976;12;-1
1383;10;0
4988;12;-1
3745;12;-1
1168;9;-1
5955;11;0
7645;10;0
1916;11;-1
2180;9;0
4524;12;-1
8689;12;-1
3611;9;0
8022;10;-1
1781;10;0
9363;10;-1
5550;11;-1
3954;9;0
1553;10;-1
647;11;0
1364;T;-1
3872;12;0
3393;11;-1
9717;9;-1
3840;11;-1
9257;9;-1
9365;T;-1
8040;12;0
5479;12;-1
431;10;0
5364;12;0
2813;10;0
9407;10;-1
4453;T;0
2871;12;-1
3267;T;-1
6416;12;-1
176;9;-1
6767;10;0
2250;11;0
6053;12;-1
2215;11;-1
3315;11;-1
412;9;-1
2351;11;-1
5729;9;0
7040;11;0
6850;11;-1
99;11;-1
9745;12;-1
891;9;-1
9577;11;-1
1865;9;0
3285;11;0
2581;12;-1
6355;9;0
8732;12;0
1645;12;-1
2929;12;0
6967;10;-1
5125;10;-1
790;9;0
3388;10;-1
230;10;0
3769;12;0
8614;10;-1
9393;12;-1
9515;11;-1
6433;9;0
6296;10;-1
1644;11;0
6468;10;0
6227;9;0
4918;12;0
1955;9;-1
4269;11;0
3656;11;-1
5316;10;-1
1130;9;0
714;9;-1
9046;9;0
682;10;-1
7498;11;0
8672;9;0
2917;12;0
3998;12;-1
9086;12;-1
4716;12;-1
3207;9;0
223;9;0
8457;9;-1
273;11;0
1403;12;0
1643;11;0
2675;12;-1
2722;12;0
2241;10;0
6478;12;0
71;10;-1
868;10;-1
5745;10;0
9091;10;0
2021;9;0
4669;10;0
2577;9;0
5803;10;0
7270;10;-1
5623;11;0
918;9;-1
3787;11;0
8011;11;0
5414;12;0
4750;10;0
4014;9;0
9888;12;0
3631;11;0
4887;11;0
2170;11;-1
8291;9;-1
9742;11;0
8325;11;0
5223;12;0
5293;11;-1
9940;10;-1
2204;11;-1
8067;11;0
8271;12;-1
5365;10;-1
2027;9;-1
3675;9;-1
2076;12;0
2529;10;0
5304;11;0
4062;T;0
2050;10;-1
1021;9;-1
1877;12;0
2763;12;-1
7296;10;-1
1989;10;0
3588;10;-1
1152;9;-1
132;11;0
2545;12;-1
6446;9;0
1587;10;-1
8768;12;0
9644;10;0
3600;9;-1
2845;9;0
1278;12;0
3677;11;-1
8099;9;-1
9495;10;0
2178;10;-1
2982;9;0
7199;11;-1
1687;9;0
5967;12;0
8233;9;0
6948;12;-1
8541;9;0
3075;12;-1
2342;9;-1
8086;9;-1
6192;10;0
8147;10;0
4321;9;0
7195;9;0
9025;11;0
7490;11;0
9604;10;-1
1898;10;0
241;10;-1
5890;10;0
2066;11;-1
5878;9;0
7442;10;0
3927;11;-1
372;12;-1
8251;10;-1
1683;11;0
1084;10;0
1562;10;-1
3377;9;-1
6818;11;-1
2970;10;-1
4411;9;-1
5713;10;0
