ev	szakaz	ossz	elso	felvett	pont	forma	munkarend	tamogatott
2009	30	2	1	1	81	M	N	0
2010	162	13	1	1	92	M	N	0
2008	55	22	2	0		M	N	0
2012	188	5	2	2	77	M	N	0
2010	212	6	1	0		M	N	1
2009	130	163	59	29	80	M	N	1
2009	214	198	20	51	321	A	N	0
2012	103	275	60	14	424	A	N	1
2008	78	539	100	114	392	A	N	1
2011	189	6	0	0		A	N	0
2012	121	1	1	1	93	M	N	0
2010	76	102	23	14	410	A	N	1
2010	55	12	1	2	30	M	N	0
2009	88	119	33	20	410	A	N	1
2007	156	114	9	5	134	A	N	0
2009	66	1	1	0		M	N	0
2009	180	50	16	10	407	A	N	1
2010	86	46	11	10	56	M	L	0
2010	166	2	1	1	84	M	N	1
2011	184	2	1	1	89	M	N	1
2007	180	8	0	0		A	N	0
2011	178	2	0	0		M	N	0
2010	15	1	0	0		M	N	0
2007	156	312	130	25	138	A	N	1
2009	117	9	2	1	83	M	L	0
2011	202	16	9	5	37	M	N	1
2011	88	64	21	20	384	A	N	1
2008	167	3	2	2		M	N	0
2009	48	1	0	0		M	N	1
2010	51	11	1	0		M	N	0
2012	52	7	1	1	87	M	N	0
2011	83	1537	910	356	427	O	N	1
2011	188	15	10	6	79	M	N	1
2009	40	90	2	0		M	N	0
2011	197	1	1	1	70	M	N	0
2010	35	10	10	4	59	M	N	1
2007	90	1	0	0		A	N	0
2008	167	20	15	14	95	M	N	1
2010	136	10	1	2	80	M	N	1
2007	40	12	0	0		A	N	0
2011	55	102	51	21	74	M	N	1
2011	150	2	1	1	83	M	N	1
2011	11	11	5	3	82	M	N	1
2009	2	16	1	0		M	L	1
2009	113	583	122	149	281	A	N	1
2011	161	13	0	3	318	A	N	0
2010	46	10	6	6	73	M	N	1
2011	133	133	57	40	75	M	N	1
2008	195	224	81	37	437	A	N	1
2009	90	4	0	1	298	A	N	0
2012	153	3	0	0		M	E	0
2010	51	388	115	45	419	A	N	1
2011	166	5	5	3	85	M	N	1
2012	85	1	0	0	72	M	N	0
2011	165	4	3	2	73	M	N	1
2011	117	6	5	4	51	M	N	1
2011	185	230	14	19	389	A	N	0
2010	107	1	0	0		M	N	1
2012	8	4	2	1	72	M	N	1
2012	16	15	8	1	403	A	N	1
2010	37	16	8	3	48	M	L	1
2009	153	1	1	0		M	E	0
2009	141	4	0	0		M	N	0
2007	133	264	20	9	130	A	N	0
