Igénylések								Összesítés				
Fuvarszám	Kód	Mettől	Meddig	Napok	Napidíj	Fizetendő		Kód	Kategória	Napidíj	Alkalom	Bevétel
FG 01234	Sz	2012.07.04	2012.07.12					Sz	személy	5500		
FG 01235	Sz	2012.07.04	2012.07.10					Uf	utánfutó	3500		
FG 01236	Uf	2012.07.04	2012.07.09					Mb	mikrobusz	12500		
FG 01237	Kt	2012.07.04	2012.07.07					Lk	lakókocsi	15000		
FG 01238	Sz	2012.07.04	2012.07.14					Kt	kisteher	22500		
FG 01239	Lk	2012.07.04	2012.07.14									
FG 01240	Uf	2012.07.05	2012.07.05									
FG 01241	Sz	2012.07.05	2012.07.08									
FG 01242	Lk	2012.07.05	2012.07.08									
FG 01243	Mb	2012.07.05	2012.07.19									
FG 01244	Mb	2012.07.06	2012.07.19									
FG 01245	Lk	2012.07.06	2012.07.19									
FG 01246	Uf	2012.07.06	2012.07.19									
FG 01247	Sz	2012.07.07	2012.07.12									
FG 01248	Lk	2012.07.07	2012.07.12									
FG 01249	Sz	2012.07.08	2012.07.08									
FG 01250	Lk	2012.07.08	2012.07.12									
FG 01251	Sz	2012.07.08	2012.07.20									
FG 01252	Kt	2012.07.08	2012.07.09									
FG 01253	Lk	2012.07.08	2012.07.22									
FG 01254	Mb	2012.07.09	2012.07.16									
FG 01255	Mb	2012.07.09	2012.07.16									
FG 01256	Kt	2012.07.09	2012.07.10									
FG 01257	Lk	2012.07.09	2012.07.23									
FG 01258	Kt	2012.07.09	2012.07.10									
FG 01259	Sz	2012.07.10	2012.07.17									
FG 01260	Sz	2012.07.10	2012.07.17									
FG 01261	Uf	2012.07.10	2012.07.17									
FG 01262	Sz	2012.07.10	2012.07.12									
FG 01263	Kt	2012.07.11	2012.07.25									
FG 01264	Lk	2012.07.11	2012.07.18									
FG 01265	Sz	2012.07.11	2012.07.18									
Összesen												
Átlagosan												
Legtöbb												
