datum	celaz	szamlaaz	osszeg
2008.01.08	6	2	31
2008.01.08	7	6	10
2008.01.08	6	8	50
2008.01.08	7	11	88
2008.01.08	1	15	21
2008.01.08	7	17	79
2008.01.08	1	19	50
2008.01.08	6	21	33
2008.01.08	6	24	14
2008.01.08	1	28	13
2008.01.08	6	32	85
2008.01.08	7	33	30
2008.01.08	1	34	41
2008.01.08	6	36	55
2008.01.08	1	40	55
2008.01.08	6	41	38
2008.01.08	7	43	2
2008.01.08	7	44	69
2008.01.08	7	47	30
2008.01.08	7	48	8
2008.01.08	6	49	99
2008.01.08	7	53	68
2008.01.08	6	57	48
2008.01.08	6	58	12
2008.01.08	7	60	30
2008.01.08	6	64	51
2008.01.08	7	67	70
2008.01.08	7	69	24
2008.01.08	7	71	95
2008.01.08	7	75	18
2008.01.08	7	76	39
2008.01.08	7	79	9
2008.01.08	1	83	94
2008.01.08	1	87	70
2008.01.08	1	88	10
2008.01.08	1	89	77
2008.01.08	1	93	28
2008.01.08	6	94	6
2008.01.08	1	98	95
2008.01.08	7	101	31
2008.01.08	7	104	96
2008.01.08	7	106	27
2008.01.08	7	110	6
2008.01.08	7	111	68
2008.01.08	7	115	98
2008.01.08	6	118	31
2008.01.08	7	122	50
2008.01.08	6	126	90
2008.01.08	1	129	36
2008.01.08	7	130	21
2008.01.08	6	131	30
2008.01.08	1	134	96
2008.01.08	6	135	7
2008.01.08	6	138	94
2008.01.08	6	139	43
2008.01.08	7	141	87
2008.01.08	7	142	13
2008.01.08	7	144	52
2008.01.08	1	148	90
2008.01.08	7	150	63
2008.01.08	1	154	52
2008.01.08	7	155	94
2008.01.08	6	156	73
2008.01.08	7	158	22
2008.01.08	7	159	27
2008.01.08	1	163	21
2008.01.08	7	167	89
2008.01.08	7	169	33
2008.01.08	1	173	36
2008.01.08	7	177	32
2008.01.08	1	178	40
2008.01.08	6	181	94
2008.01.08	7	183	39
2008.01.08	7	187	28
2008.01.08	7	188	26
2008.01.08	6	189	7
2008.01.08	1	191	56
2008.01.08	6	195	4
2008.01.08	6	199	45
2008.01.08	6	201	4
2008.01.08	7	202	68
2008.01.08	1	203	36
2008.01.08	1	207	99
2008.01.08	6	211	42
2008.01.08	1	213	15
2008.01.08	7	215	21
2008.01.08	6	218	87
2008.01.08	7	221	51
2008.01.08	1	222	47
2008.01.08	7	226	53
2008.01.08	6	227	11
2008.01.08	7	228	2
2008.01.08	7	230	10
2008.01.08	7	232	70
2008.01.08	7	233	68
2008.01.08	7	234	36
2008.01.08	6	236	59
2008.01.08	6	240	72
2008.01.08	7	243	59
2008.01.08	7	247	55
2008.01.08	7	248	43
2008.01.08	6	251	58
2008.01.08	1	254	85
2008.01.08	1	258	29
2008.01.08	7	260	61
2008.01.08	6	262	29
2008.01.08	6	264	46
2008.01.08	6	268	46
2008.01.08	6	269	14
2008.01.08	6	271	41
2008.01.08	7	275	40
