Azonosító	Hengerűrtartalom	Gyártás éve	Megtett út	Átlagfogyasztás	Fogyasztott üzemanyag	Kor	Állapot
C-13	1249	2011	45234			
C-78	1195	2011	34308			
D-66	1599	2008	116953			
B-82	2995	2012	8515			
B-92	1298	2008	238450			
B-47	1195	2009	192795			
B-48	2995	2011	56145			
D-35	2995	2006	268943			
B-52	2490	2011	52712			
C-88	980	2006	278123			
B-38	1298	2012	9936			
C-31	1599	2009	163553			
C-79	1995	2009	170791			
D-44	1795	2010	57623			
B-43	2995	2009	134985			
B-53	1298	2006	218072			
B-41	1249	2012	9998			
C-42	1599	2008	175273			
B-75	2995	2006	199817			
C-36	980	2011	50047			
D-74	2490	2008	209712			
B-86	1249	2011	55163			
B-17	1195	2011	46645			
B-14	2995	2010	83178			
B-39	1795	2010	131748			
C-51	1995	2009	189761			
B-27	980	2012	18309			
D-12	1795	2011	47711			
C-77	2490	2012	8683			
C-73	2995	2010	87971			
D-34	1795	2006	163940			
D-18	1795	2012	14717			
C-87	1195	2006	359114			
B-91	2490	2010	77590			
B-37	1599	2010	130724			
C-24	1195	2006	139813			
B-24	1249	2011	73042			
C-68	2995	2010	79236			
						
Legtöbb út		Átlagos út				
Azonosító						
						
Gyártás éve	Darab					
2006						
2007						
2008						
2009						
2010						
2011						
2012						
