2011
Megye	I.	II.	III.	IV.	V.	VI.	VII.	VIII.	IX.	X.	XI.	XII.	Összesen
Budapest	12	11	7	11	12	18	7	14	22	21	19	13
Baranya	3	4	7	5	3	4	8	3	7	9	8	3
Bács	7	6	7	12	8	19	18	20	15	25	10	11
Békés	2	4	3	6	4	9	4	5	5	5	5	7
Borsod	7	4	6	9	10	9	8	8	6	14	5	13
Csongrád	3	4	4	4	7	9	8	5	3	6	4	8
Fejér	8	2	3	7	7	6	3	10	6	7	7	10
Győr	8	7	6	3	10	12	6	12	4	11	8	9
Hajdú	3	4	3	1	9	7	5	9	3	3	2	7
Heves	2	1	2	5	3	4	1	4	7	4	1	7
Komárom	1	2	6	3	6	5	2	9	9	6	3	3
Nógrád	3	2	3	0	3	4	1	5	3	2	2	1
Pest	22	20	16	17	11	14	14	13	19	11	10	16
Somogy	3	5	7	4	9	12	15	8	6	12	4	7
Szabolcs	7	6	6	9	3	11	2	7	11	13	7	11
Szolnok	8	10	7	7	9	11	10	7	11	4	3	5
Tolna	4	4	0	5	6	2	6	1	1	4	1	2
Vas	3	1	4	4	5	5	6	9	5	7	3	7
Veszprém	5	3	3	4	6	7	5	7	8	7	6	5
Zala	5	5	4	2	4	9	14	11	3	4	6	3
