honnan	hova	mikor	letszam
Keleti pályaudvar	Erdősor út	5:12	1
Keleti pályaudvar	Vadgesztenye utca	5:13	2
Keleti pályaudvar	Árpád üzletház	5:13	1
Keleti pályaudvar	Árpád üzletház	5:27	2
Keleti pályaudvar	Chinoin utca	5:33	1
Keleti pályaudvar	Erzsébet utca	5:46	3
Keleti pályaudvar	Árpád üzletház	6:02	1
Keleti pályaudvar	Erdősor út	6:03	1
Keleti pályaudvar	Szent László tér	6:09	1
Keleti pályaudvar	Erzsébet utca	6:25	4
Keleti pályaudvar	Deák Ferenc utca	6:27	1
Keleti pályaudvar	Vécsey Károly utca	6:41	1
Keleti pályaudvar	Művelődési Központ	6:56	1
Keleti pályaudvar	Erzsébet utca	7:21	1
Keleti pályaudvar	Erdősor út	7:22	1
Keleti pályaudvar	Vécsey Károly utca	7:33	1
Keleti pályaudvar	Hősök tere M	7:36	1
Keleti pályaudvar	Fóti út	8:07	4
Keleti pályaudvar	Deák Ferenc utca	8:08	4
Keleti pályaudvar	Szegedi út	8:14	1
Keleti pályaudvar	Fóti út	8:17	1
Keleti pályaudvar	Futár utca	8:43	1
Keleti pályaudvar	Ősz utca	8:55	3
Keleti pályaudvar	Hajló utca	9:05	12
Keleti pályaudvar	Futár utca	9:07	1
Keleti pályaudvar	Árpád üzletház	9:11	1
Keleti pályaudvar	Vadgesztenye utca	9:26	1
Keleti pályaudvar	Hajló utca	9:35	1
Keleti pályaudvar	Rózsa utca	9:59	1
Keleti pályaudvar	Szakorvosi rendelő	10:05	4
Keleti pályaudvar	Vadgesztenye utca	10:08	1
Keleti pályaudvar	Hősök tere M	10:32	4
Keleti pályaudvar	Tél utca	10:41	1
Keleti pályaudvar	Erzsébet utca	10:55	1
Keleti pályaudvar	Rózsa utca	10:56	1
Keleti pályaudvar	Szakorvosi rendelő	10:57	2
Keleti pályaudvar	Szakorvosi rendelő	10:58	4
Keleti pályaudvar	Futár utca	11:00	1
Keleti pályaudvar	Árpád üzletház	11:05	2
Keleti pályaudvar	Fóti út	11:07	8
Keleti pályaudvar	Szakorvosi rendelő	11:19	3
Keleti pályaudvar	Szent László tér	11:28	1
Keleti pályaudvar	Szent László tér	11:35	1
Keleti pályaudvar	Művelődési Központ	11:37	1
Keleti pályaudvar	Tél utca	11:42	2
Keleti pályaudvar	Futár utca	11:46	1
Hősök tere M	Erdősor út	5:10	4
Hősök tere M	Művelődési Központ	5:15	3
Hősök tere M	Árpád üzletház	5:18	2
Hősök tere M	Fóti út	5:26	1
Hősök tere M	Rózsa utca	5:29	4
Hősök tere M	Vadgesztenye utca	5:39	1
Hősök tere M	Árpád üzletház	5:51	2
Hősök tere M	Vécsey Károly utca	6:05	2
Hősök tere M	Művelődési Központ	6:10	1
Hősök tere M	Árpád üzletház	6:14	1
Hősök tere M	Fóti út	6:22	2
Hősök tere M	Ősz utca	7:00	3
Hősök tere M	Káposztásmegyer, Szilas-patak	7:18	1
Hősök tere M	Szakorvosi rendelő	7:18	4
Hősök tere M	Ősz utca	7:48	1
Hősök tere M	Deák Ferenc utca	7:48	1
Hősök tere M	Rózsa utca	7:48	1
Hősök tere M	Erdősor út	8:13	3
Hősök tere M	Árpád üzletház	8:48	2
Hősök tere M	Deák Ferenc utca	8:50	1
Hősök tere M	Szegedi út	9:04	1
Hősök tere M	Szakorvosi rendelő	9:16	3
Hősök tere M	Rózsa utca	9:37	1
Hősök tere M	Tél utca	9:44	5
Hősök tere M	Káposztásmegyer, Szilas-patak	9:51	1
Hősök tere M	Deák Ferenc utca	10:11	1
Hősök tere M	Hajló utca	10:11	1
Hősök tere M	Vécsey Károly utca	10:19	1
Hősök tere M	Káposztásmegyer, Szilas-patak	10:41	1
Hősök tere M	Erdősor út	10:45	1
Hősök tere M	Fóti út	10:48	1
Hősök tere M	Róbert Károly körút	10:48	1
Hősök tere M	Erdősor út	10:54	1
Hősök tere M	Vécsey Károly utca	10:55	7
Hősök tere M	Erzsébet utca	11:06	1
Hősök tere M	Szent László tér	11:06	1
Hősök tere M	Vadgesztenye utca	11:44	1
Róbert Károly körút	Szegedi út	5:00	2
Róbert Károly körút	Rózsa utca	5:07	1
Róbert Károly körút	Chinoin utca	5:10	1
Róbert Károly körút	Szegedi út	5:16	1
Róbert Károly körút	Tél utca	5:17	3
Róbert Károly körút	Ősz utca	5:43	1
Róbert Károly körút	Erzsébet utca	5:45	2
Róbert Károly körút	Árpád üzletház	5:48	1
Róbert Károly körút	Rózsa utca	6:05	1
Róbert Károly körút	Vécsey Károly utca	6:43	1
Róbert Károly körút	Ősz utca	6:48	1
Róbert Károly körút	Erdősor út	6:55	1
Róbert Károly körút	Művelődési Központ	7:05	1
