Magyarország városai

A keresett város:	Megye	Népesség	Terület	Irányítószám	Mióta város
Székesfehérvár


	Statisztikai adatok:			Egy évszám:	2004
	Magyarország lakossága:	9932000
	Ebből városlakó (fő):
	Ebből városlakó (%):

	Városok száma megyénként:
	Bács-Kiskun
	Baranya
	Békés
	Borsod-Abaúj-Zemplén
	Budapest
	Csongrád
	Fejér
	Győr-Moson-Sopron
	Hajdú-Bihar
	Heves
	Jász-Nagykun-Szolnok
	Komárom-Esztergom
	Nógrád
	Pest
	Somogy
	Szabolcs-Szatmár-Bereg
	Tolna
	Vas
	Veszprém
	Zala


Név	Megye	Népesség	Terület	Irányítószám	Mióta város	Népsűrűség
Aba	Fejér	4619	88,05	8127	2013
Abádszalók	Jász-Nagykun-Szolnok	3922	132,23	5241	2005
Abaújszántó	Borsod-Abaúj-Zemplén	3088	47,36	3881	2004
Abony	Pest	14876	127,97	2740	1993
Ács	Komárom-Esztergom	6965	103,75	2941	2007
Adony	Fejér	3912	61,05	2457	2004
Ajak	Szabolcs-Szatmár-Bereg	3528	24,76	4524	2013
Ajka	Veszprém	29058	95,05	8400	1959
Albertirsa	Pest	12410	72,96	2730	2003
Alsózsolca	Borsod-Abaúj-Zemplén	5937	26,02	3571	2007
Aszód	Pest	6414	16,2	2170	1991
Bábolna	Komárom-Esztergom	3654	33,55	2943	2003
Bácsalmás	Bács-Kiskun	6697	108,32	6430	1986
Badacsonytomaj	Veszprém	2080	32,71	8258	2004
Baja	Bács-Kiskun	37330	177,61	6500	1885 előtt
Baktalórántháza	Szabolcs-Szatmár-Bereg	4302	35,25	4561	1993
Balassagyarmat	Nógrád	16133	23,74	2660	1923
Balatonalmádi	Veszprém	9167	49,88	8220	1989
Balatonboglár	Somogy	5932	32,04	8630	1991
Balatonföldvár	Somogy	2064	15,32	8623	1992
Balatonfüred	Veszprém	13532	46,45	8230	1971
Balatonfűzfő	Veszprém	4299	9,25	8175	2000
Balatonkenese	Veszprém	3195	65,57	8172	2009
Balatonlelle	Somogy	4735	43,23	8638	1991
Balkány	Szabolcs-Szatmár-Bereg	6215	89,99	4233	2004
Balmazújváros	Hajdú-Bihar	17354	205,45	4060	1989
Barcs	Somogy	11378	122,9	7570	1978
Bátaszék	Tolna	6388	63,55	7140	1995
Bátonyterenye	Nógrád	12604	78,92	3070	1989
Battonya	Békés	5565	145,71	5830	1989
Békés	Békés	19763	127,23	5630	1973
Békéscsaba	Békés	63752	193,93	5600	1918
Bélapátfalva	Heves	2996	36,63	3346	2004
Beled	Győr-Moson-Sopron	2553	26,47	9343	2009
Berettyóújfalu	Hajdú-Bihar	15167	170,98	4100	1978
Berhida	Veszprém	5967	42,73	8181	2004
Besenyszög	Jász-Nagykun-Szolnok	3372	138,08	5071	2013
Biatorbágy	Pest	12805	44,12	2051	2007
Bicske	Fejér	11642	77,08	2060	1986
Biharkeresztes	Hajdú-Bihar	3888	49,26	4110	1989
Bodajk	Fejér	4051	28,98	8053	2008
Bóly	Baranya	3996	25,38	7754	1997
Bonyhád	Tolna	13741	72,13	7150	1977
Borsodnádasd	Borsod-Abaúj-Zemplén	3007	28,08	3671	2001
Budakalász	Pest	10510	15,17	2011	2009
Budakeszi	Pest	14507	37,1	2092	2000
Budaörs	Pest	29605	23,59	2040	1986
Budapest	Budapest	1740041	525,09	1000	1885 előtt
Bük	Vas	3493	20,86	9737	2007
Cegléd	Pest	37778	244,87	2700	1885 előtt
Celldömölk	Vas	10786	52,39	9500	1978
Cigánd	Borsod-Abaúj-Zemplén	2682	56,76	3973	2004
Csákvár	Fejér	5221	118,76	8083	2013
Csanádpalota	Csongrád	2968	77,76	6913	2009
Csenger	Szabolcs-Szatmár-Bereg	4730	36,16	4765	1989
Csepreg	Vas	3384	49,54	9735	1995
Csongrád	Csongrád	16846	173,89	6640	1922
Csorna	Győr-Moson-Sopron	10649	91,73	9300	1971
Csorvás	Békés	4981	90,18	5920	2005
Csurgó	Somogy	5186	59,42	8840	1989
Dabas	Pest	16813	165,99	2370	1989
Debrecen	Hajdú-Bihar	207594	461,66	4000	1885 előtt
Demecser	Szabolcs-Szatmár-Bereg	4280	36,98	4516	2001
Derecske	Hajdú-Bihar	8906	103,58	4130	1991
Dévaványa	Békés	7622	216,55	5510	2000
Devecser	Veszprém	4325	64,11	8460	1997
Diósd	Pest	9522	5,75	2049	2013
Dombóvár	Tolna	19494	78,48	7200	1970
Dombrád	Szabolcs-Szatmár-Bereg	3900	51,84	4492	2000
Dorog	Komárom-Esztergom	11996	11,54	2510	1984
Dunaföldvár	Tolna	8666	111,42	7020	1989
Dunaharaszti	Pest	20260	29,17	2330	2000
Dunakeszi	Pest	40334	31,06	2120	1977
Dunaújváros	Fejér	48010	52,67	2400	1951
Dunavarsány	Pest	7480	22,52	2336	2004
Dunavecse	Bács-Kiskun	3937	66,77	6087	2004
Edelény	Borsod-Abaúj-Zemplén	10019	56,84	3780	1986
Eger	Heves	56166	92,21	3300	1885 előtt
Elek	Békés	4816	54,91	5742	1996
Emőd	Borsod-Abaúj-Zemplén	4895	49,37	3432	2001
Encs	Borsod-Abaúj-Zemplén	6201	25,8	3860	1984
Enying	Fejér	6768	82,78	8130	1992
Ercsi	Fejér	7999	65,31	2451	2000
Érd	Pest	65277	60,54	2030	1978
Esztergom	Komárom-Esztergom	30434	99,95	2500	1885 előtt
Fegyvernek	Jász-Nagykun-Szolnok	6415	71,48	5231	2013
Fehérgyarmat	Szabolcs-Szatmár-Bereg	7861	52,46	4900	1978
Felsőzsolca	Borsod-Abaúj-Zemplén	6750	16,25	3561	1997
Fertőd	Győr-Moson-Sopron	3461	48,56	9431	1995
Fertőszentmiklós	Győr-Moson-Sopron	3891	39,39	9444	2008
Fonyód	Somogy	4728	53,55	8640	1989
Fót	Pest	18968	37,4	2151	2004
Füzesabony	Heves	7781	46,34	3390	1989
Füzesgyarmat	Békés	5665	127,34	5525	2000
Gárdony	Fejér	9927	63,5	2483	1989
Göd	Pest	18565	22,23	2131	1999
Gödöllő	Pest	34172	61,92	2100	1966
Gönc	Borsod-Abaúj-Zemplén	1951	37,27	3895	2001
Gyál	Pest	23486	24,93	2360	1997
Gyomaendrőd	Békés	13674	303,94	5500	1989
Gyömrő	Pest	16670	26,51	2230	2001
Gyöngyös	Heves	32385	55,31	3200	1885 előtt
Gyöngyöspata	Heves	2472	60,75	3035	2013
Gyönk	Tolna	2066	38,12	7064	2009
Győr	Győr-Moson-Sopron	131564	174,62	9000	1885 előtt
Gyula	Békés	31679	255,8	5700	1885 előtt
Hajdúböszörmény	Hajdú-Bihar	31306	370,78	4220	1885 előtt
Hajdúdorog	Hajdú-Bihar	8888	100,65	4087	1989
Hajdúhadház	Hajdú-Bihar	12458	87,8	4242	1991
Hajdúnánás	Hajdú-Bihar	16975	259,62	4080	1885 előtt
Hajdúsámson	Hajdú-Bihar	13105	69,47	4251	2004
Hajdúszoboszló	Hajdú-Bihar	23309	238,7	4200	1885 előtt
Hajós	Bács-Kiskun	3134	89,92	6344	2008
Halásztelek	Pest	9310	8,64	2314	2008
Harkány	Baranya	4065	25,69	7815	1999
Hatvan	Heves	20259	66,31	3000	1945
Herend	Veszprém	3339	19,56	8440	1999
Heves	Heves	10464	99,31	3360	1984
Hévíz	Zala	4375	8,31	8380	1992
Hódmezővásárhely	Csongrád	46522	487,98	6800	1885 előtt
Ibrány	Szabolcs-Szatmár-Bereg	6842	60,39	4484	1993
Igal	Somogy	1308	36,06	7275	2009
Isaszeg	Pest	11397	54,84	2117	2008
Izsák	Bács-Kiskun	5904	113,76	6070	1997
Jánoshalma	Bács-Kiskun	8937	132,21	6440	1989
Jánosháza	Vas	2401	23,41	9545	2013
Jánossomorja	Győr-Moson-Sopron	5912	148,96	9241	2004
Jászapáti	Jász-Nagykun-Szolnok	8947	78,16	5130	1989
Jászárokszállás	Jász-Nagykun-Szolnok	7806	77,17	5123	1991
Jászberény	Jász-Nagykun-Szolnok	26924	221,35	5100	1885 előtt
Jászfényszaru	Jász-Nagykun-Szolnok	5621	76,16	5126	1993
Jászkisér	Jász-Nagykun-Szolnok	5165	130,11	5137	2009
Kaba	Hajdú-Bihar	5932	95,04	4183	2003
Kadarkút	Somogy	2583	39,74	7530	2005
Kalocsa	Bács-Kiskun	16959	53,18	6300	1921
Kaposvár	Somogy	67686	113,59	7400	1885 előtt
