Név	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	1. helyezettnek jelölte
Cristiano Ronaldo	40	40	39	40	39	39	40	39	39	37	40	40	40	40	40	39	40	40	40	40	40	40	39	40	40	40	39	40	39	39	40	
Lionel Messi	39	39	30	38	37	37	36	38	38	35	38	39	37	39	39	38	37	37	39	39	36	39	38	39	39	39	40	38	40	40	39	
Manuel Neuer	36	38	36	39	40	38	39	40	29	25	39	38	39	38	37	40	39	39	37	38	39	38	40	38	37	38	35	34	34	19	17	
Arjen Robben	38	19	31	35	38	40	37	34	36	38	32	37	36	27	35	32	35	31	36	27	30	30	37	34	36	34	37	33	36	35	30	
Thomas Müller	29	36	40	36	36	32	31	23	32	40	35	6	35	28	31	34	38	38	30	29	33	37	31	36	12	25	27	36	29	16	29	
Luis Suarez	28	13	35	22	35	16	27	14	24	21	33	32	34	34	13	36	33	36	11		35	24	27	33	38	37	26	19	27	32	36	
Neymar	24	18	37		28	35	25	29	23	31	30	36	29	33	33	18	11	33	6	35	20	29	22	31	31	29	20	31	38	37	32	
Gareth Bale	25	21	25	31	4	11	24	31	35	23	20	33	22	31	29	29	14	29	19	28	37	25	29	8	34	30	23	32		36	35	
Philipp Lahm	3	33		34	26	3	35	15		33	36	31	38	37	30	37	36	34	38		38	12	36	29	20	24	22		31	26	38	
Sergio Agüero	16	31	32		23		29	30	27	32	24	35	27	21	38	33	28		29	14	34	16	35	35	33	26	31	28	2	31	34	
Toni Kroos	21	34	38	19	34	36	30	37		34	34	15	28	29	34	28	29	30	34		15	17	25	32	19	36	29			5	25	
Diego Costa	35	25		33	32	33	34	27	19	17	37	21	33	22	25	27	34		22	34	29	28	34	17	35	31	15	29		6	22	
Zlatan Ibrahimovic	37	37	27	30	27	31	32	35	37	14	12	23	32	36	36	35	26	26	16	32	22	34	32	1	26	27	34	18	19	38	28	
Angel Di María	34	22	28	37	33	23	38	33	31	39	28	29	31	26	32	31	23	32	31	37	32	35	6	37	32	32	33	39	32		33	
James Rodríguez	19	24	20	32	8		22	32	33	27	25	17	26	25	18	16	32	35	33	31	14	3		30	7	35	19		18		9	
Eden Hazard		10	22	14	10	14	23	25	6	18	7	30	19	4	27	5	18	28	15	23	13			28	27	11	24	21			37	
Thibaut Courtois	11	28	34	27	11	22	33	20			26	26	30	24	17	23	24	19	12		31		28	21	21	22	16				16	
Yaya Touré	33	17		18	25	29		36		5	9	27	16	18	21	22	17		2			23	7	16	30	28	38		7	22	21	
Karim Benzema	18	30		15	31	19	21	24	30	6	10	19	18	20	28		5	20	24	30		22	10				18	13	16		12	
Paul Pogba	31		19	29	19	9	20	26	40	26	14	16	21	14	23	10	15	13	32	33	25		26	15	3	21	21	9				
Xabi Alonso	20	14	24	26	13	34	10			16	22	22	5	17	5	12		8	28		24	31	21		25	7	17			4		
Alexis Sánchez	22		11				26		4	36	31	24	23	3	12		27	27	8	20	8	10		27	18		7		26		27	
Luka Modric	12	32			24	15		13	11			10	24	32	26	20	25		21		18		33	11	24	15	14				18	
Mario Götze	30	35		28	6	25	17	4	16		29		13	6	22	25		10	14	36		32	15			13	9	35	4	7	23	
Bastian Schweinsteiger				16	29		19	22				28	25		24	30	20						24			5	25	30	35	21		
Franck Ribéry	8	11	12					10	25			34		15		13				22		13	30	24		10	28	11	15	27	26	
Javier Mascherano	17			9	15	26	28	28	10	29	19		20	7	19		30	6	35		6	27		26		6			30			
Andrés Iniesta				12	30	13	16	18				25	11	35	7										28	20	32	23	37	34		
Andrea Pirlo	23	16		25	17	18		19		28	11	4		1	20	15		4		17	12	26	14		14		36	7		20	15	
Robert Lewandowski					22				14			12	15	23		21	10			15	10	20	17		16	14		25		23	31	
Thiago Silva		8	16	17	7	27	18					13	4	19								36	4		10	33	12	27		24	20	
Sergio Ramos	32	29	18	20	20			11		13		20		5					18		7	19		18	2			37			6	
Arturo Vidal		12		2	9			16	20	20	23		7	16	14	17		15			17	21	9			18				15	8	
Diego Godin	9	27		23		24	9	21	12	11	27	2	17	2	16	14	13			18	21	4				19		10				
David Silva	27	9	23			7			17	2		18		9	3						19		16	3	13	23	2			9		
Cesc Fàbregas	1										6	5					7				11		23		22	8	13		11	12	10	
Vincent Kompany	15	5				10						9			11		4	24							17				6			
Arda Turan	26	6		5	21	28			22		18							25	27			5	20	25		16		17			7	
Mats Hummels		23		24		30				30	3	1				9		18	9				8	6			8					
Marco Reus												8	3	30	6	26					27					17				18	4	
Carlos Tevez	13				16			17	28				9		15	19	19				26		18		6		4	8	23		1	
Koke		15					14			12	21								26	24	16		12	4								
Wayne Rooney		2					6		5			11			10						9	18	2		29	9	30		22	13	13	
David Alaba							13			19				11		24					28		5		11	1	10				19	
Robin van Persie	14				12	6						14											3		9		5	24	14	30	14	
Oscar					14				18	24								21					1	20				20		3		
Edinson Cavani		3						9	34		8											15				2		15	13	28		
Nemanja Matic						20					13		8	12			22		3		23			12	23						3	
Ivan Rakitić			29	21					2	7			14	13		8	16		23	26												
Xavi					2			6																	15		11			33		
Daniel Sturridge			17								17																	5				
Raheem Sterling			26			5									2		9	12										6			5	
Branislav Ivanovic			33			12				10			12				12															
Mesut Ozil		26				21	5	12														8		19						29		
David De Gea			6				8			8	15								1						4							
Juan Cuadrado							12		15										25	16				14		12						
Jerome Boateng																			20		1			10				22				
Miralem Pjanic	6						15	7	8				6		9	7			4	8	4											
Pablo Zabaleta						17							1				21												21			
Sergio Busquets														8											8					14		
Yacine Brahimi			4	8			11											11			3	7		13								
Blaise Matuidi										15				10									13									
Radamel Falcao												7														4				25		
Marco Verratti								5	26						4					12		14						16				
Vincent Enyeama																								22								
Edin Dzeko	5	20											10				2			11												
Wilfried Bony			5								16															3						
Gonzalo Higuain									21							3		9	13									14	9			
John Terry							3																									
Miroslav Klose				13							1							16		21												
Mario Mandzukic		4			5							3	2											7							11	
Gianluigi Buffon		7				8										4							11		5		6		1	17		
Jackson Martínez					3				3											19												
Antoine Griezmann																		14		25												
Aaron Ramsey			15																													
Hugo Lloris											5						1				5											
Ezequiel Garay			8	4						22									5													
Luiz Adriano			2																													
Francesco Totti																6				3									10	10		
Steven Gerrard	4		9																								1	4	20			
Dani Alves																																
Gervinho										1										10												
Mehdi Benatia																11			17													
Isco							7	8																								
Henrikh Mkhitaryan			21																			11										
José María Callejón									13										7													
Miranda									7																							
Iker Casillas																													28			
Daley Blind										4																		12				
Cesar Azpilicueta			14																													
Jack Wilshere			13																												2	
Hector Herrera				3	1					9								5				6										
Gerard Pique																														1		
Enner Valencia																																
David Luiz	7			1																9							3					
Memphis Depay	10							3												6												
Daniele De Rossi																2														2		
Rogerio Ceni				10				1		3																						
Radja Nainggolan																1			10		2											
Seydou Doumbia			7																					5								
