Sorszám	Érkezés	Szolgáltatás	Távozás	Hivatalban töltött idő			Szolgáltatás	Szolgáltatás	Szolgáltatás			
501	8:00:57		8:03:54				levél	csomag	pénzügy			
502	8:02:42		8:07:40			Ügyfelek száma						
701	8:08:28		8:16:08			Átlagos hivatali idő						
702	8:11:20		8:23:30									
703	8:13:30		8:24:13			Sorszám	Szolgáltatás					
601	8:14:13		8:18:41			500	levél					
503	8:15:29		8:20:49			600	csomag					
504	8:16:01		8:22:40			700	pénzügy					
505	8:18:16		8:24:52									
506	8:19:16		8:28:14			Maximális idő						
602	8:21:14		8:26:02			Sorszáma						
507	8:21:19		8:31:34			Szolgáltatása						
704	8:21:58		8:28:24									
603	8:23:24		8:42:36									
705	8:23:24		8:34:59									
604	8:25:23		8:47:28									
605	8:28:16		8:48:24									
508	8:28:48		8:46:26									
606	8:32:02		8:51:47									
607	8:32:35		8:53:18									
509	8:33:18		8:49:52									
706	8:35:28		8:44:02									
510	8:39:14		8:51:50									
707	8:41:02		8:50:48									
511	8:41:24		8:52:48									
708	8:43:12		8:58:11									
512	8:43:23		8:54:49									
709	8:44:49		8:56:26									
710	8:46:26		8:56:51									
513	8:46:48		8:55:47									
514	8:46:59		8:56:50									
711	8:51:50		8:58:18									
712	8:53:06		8:59:28									
608	8:53:28		8:55:47									
713	8:54:11		9:00:14									
515	8:58:02		9:07:14									
714	8:58:12		9:01:08									
