Kezdeményező	Partner	Kezdés (perc)	Befejezés (perc)	Beszélgetés ideje (perc)		Névsor	Hívások száma (darab)			
Marci	Attila	0	4			Marci			Átlagos beszélgetési idő:	
Matyi	Andrea	1	2			Julianna				
Vilmos	Marci	1	5			Ricsi			Leghosszabb beszélgetés:	
Bence	Csenge	3	11			Antal			A beszélgetők:	
Matyi	Attila	7	8			Patrik				
Zsombor	Kata	7	16			Rebeka			Időpont:	10
Anna	Zsombor	8	8			Csenge			Beszélgetések száma:	
Patrik	Andrea	8	8			Vince				
Kata	Antal	8	10			Attila				
Csenge	Marci	10	16			Panni				
Julianna	Zsombor	11	16			Evelin				
Marci	Andrea	11	18			Kata				
Rebeka	Vince	13	23			Bence				
Matyi	Vince	17	19			Anna				
Matyi	Julianna	20	21			Andrea				
Marci	Csenge	20	24			Vilmos				
Antal	Anna	21	31			Botond				
Matyi	Marci	25	35			Matyi				
Evelin	Andrea	27	31			Aranka				
Patrik	Matyi	30	35			Zsombor				
Antal	Evelin	32	35							
Evelin	Attila	32	41							
Bence	Kata	33	34							
Csenge	Julianna	35	36							
Vince	Rebeka	35	319							
Zsombor	Marci	36	41							
Patrik	Andrea	38	39							
Vince	Kata	38	39							
Rebeka	Attila	40	46							
Anna	Antal	42	48							
Patrik	Csenge	42	48							
Zsombor	Rebeka	43	49							
Andrea	Vilmos	46	47							
Matyi	Evelin	47	57							
Vilmos	Kata	48	51							
Anna	Panni	49	58							
Patrik	Andrea	50	60							
Matyi	Aranka	51	61							
Andrea	Botond	53	58							
Anna	Vilmos	55	56							
Kata	Zsombor	58	60							
Attila	Vince	61	68							
Botond	Rebeka	61	69							
Attila	Evelin	64	74							
Evelin	Anna	65	74							
Rebeka	Vince	66	72							
Bence	Antal	67	67							
Matyi	Anna	67	76							
Andrea	Csenge	70	74							
Julianna	Marci	70	80							
Kata	Andrea	70	80							
Matyi	Vilmos	72	72							
Evelin	Attila	76	76							
Attila	Panni	76	80							
Rebeka	Botond	79	86							
Patrik	Matyi	79	87							
Vilmos	Andrea	80	82							
Patrik	Panni	80	86							
Matyi	Botond	82	83							
Julianna	Marci	83	92							
Evelin	Antal	84	86							
Julianna	Matyi	85	85							
Marci	Kata	87	91							
Vince	Vilmos	88	94							
Panni	Marci	92	99							
Anna	Vince	93	95							
Zsombor	Panni	94	98							
Zsombor	Botond	96	97							
Antal	Panni	97	97							
Julianna	Kata	97	101							
Panni	Bence	98	103							
Marci	Kata	98	104							
Antal	Marci	99	100							
Vilmos	Patrik	99	105							
Matyi	Patrik	100	101							
Marci	Anna	100	107							
Evelin	Botond	103	113							
Vilmos	Anna	105	125							
Patrik	Andrea	107	115							
Attila	Matyi	108	109							
Matyi	Csenge	108	110							
Bence	Vilmos	109	109							
Anna	Evelin	110	114							
Kata	Antal	110	114							
Vilmos	Kata	110	119							
Panni	Evelin	112	113							
Csenge	Marci	113	123							
Rebeka	Marci	115	118							
Anna	Vince	116	120							
Bence	Csenge	116	123							
Vince	Julianna	116	126							
Csenge	Antal	118	119							
Bence	Marci	118	126							
Csenge	Vince	124	126							
Rebeka	Evelin	124	128							
Zsombor	Anna	124	131							
Botond	Antal	124	133							
Aranka	Matyi	126	131							
Aranka	Vilmos	126	132							
Vince	Kata	126	135							
Matyi	Vilmos	129	132							
Antal	Evelin	129	135							
Csenge	Vince	129	137							
