ev	szineszid	elismeresid
1972	11	10
1978	27	12
1963	23	12
1959	14	7
1996	6	9
2007	5	12
2006	12	6
1995	21	3
1956	6	7
1966	6	10
2013	19	1
1969	11	7
1955	17	12
1995	18	6
2004	8	3
1994	1	12
1959	6	11
1998	26	9
2000	19	12
1958	6	7
1978	15	10
1967	15	11
2005	8	12
1966	22	12
1977	12	7
1967	27	7
1989	4	8
1980	24	11
1985	10	10
1954	17	10
1973	8	10
1965	22	11
1970	22	10
1980	1	7
1999	21	9
1959	26	7
1997	7	9
1963	19	7
1998	15	12
1962	22	7
1980	7	10
1956	9	11
1978	28	7
1998	3	9
1983	8	8
1971	16	10
2006	7	4
1966	4	7
1997	17	9
1997	3	3
1962	26	7
1985	7	12
2004	8	9
1968	18	7
1988	25	8
1976	3	10
2002	26	4
1960	13	10
1966	15	7
1980	11	8
1958	23	10
1955	22	7
1995	16	3
2008	25	3
1967	2	7
1962	14	7
2000	14	12
1965	21	7
1995	8	6
2007	11	4
1995	26	3
1963	9	7
1954	18	7
1976	5	10
1974	23	8
1994	5	3
1992	22	3
1960	16	11
1989	18	8
1990	20	12
1955	27	7
1973	16	12
1985	26	12
1985	28	10
1978	4	10
1972	7	7
1956	3	7
1980	25	10
1980	26	8
1957	4	11
2014	28	12
2012	10	2
1962	8	7
1974	15	7
1957	23	7
2001	28	8
1957	13	7
1992	23	3
1957	9	7
1998	22	4
1996	5	9
2007	9	9
2003	11	9
1978	21	10
1972	14	10
1973	6	12
2002	21	4
1998	25	6
2007	1	6
2004	10	8
1959	5	7
1991	25	12
1981	12	10
1993	10	3
1986	2	10
1951	17	11
1970	7	7
1970	17	8
1969	27	10
1998	18	9
1992	4	12
2005	25	9
1959	19	7
1963	21	7
2007	14	3
1997	15	6
1977	25	7
1975	11	12
1997	16	9
1997	18	12
1995	27	4
1971	3	7
2001	24	10
1998	13	9
1962	5	7
1983	21	8
1999	16	12
1995	6	3
1999	12	9
1988	9	8
2003	2	12
1974	22	8
1969	16	7
1981	3	8
1982	5	8
1946	23	11
2005	27	5
1990	12	8
1978	24	7
1954	3	11
1997	23	9
1985	3	12
1968	26	10
1970	6	8
1964	16	7
1997	22	9
1996	27	9
1963	11	7
1998	27	12
2013	24	8
1986	20	10
2013	10	12
1984	19	10
1995	12	12
1966	5	12
1970	9	10
1953	17	12
1977	16	8
2002	6	4
1994	17	3
1988	21	12
1967	8	7
1975	18	10
1970	25	7
1981	14	8
1975	27	8
