szezon	bajnok	gólok száma	csapatok száma	mérkőzések száma	gólátlag	Alaves	Albacete	Almeria	Athletic Bilbao	Atletico Madrid	Barcelona	Betis	Cadiz	Celta Vigo	Compostela	Deportivo	Elche	Espanyol	Extremadura	Getafe	Gijon	Granada	Hercules	Las Palmas	Levante	Lleida	Logrones	Malaga	Mallorca	Merida	Murcia	Numancia	Osasuna	Racing Santander	Rayo Vallecano	Real Madrid	Real Murcia	Real Oviedo	Real Sociedad	Recreativo	Salamanca	Sevilla	Tarragona	Tenerife	Valencia	Valladolid	Villarreal	Xerez	Zaragoza
1994		989					13		5	12	1			15		2					14					19	16						20	8	17	4		9	11			6		10	7	18			3
1995		966					17		8	14	4	3		13	16	2		6			18						20							12		1		9	11			5		15	10	19			7
1996		1246					20		15	1	3	8		11	10	9		4			18									21				17	19	6		14	7		22	12		5	2	16			13
1997		1271							6	5	2	4		16	11	3		12	19		15		21				22							13	18	1		17	8			20		9	10	7			14
1998		1009							2	7	1	8		6	17	12		10			20								5	19				14		4		18	3		15			16	9	11			13
1999		1003				16			8	13	1	11		5		6		7	17										3					15		2		14	10		20			19	4	12	18		9
2000		999				6			11	19	2	18		7		1		14										12	10			17		15	9	5		16	13			20			3	8			4
2001		1095				10			13		4			6		2		9						11				8	3			20	15	19	12	1		18	14						5	16	7		17
2002		961				7			9		4	6		5		2		14						18				10	16				17		11	3			13			8		19	1	12	15		20
2003		1016				19			7	12	6	8		4		3		17										13	9				11	16	20	1			2	18		10			5	14	15		
2004		1015					14		5	7	2	9		19		3		17										10	11				13	16		4	20		15			6			1	18	8		12
2005		980					20		9	11	1	4				8		5		13					18			10	17			19	15	16		2			14			6			7		3		12
2006		936				18			12	10	1	14	19	6		8		15		9								20	13				4	17		2			16			5			3		7		11
2007		942							17	7	2	16		18		13		12		9					15				11				14	10		1			19	8		3	20		4		5		6
2008		1021						8	11	4	3	13				9		12		14					20				7		19		17	6		1				16		5			10	15	2		18
2009		1101						11	13	4	1	18				7		10		17	14							8	9			19	15	12		2				20		3			6	16	5		
2010		1031						13	8	9	1					10		11		6	15							17	5				12	16		2						4		19	3	18	7	20	14
2011		1042						20	6	7	1					18		8		16	10		19		15			11	17				9	12		2			14			5			3		4		13
2012		1050							10	5	2	13						14		11	19	17			6			4	8				7	20	15	1			12			9			3		18		16
2013		1091							12	3	1	7		17		19		13		10		15			11			6	18				16		8	2			4			9			5	14			20
2014		1046						15	4	1	2	20		9			14	14		13		15			10			11					18		12	3			7			5			8	19	6		
