Állomás	Távolság (m)	75	76	77	78	79	80	81	82	83	84	85	86	87	88		
Örs vezér tere		9:00:13	9:04:38	9:08:43	9:13:13	9:17:47	9:22:16	9:27:13	9:31:30	9:36:02	9:40:19	9:44:27	9:49:11	9:54:03	9:58:41		
Pillangó utca	1280	9:02:03	9:06:24	9:10:58	9:15:09	9:19:54	9:24:15	9:29:20	9:33:31	9:38:15	9:42:08	9:46:26	9:51:09	9:55:58	10:00:28		
Puskás Ferenc Stadion	950	9:04:07	9:08:48	9:12:39	9:17:10	9:21:48	9:26:03	9:31:25	9:35:27	9:40:15	9:44:14	9:48:14	9:52:59	9:57:49	10:02:37		
Keleti pályaudvar	1990	9:06:04	9:10:27	9:14:51	9:18:59	9:25:56	9:28:24	9:32:59	9:37:23	9:41:52	9:46:21	9:50:28	9:55:15	10:00:13	10:04:37		
Blaha Lujza tér	760	9:08:23	9:12:29	9:16:54	9:21:01	9:28:33	9:30:15	9:35:04	9:39:38	9:44:10	9:48:06	9:52:42	9:57:15	10:01:57	10:06:26		
Astoria	860	9:10:11	9:14:33	9:18:51	9:23:14	9:29:35	9:32:29	9:37:21	9:41:35	9:45:51	9:50:26	9:54:37	9:59:17	10:04:05	10:08:44		
Deák Ferenc tér	520	9:11:15	9:15:38	9:19:46	9:24:11	9:30:42	9:33:28	9:38:20	9:42:26	9:47:12	9:51:09	9:55:14	10:00:17	10:04:57	10:09:29		
Kossuth tér	1030	9:13:13	9:17:34	9:21:57	9:26:06	9:32:50	9:35:15	9:40:28	9:44:21	9:49:16	9:53:29	9:57:36	10:01:56	10:06:59	10:11:52		
Batthyány tér	700	9:15:28	9:19:50	9:23:54	9:28:06	9:36:01	9:37:06	9:42:18	9:46:39	9:50:50	9:55:33	9:59:33	10:04:23	10:09:04	10:13:31		
Széll Kálmán tér	1010	9:16:00	9:20:52	9:24:38	9:29:08	9:36:52	9:38:13	9:43:18	9:47:30	9:52:09	9:56:20	10:00:20	10:05:01	10:10:10	10:14:31		
Déli pályaudvar	880	9:18:12	9:22:28	9:26:28	9:31:17	9:38:32	9:40:01	9:45:07	9:49:35	9:54:08	9:58:25	10:02:22	10:07:19	10:12:01	10:16:27		
Menetidő																	
																	
Állomások közötti menetidők																Átlag	Legnagyobb eltérés
Örs vezér tere																	
Pillangó utca																	
Puskás Ferenc Stadion																	
Keleti pályaudvar																	
Blaha Lujza tér																	
Astoria																	
Deák Ferenc tér																	
Kossuth tér																	
Batthyány tér																	
Széll Kálmán tér																	
Déli pályaudvar																	
																	
Állomások száma:																	
A vonal hossza:																	
Legrövidebb állomásköz:																	
Leghosszabb állomásköz:																	
Legnagyobb menetidő a végállomások között:																	
Járatszáma:																	
																	
