kod	nev	mellekhatas
E 228 	kálium-hidrogén-szulfit	1
E 900 	dimetil-polisziloxán 	0
E 150(d) 	ammónium-szulfitos karamell	1
E 1450 	keményítő­nátrium­oktenil­szukcinát	0
E 516 	kalcium-szulfát 	0
E 473 	zsírsavak szaharóz észterei 	0
E 160(a) 	alfa-, béta- és gamma-karotin	0
E 252 	kálium-nitrát	1
E 477 	zsírsavak propilén-glikol észtere 	1
E 552 	kalcium-szilikát 	0
E 903 	karnauba viasz	0
E 452 	polifoszfátok	0
E 405 	propilén-glikol-alginát	0
E 128 	vörös 2G	0
E 472(f) 	ehető zsírsavak mono- és digliceridjeinek borkősavas és ecetsavas észterei 	0
E 102 	tartrazine	1
E 911 	zsírsavak metil észterei	0
E 450(c) 	nátrium-polifoszfátok	1
E 522 	alumínium-kálium-szulfát 	0
E 161(g) 	kantaxantin	0
E 172 	vas-oxid, vas-hidroxid	1
E 620 	glutamin-sav 	0
E 938 	argon	0
E 472(a) 	acetogliceridek 	0
E 285 	nátrium-tetraborát	1
E 901 	méhviasz 	0
E 450(a) 	kálium-difoszfátok	1
E 470(a) 	zsirsavak nátrium-, kálium- és kalcium-sói	0
E 339(b) 	dinátrium-hidrogén-ortofoszfát	1
E 322 	lecitin	0
E 163 	anthocyanok	0
E 959 	neoheszperidin DC	0
E 221 	nátrium-szulfit	1
E 954 	szacharin valamint nátrium- és kalciumsói	0
E 517 	ammónium-szulfát 	0
E 579 	vas(II)-glukonát 	0
E 239 	hexamin	1
E 914 	oxidált polietilén viasz	0
E 210 	benzoesav	1
E 331(a) 	nátrium-dihidrogen-citrát	0
E 160(d) 	likopin	0
E 550 	nátrium-szilikátok 	0
E 163(f) 	petunidin	0
E 385 	kálium-dinátrium-etiléndiamin-tetraacetát	0
E 530 	magnézium-oxid 	0
E 558 	bentonit 	0
E 1414 	acetilált-dikeményítő-foszfát	0
E 175 	elemi arany	0
E 320 	tercier-butil-4-hidroxianizol	1
E 515 	kálium-szulfát, kálium-hidrogén-szulfát 	0
E 551 	szilicium-dioxid 	0
E 124 	neukokcin	1
E 250 	nátrium-nitrit	1
E 559 	alumínium-szilikát	0
E 211 	nátrium-benzoát	1
E 445 	mandragóra gyökér gyantájának glicerin észtere	0
E 351 	kálium-malát	0
E 418 	gellán gumi	0
E 466 	nátrium-karboximetil-cellulóz	1
E 407 	karragén	1
E 435 	poliszorbát 60	0
E 356 	nátrium-adipát	0
E 556 	kalcium-alumínium-szilikát 	0
E 171 	titán-dioxid	1
E 162 	betanin	0
E 327 	kalcium-laktát	0
E 527 	ammónium-hidroxid 	0
E 337 	kálium-nátrium-tartrát	0
E 553(a) 	magnézium-szilikát 	0
E 422 	glicerin	0
E 355 	adipinsav	0
