kod	fnev
E 100 	színezék
E 100 	antioxidáns
E 101 	színezék
E 101 	antioxidáns
E 101(a) 	színezék
E 102 	színezék
E 104 	színezék
E 110 	színezék
E 120 	színezék
E 122 	színezék
E 123 	színezék
E 124 	színezék
E 127 	színezék
E 128 	színezék
E 129 	színezék
E 131 	színezék
E 132 	színezék
E 133 	színezék
E 140 	színezék
E 141 	színezék
E 142 	színezék
E 150 	színezék
E 150 	ízesítő
E 150(b) 	színezék
E 150(b) 	ízesítő
E 150(c) 	színezék
E 150(c) 	ízesítő
E 150(d) 	színezék
E 150(d) 	ízesítő
E 151 	színezék
E 153 	színezék
E 154 	színezék
E 155 	színezék
E 160 	színezék
E 160(a) 	színezék
E 160(b) 	színezék
E 160(c) 	színezék
E 160(d) 	színezék
E 160(e) 	színezék
E 160(f) 	színezék
E 161 	színezék
E 161(a) 	színezék
E 161(b) 	színezék
E 161(c) 	színezék
E 161(d) 	színezék
E 161(e) 	színezék
E 161(f) 	színezék
E 161(g) 	színezék
E 162 	színezék
E 163 	színezék
E 163(a) 	színezék
E 163(b) 	színezék
E 163(c) 	színezék
E 163(d) 	színezék
E 163(e) 	színezék
E 163(f) 	színezék
E 170 	színezék
E 170 	töltőanyag
E 171 	színezék
E 172 	színezék
E 173 	színezék
E 174 	színezék
E 175 	színezék
E 180 	színezék
E 180 	töltőanyag
E 200 	tartósítószer
E 200 	sav-szabályzó
E 201 	tartósítószer
E 202 	tartósítószer
E 203 	tartósítószer
E 210 	tartósítószer
E 211 	tartósítószer
E 213 	tartósítószer
E 214 	tartósítószer
E 215 	tartósítószer
E 216 	tartósítószer
E 217 	tartósítószer
E 218 	tartósítószer
E 219 	tartósítószer
E 220 	tartósítószer
E 220 	antioxidáns
E 221 	tartósítószer
E 222 	tartósítószer
E 223 	tartósítószer
E 223 	antioxidáns
E 224 	tartósítószer
E 224 	antioxidáns
E 226 	tartósítószer
E 227 	tartósítószer
E 228 	tartósítószer
E 230 	tartósítószer
E 231 	tartósítószer
E 232 	tartósítószer
E 233 	tartósítószer
E 234 	antibiotikum
E 234 	tartósítószer
E 235 	antibiotikum
E 235 	tartósítószer
E 236 	tartósítószer
E 236 	ízesítő
E 236 	antioxidáns
E 237 	tartósítószer
E 237 	ízesítő
E 237 	antioxidáns
E 238 	tartósítószer
E 238 	antioxidáns
E 239 	tartósítószer
