Dátum	Távolság (km)	Mennyiség (liter)	Ár (Ft)	Benzinkút azonosítója	Benzinár (Ft/l)	Fogyasztás (l/100km)
1999.07.06	384,4	26,60	5 024	N3				Megtett távolság
1999.07.14	485,4	31,90	6 023	NA				Összes benzin (liter)
1999.07.17	497,9	33,30	6 287	N12				Átlagfogyasztás
1999.07.30	632,0	42,06	7 941	NA				Benzinkút
1999.07.31	301,3	17,11	3 231	NA
1999.08.06	553,3	37,34	7 278	A1
1999.08.12	244,7	16,90	3 328	A1				Év	Benzin (l)
1999.08.20	573,0	38,16	7 628	NA				1999
1999.08.22	451,1	35,52	7 030	NA				2000
1999.08.30	582,5	41,48	8 292	A1				2001
1999.09.08	627,8	43,17	8 457	A2				2002
1999.09.18	579,1	40,64	8 002	A2				2003
1999.09.24	542,6	36,37	7 343	A1				2004
1999.10.02	538,0	37,28	7 564	NA				2005
1999.10.10	507,0	37,80	7 670	O13				2006
1999.10.15	534,3	36,54	7 341	A1				2007
1999.10.23	445,7	32,38	6 505	NA				2008
1999.10.28	531,8	42,02	8 274	A2				2009
1999.11.06	543,1	40,02	7 920	NA				2010
1999.11.12	559,0	43,66	8 706	A1				2011
1999.11.22	375,5	30,56	6 140	A2				2012
1999.11.30	438,3	34,79	7 059	A2				2013
1999.12.05	452,3	34,09	7 019	O13
1999.12.16	528,9	38,01	7 788	A2
1999.12.19	564,0	44,25	9 598	S1
1999.12.28	554,4	40,00	8 276	NA
2000.01.07	548,7	41,48	8 707	A2
2000.01.16	471,3	36,22	7 530	NA
2000.01.23	513,7	37,15	7 835	NA
2000.02.01	536,0	37,92	7 997	A2
2000.02.10	583,0	43,19	9 109	A1
2000.02.19	572,4	40,41	8 765	A1
2000.03.02	549,4	39,03	8 700	O13
2000.03.09	589,0	40,91	9 201	A2
2000.03.15	405,0	28,62	6 551	A2
2000.03.23	535,0	38,46	8 803	A1
2000.04.03	558,0	38,96	8 879	A2
2000.04.13	603,0	45,15	10 290	A2
2000.04.19	495,0	36,96	8 349	A1
2000.04.30	613,0	40,70	9 153	A2
2000.05.05	452,0	29,63	6 812	O13
2000.05.06	397,1	29,59	6 803	NA
2000.05.09	554,0	34,89	8 021	A1
2000.05.16	583,0	38,41	8 984	A1
2000.05.26	592,0	41,64	9 865	A1
2000.06.18	557,0	40,35	9 680	O13
2000.06.24	419,0	28,37	6 834	NA
2000.07.01	521,0	33,95	8 250	N1
2000.07.03	655,0	38,95	9 305	A2
2000.07.16	557,0	35,34	8 499	NA
2000.07.23	566,0	37,46	9 009	NA
2000.08.01	463,0	30,11	7 163	A1
2000.08.15	610,0	41,44	9 817	A2
2000.08.20	570,0	38,82	9 274	NA
2000.08.25	552,0	35,20	8 374	A1
2000.09.01	553,0	44,05	10 480	A1
2000.09.06	404,0	29,00	6 943	NA
2000.09.06	567,0	40,71	12 041	E5
2000.09.08	533,0	36,39	10 664	NA
2000.09.09	588,0	44,08	11 674	O1
2000.09.12	573,0	38,93	9 261	A1
2000.09.23	487,0	32,49	7 924	A1
2000.09.26	490,0	39,26	9 576	A1
2000.10.04	526,0	36,48	8 861	A2
2000.10.15	491,0	34,84	8 497	A2
2000.10.25	540,0	37,83	9 227	A2
2000.10.31	573,0	39,20	9 561	A1
2000.11.12	544,0	36,81	9 052	NA
2000.11.21	561,0	42,80	10 182	A1
2000.12.01	550,0	40,15	9 552	A1
2000.12.08	543,0	41,13	9 785	A1
2000.12.17	540,0	39,17	8 770	A1
2000.12.23	400,0	29,34	6 540	NA
2000.12.30	638,0	40,33	8 772	NA
2001.01.08	492,0	36,13	7 837	A1
2001.01.17	564,0	40,76	8 800	A1
