muid	tipus	alkotoid
357	szöveg	61
199	zene	197
179	zene	177
188	szöveg	243
86	szöveg	196
387	fordítás	40
124	szöveg	252
228	fordítás	7
191	szöveg	1
252	zene	164
311	szöveg	76
278	zene	153
226	fordítás	11
348	zene	176
317	zene	197
249	fordítás	145
69	zene	48
116	szöveg	113
110	zene	247
59	szöveg	239
398	zene	197
120	szöveg	118
249	zene	211
150	zene	82
115	fordítás	245
53	zene	168
106	zene	187
259	zene	153
122	zene	232
369	szöveg	81
352	zene	199
325	fordítás	56
207	szöveg	118
400	szöveg	254
28	szöveg	71
95	szöveg	81
314	szöveg	171
254	szöveg	174
36	szöveg	224
389	szöveg	196
241	szöveg	55
28	szöveg	125
101	szöveg	196
357	zene	39
252	szöveg	54
371	zene	210
75	zene	60
347	zene	154
403	zene	50
313	szöveg	179
240	zene	82
140	szöveg	153
333	szöveg	125
252	szöveg	145
313	zene	258
285	szöveg	172
186	zene	16
167	szöveg	215
140	zene	153
165	szöveg	106
164	szöveg	150
65	zene	48
283	zene	192
9	zene	154
24	szöveg	149
289	szöveg	5
177	zene	82
260	szöveg	47
135	szöveg	118
286	szöveg	22
21	szöveg	72
59	szöveg	144
119	zene	48
232	szöveg	266
375	szöveg	160
1	szöveg	196
14	szöveg	118
79	szöveg	165
307	szöveg	249
192	zene	23
128	szöveg	160
181	szöveg	160
248	zene	232
253	zene	69
317	szöveg	126
222	zene	164
143	szöveg	160
18	szöveg	266
387	szöveg	115
264	szöveg	44
412	zene	69
4	szöveg	219
80	zene	81
248	szöveg	184
401	fordítás	100
343	szöveg	7
39	fordítás	171
340	zene	143
308	szöveg	9
338	szöveg	118
343	zene	101
70	szöveg	54
209	zene	39
192	zene	103
180	zene	86
53	szöveg	47
75	szöveg	145
227	zene	62
396	zene	153
323	szöveg	196
11	zene	258
198	szöveg	81
388	szöveg	46
97	szöveg	106
179	szöveg	81
336	zene	90
152	szöveg	249
329	szöveg	160
401	szöveg	95
317	szöveg	32
304	szöveg	145
177	szöveg	118
293	szöveg	47
300	zene	69
11	szöveg	213
62	szöveg	47
268	szöveg	75
100	fordítás	245
385	zene	69
192	szöveg	226
405	zene	35
169	szöveg	49
69	szöveg	194
107	szöveg	159
37	fordítás	145
241	zene	259
410	szöveg	21
301	zene	267
191	fordítás	47
39	szöveg	66
50	szöveg	179
337	szöveg	118
170	szöveg	121
70	zene	3
339	szöveg	101
309	szöveg	106
144	zene	51
207	zene	164
150	szöveg	118
69	szöveg	26
224	szöveg	76
20	szöveg	81
347	szöveg	109
193	zene	154
2	zene	187
204	zene	57
288	szöveg	157
220	szöveg	249
117	szöveg	88
271	szöveg	26
3	szöveg	231
373	szöveg	55
146	zene	177
76	zene	246
71	zene	197
61	zene	258
359	zene	179
258	szöveg	53
153	zene	247
251	szöveg	160
41	szöveg	47
