ablak	szolgaltatasid	erkezett	sorrakerult	tavozott
1	3	7:51:16	8:00:00	8:01:25
2	3	7:51:41	8:00:00	8:01:38
3	3	7:51:58	8:00:00	8:01:13
4	3	7:52:03	8:00:00	8:01:08
5	3	7:52:54	8:00:00	8:01:19
6	5	7:53:11	8:00:00	8:01:14
3	4	7:53:42	8:01:17	8:03:09
3	4	7:54:00	8:03:16	8:04:27
4	5	7:54:00	8:01:15	8:02:09
6	5	7:54:58	8:01:19	8:02:42
5	4	7:55:24	8:01:22	8:02:58
2	4	7:55:31	8:01:46	8:03:11
1	3	7:55:36	8:01:28	8:02:40
3	4	7:55:39	8:04:33	8:06:15
4	2	7:56:02	8:02:16	8:05:17
6	3	7:56:12	8:02:48	8:04:03
4	5	7:56:29	8:05:23	8:06:30
2	4	7:57:33	8:03:16	8:04:42
1	3	7:57:35	8:02:44	8:04:05
3	4	7:57:43	8:06:21	8:07:32
5	3	7:57:47	8:03:06	8:04:33
6	3	7:58:03	8:04:09	8:05:43
6	3	7:58:42	8:05:46	8:07:24
4	2	7:58:45	8:06:35	8:08:25
2	3	7:59:07	8:04:47	8:05:58
6	1	7:59:11	8:07:27	8:10:48
1	2	7:59:44	8:04:13	8:07:04
4	3	7:59:51	8:08:30	8:10:03
5	5	7:59:58	8:04:36	8:05:48
3	1	8:00:19	8:07:35	8:10:22
6	4	8:00:50	8:10:51	8:12:28
2	3	8:00:52	8:06:06	8:07:27
5	3	8:00:53	8:05:55	8:07:24
1	5	8:02:03	8:07:11	8:08:07
2	3	8:02:05	8:07:34	8:09:00
3	5	8:02:10	8:10:26	8:11:39
6	2	8:02:30	8:12:31	8:14:06
3	4	8:02:32	8:11:45	8:13:37
4	3	8:02:40	8:10:10	8:11:31
2	4	8:03:12	8:09:05	8:10:27
1	3	8:03:20	8:08:12	8:09:39
4	5	8:03:24	8:11:38	8:12:43
3	3	8:03:35	8:13:42	8:15:10
5	5	8:03:48	8:07:29	8:08:48
5	4	8:04:09	8:08:52	8:10:43
6	4	8:04:44	8:14:11	8:15:11
4	1	8:05:35	8:12:47	8:16:07
2	4	8:05:47	8:10:32	8:11:50
1	5	8:05:52	8:09:45	8:11:17
5	5	8:06:05	8:10:49	8:12:17
3	5	8:06:18	8:15:18	8:16:52
5	4	8:06:43	8:12:20	8:13:29
6	2	8:07:00	8:15:15	8:16:33
2	3	8:07:02	8:11:55	8:13:20
1	3	8:07:21	8:11:23	8:12:49
3	1	8:07:46	8:16:56	8:18:40
5	5	8:07:53	8:13:34	8:15:06
4	5	8:08:33	8:16:11	8:17:01
2	5	8:08:53	8:13:23	8:14:16
4	3	8:09:09	8:17:09	8:18:18
6	3	8:09:19	8:16:40	8:18:08
3	3	8:09:41	8:18:45	8:20:09
5	5	8:10:02	8:15:13	8:16:51
1	1	8:10:05	8:12:54	8:14:46
6	3	8:11:26	8:18:13	8:19:23
5	2	8:11:29	8:16:54	8:18:21
2	2	8:11:37	8:14:19	8:16:04
3	3	8:11:52	8:20:16	8:21:38
4	1	8:11:57	8:18:22	8:21:42
1	2	8:12:48	8:14:49	8:17:18
5	5	8:13:22	8:18:26	8:19:47
3	4	8:13:24	8:21:46	8:23:21
6	2	8:13:27	8:19:31	8:21:49
4	5	8:13:53	8:21:46	8:23:20
2	4	8:14:02	8:16:07	8:18:10
6	3	8:14:52	8:21:54	8:23:24
1	4	8:14:54	8:17:22	8:19:00
4	4	8:15:07	8:23:25	8:24:22
1	1	8:15:17	8:19:08	8:21:07
5	4	8:15:27	8:19:50	8:21:06
3	3	8:15:34	8:23:29	8:24:38
2	4	8:16:02	8:18:16	8:19:51
6	5	8:16:27	8:23:31	8:25:03
3	1	8:16:44	8:24:43	8:28:09
2	4	8:16:54	8:19:57	8:21:40
6	3	8:16:57	8:25:10	8:26:33
4	4	8:17:00	8:24:30	8:25:33
1	4	8:17:26	8:21:11	8:23:09
4	5	8:17:59	8:25:40	8:27:22
5	5	8:18:11	8:21:13	8:22:50
1	2	8:18:17	8:23:17	8:25:37
3	4	8:18:38	8:28:13	8:29:35
5	3	8:19:24	8:22:58	8:24:27
2	4	8:19:25	8:21:44	8:23:08
6	5	8:19:33	8:26:41	8:27:54
4	5	8:20:13	8:27:28	8:28:15
4	2	8:20:41	8:28:18	8:31:20
6	3	8:20:43	8:27:57	8:29:24
5	1	8:21:03	8:24:31	8:27:12
4	4	8:21:04	8:31:28	8:32:41
1	3	8:21:09	8:25:41	8:27:18
3	4	8:21:18	8:29:41	8:30:39
6	5	8:21:53	8:29:27	8:31:12
2	3	8:22:12	8:23:14	8:24:21
5	2	8:22:13	8:27:19	8:29:39
1	3	8:23:12	8:27:26	8:28:55
3	5	8:23:18	8:30:46	8:32:04
5	3	8:23:25	8:29:42	8:31:07
4	5	8:23:25	8:32:49	8:33:43
2	1	8:24:00	8:24:29	8:27:36
2	4	8:24:20	8:27:44	8:29:10
6	1	8:24:51	8:31:18	8:33:33
1	3	8:25:15	8:28:59	8:30:21
3	4	8:25:16	8:32:11	8:33:52
1	5	8:25:37	8:30:24	8:31:21
4	3	8:25:49	8:33:51	8:35:15
2	2	8:26:08	8:29:14	8:32:20
5	3	8:26:15	8:31:14	8:32:28
1	5	8:26:27	8:31:29	8:32:48
6	3	8:26:42	8:33:40	8:34:57
3	1	8:26:44	8:33:57	8:37:23
3	5	8:27:37	8:37:26	8:38:55
1	4	8:27:52	8:32:53	8:33:50
6	5	8:27:55	8:35:04	8:36:16
4	3	8:28:18	8:35:18	8:36:51
1	1	8:28:29	8:33:58	8:36:10
4	4	8:28:57	8:36:59	8:37:56
2	4	8:29:01	8:32:27	8:34:09
5	3	8:29:13	8:32:33	8:34:05
6	4	8:29:20	8:36:19	8:37:41
3	4	8:29:48	8:39:00	8:40:32
4	1	8:30:12	8:38:02	8:41:32
2	5	8:30:20	8:34:13	8:35:20
1	4	8:31:12	8:36:16	8:37:17
4	5	8:31:14	8:41:35	8:42:49
5	3	8:31:21	8:34:09	8:35:24
1	5	8:31:40	8:37:23	8:38:43
2	4	8:31:55	8:35:28	8:36:57
4	3	8:32:07	8:42:53	8:44:20
6	4	8:32:10	8:37:44	8:38:42
5	4	8:32:24	8:35:30	8:36:49
3	3	8:32:45	8:40:35	8:41:42
