moziid	kezdes	szinkron	szabad
23	20:00	magyar szinkronnal	-1
26	16:00	magyar felirattal	-1
1	18:00	magyar felirattal	-1
1	19:45	magyar felirattal	0
33	16:45	magyar szinkronnal	-1
33	20:45	magyar szinkronnal	-1
36	14:00	magyar szinkronnal	-1
36	18:20	magyar szinkronnal	-1
36	20:15	magyar szinkronnal	0
36	22:15	magyar felirattal	-1
2	10:00	magyar szinkronnal	-1
2	13:20	magyar szinkronnal	-1
2	17:15	magyar szinkronnal	-1
2	19:15	magyar szinkronnal	0
2	21:15	magyar felirattal	-1
3	11:30	magyar szinkronnal	-1
3	16:10	magyar szinkronnal	0
3	20:10	magyar szinkronnal	0
3	22:10	magyar felirattal	-1
4	13:30	magyar szinkronnal	-1
4	16:30	magyar szinkronnal	-1
4	18:15	magyar szinkronnal	-1
4	20:15	magyar szinkronnal	-1
4	22:15	magyar felirattal	-1
38	14:00	magyar szinkronnal	-1
38	18:20	magyar szinkronnal	-1
38	20:15	magyar szinkronnal	0
38	22:15	magyar felirattal	-1
39	14:00	magyar szinkronnal	-1
39	18:20	magyar szinkronnal	-1
39	20:15	magyar szinkronnal	-1
39	22:15	eredeti nyelven	-1
43	14:00	magyar szinkronnal	-1
43	18:20	magyar szinkronnal	-1
43	20:15	magyar szinkronnal	0
43	22:15	magyar felirattal	-1
6	10:00	magyar szinkronnal	-1
6	14:30	magyar szinkronnal	-1
6	18:30	magyar felirattal	-1
6	20:30	magyar szinkronnal	-1
6	22:30	eredeti nyelven	-1
56	16:35	magyar felirattal	-1
59	16:00	magyar felirattal	-1
62	20:30	magyar szinkronnal	-1
17	13:15	magyar felirattal	-1
17	16:15	magyar felirattal	-1
17	19:15	magyar felirattal	-1
19	18:45	eredeti nyelven	-1
70	18:15	magyar felirattal	-1
20	21:00	magyar felirattal	0
48	20:15	magyar szinkronnal	-1
48	22:15	magyar felirattal	-1
57	18:15	magyar felirattal	-1
70	20:00	magyar szinkronnal	-1
68	18:20	magyar szinkronnal	-1
68	20:15	magyar szinkronnal	0
61	20:30	magyar szinkronnal	-1
