Szakasz	Útvonal	Távolság (km)	Szint (m)	Idő (perc)	Bejárás					Szakasz	Túrák száma	Táv (km)
1	Írottkő - Hét-forrás	9,5	150	158	2011.11.23		Megtett út:					
1	Hét-forrás - Kőszeg	5	100	85	2011.11.23		Gyaloglás ideje:					
1	Kőszeg - Tömörd	13,8	90	216	2011.11.24		Első túra:					
1	Tömörd - Ablánc malom	9	40	139	2011.11.24		Utolsó túra:					
1	Ablánc malom - Szeleste	11,2	40	172	2010.12.13		Dátum:					
1	Szeleste - Bögöt 	9	10	136	2010.12.12		Szakasz:					
1	Bögöt - Csényeújmajor 	8,2	0	123	2010.12.12		Útvonal:					
1	Csényeújmajor - Sárvár v.áll. 	4,5	0	68	2010.12.12		12. hónapban:					
2	Sárvár v.áll. - Gérce	11,5	40	176	2010.01.25							
2	Gérce - Rózsáskerti eh.	3	30	48	2010.01.25							
2	Rózsáskerti eh. - Hidegkúti eh.	4,5	20	70	2010.01.25							
2	Hidegkúti eh. - Káld	6,4	30	99	2010.01.25							
2	Káld - Hosszúpereszteg 	11,2	60	174	2010.01.24							
2	Hosszúpereszteg - Szajki eh. 	6,1	10	92	2010.01.24							
2	Szajki eh. - Ötvös 	14,5	20	220	2013.10.28							
2	Ötvös - Kisvásárhely 	8,9	50	138	2013.10.28							
2	Kisvásárhely - Sümeg v.áll. 	5,8	20	89	2013.10.28							
4	Keszthely - Vállus	12	250	205	2010.08.07							
4	Vállus - Lesenceistvánd	6,8	220	124	2010.08.07							
4	Lesenceistvánd - Tapolca	6,9	0	104	2010.08.07							
5	Tapolca - Szt.Györgyh.th. 	5,2	190	97	2010.12.09							
5	Szt.Györgyh.th. - Szigliget 	7,3	120	122	2010.12.09							
5	Szigliget - B.tördemic v.áll. 	3,2	20	50	2010.12.09							
6	B.tördemic v.áll. - Káptalantóti	10,8	420	204	2011.07.08							
6	Káptalantóti - Szentbékkálla	9,3	260	166	2011.07.08							
6	Szentbákkálla - Balatonhenye	6,8	300	132	2011.07.09							
6	Balatonhenye - Csicsói eh.	6,1	220	113	2011.07.09							
6	Csicsói eh. - Nagyvázsony	8	60	126	2011.07.09							
7	Nagyvázsony - Kabhegy eh. 	10,4	330	188	2015.09.19							
7	Kabhegy - Úrkút 	4	20	62	2015.09.19							
7	Úrkút - Városlőd-Kislőd v.áll. 	7,8	50	122	2015.09.19							
8	Városlőd-Kislőd v.áll. - Németbánya	11,6	180	192	2013.05.04							
8	Németbánya - Bakonybél	8,4	160	142	2013.05.04							
