ertek	tipus	datum	helyaz
3,2	min	1993.08.27	116
18,4	max	1959.12.03	25
-18,4	min	1980.12.08	70
0,8	min	2003.09.04	31
-5	min	1984.04.28	59
-1,1	min	2004.09.18	61
4,2	min	1986.07.13	116
-15,1	min	1920.11.02	143
-27,8	min	1987.01.31	116
3	min	1919.07.23	63
30,2	max	1920.04.19	44
18,7	max	1998.02.11	27
22,9	max	1998.02.12	117
-4,4	min	2002.10.09	61
-17	min	1920.11.01	143
29	max	2000.04.20	49
21,8	max	1998.02.13	117
35	max	1945.05.13	68
22	max	1947.11.23	22
17	max	1918.01.18	68
-27,2	min	1932.02.14	92
2,3	min	1940.09.01	52
-28	min	1940.02.18	51
17,6	max	2001.01.07	77
17,6	max	2004.02.04	91
4,2	min	1912.08.13	97
28,7	max	1968.04.06	37
38,3	max	1956.09.02	108
30,1	max	1985.10.03	128
28,6	max	1989.04.05	23
17,1	max	1915.12.11	80
-1,1	min	1995.05.16	118
-25,2	min	1902.12.13	133
4,1	min	1949.08.20	44
40,4	max	2012.08.24	86
33,9	max	2003.05.06	86
-18,6	min	1976.03.13	73
25,8	max	2006.10.27	107
19,6	max	1930.11.22	81
-28,3	min	1963.01.16	106
-9	min	2012.04.10	61
4,4	min	1983.07.22	71
32,6	max	2012.05.03	24
-16	min	1902.11.27	8
13,6	max	1993.01.15	27
39,2	max	1918.06.18	143
-2	min	1979.09.17	28
28,9	max	2000.10.14	25
20,2	max	1995.02.07	22
3,4	min	1962.07.06	106
19,2	max	1989.12.18	67
23	max	1990.03.11	113
38,4	max	2002.06.24	25
39	max	1908.07.14	44
0,4	min	1966.05.29	59
-14,2	min	2013.03.16	132
-5,2	min	1979.10.07	7
18,6	max	1944.02.01	22
3,4	min	1982.06.15	121
-18,2	min	2013.03.17	15
39,5	max	1935.06.28	145
22,4	max	1990.02.25	54
-26	min	1963.12.24	106
16,3	max	2014.01.05	68
34,5	max	2003.05.08	102
31	max	1909.04.27	44
26,1	max	2013.10.24	118
1,8	min	1974.06.13	59
4	min	1910.06.21	81
29,1	max	1916.10.15	143
19,1	max	2006.12.06	87
-4,5	min	1976.04.30	59
23	max	1963.11.06	37
-10,6	min	1979.10.27	119
21	max	1989.12.19	95
-30,2	min	1929.02.22	8
1,3	min	1997.06.19	131
35,2	max	1927.06.02	97
34	max	2003.05.09	102
-8,1	min	1997.04.14	109
29,8	max	1962.10.12	115
32	max	1946.05.04	68
-16,5	min	1929.03.06	35
34	max	1945.05.14	68
34	max	1979.05.20	66
-24,9	min	1937.12.29	79
4,6	min	1968.08.21	52
39,8	max	2007.07.24	5
-26	min	1935.02.12	97
19,7	max	1998.02.27	84
17,9	max	2001.02.08	87
39,5	max	1935.06.28	136
-0,8	min	1955.05.31	52
21	max	1990.02.24	21
-3,6	min	1970.09.30	101
38,6	max	1994.07.30	54
-6,4	min	2007.05.02	61
-27	min	1963.03.01	106
-21	min	1925.12.06	35
22,7	max	2002.11.18	87
18,8	max	1989.12.20	127
37,6	max	2000.06.22	78
-26	min	1923.12.31	35
-19,4	min	1973.12.02	53
27,4	max	1974.03.21	31
22,4	max	1920.03.06	80
16,5	max	1985.01.23	68
-4,5	min	1977.09.28	71
-27,1	min	1954.02.06	25
21,6	max	2001.03.04	86
-28,3	min	2002.12.26	61
4,4	min	1960.07.05	59
18,2	max	1955.02.18	72
35	max	1994.05.18	15
-27,5	min	1942.01.19	136
34,4	max	1961.09.18	76
32,6	max	2013.04.30	144
33,8	max	1932.09.04	97
-25,5	min	1925.12.05	35
4,7	min	2003.08.12	61
5,7	min	2013.08.18	61
-13	min	1897.11.11	44
5	min	1919.07.26	63
4,2	min	1919.07.16	63
38,4	max	2012.07.02	76
40	max	1950.07.01	72
34	max	2003.05.09	85
-3,8	min	1976.05.01	20
-27,5	min	1940.02.15	124
-14,8	min	1971.11.22	29
-4,8	min	1975.10.12	7
-6,4	min	1981.04.19	59
1,7	min	2012.08.28	61
38,2	max	1921.07.26	44
-26,2	min	2005.02.07	38
22,7	max	1979.03.15	126
-0,4	min	1918.06.04	133
32	max	1942.09.28	30
-28,5	min	1940.01.22	51
36,9	max	2000.06.13	16
21	max	1926.11.21	97
-3	min	1902.09.23	44
-28	min	1902.12.14	133
-23,2	min	1950.02.05	76
18,6	max	1989.12.21	82
35	max	1956.09.10	108
-22,8	min	1933.12.23	39
26,1	max	2001.10.31	138
16,4	max	1992.01.02	91
-27,7	min	1996.12.28	62
18,2	max	2006.12.09	64
18,4	max	2002.01.30	36
-21	min	1925.12.07	35
-11,3	min	1908.11.07	133
1,1	min	2000.06.18	61
5,5	min	1965.08.03	41
17,6	max	1961.12.05	106
-5	min	1925.10.10	35
2,2	min	1998.08.29	62
35	max	1983.05.16	139
38,2	max	1988.07.23	112
26,3	max	1969.11.01	39
-21	min	1988.11.25	80
35,2	max	2012.09.01	107
37,9	max	2011.07.09	74
17,2	max	1994.12.12	93
-12,1	min	1920.11.03	43
-5,6	min	1938.04.23	22
41,9	max	2007.07.20	102
35	max	1920.05.21	44
38,2	max	1922.07.11	44
-33	min	1929.02.11	97
13,6	max	2011.01.15	22
-8,6	min	2003.04.06	59
30	max	1995.04.22	56
26,1	max	2001.10.31	118
5,6	min	1996.07.17	62
30,9	max	1932.09.29	92
39,5	max	1992.08.20	69
0	min	1908.09.13	44
-5,7	min	1959.04.22	59
-23	min	1957.12.04	108
-12,2	min	1976.03.21	121
20	max	2003.11.25	87
-13,1	min	1920.10.30	43
19,1	max	1985.12.29	27
0,3	min	2000.09.07	134
5,8	min	1992.07.29	27
-10,9	min	2002.04.07	62
-0,4	min	1962.06.04	106
-24,6	min	1940.12.17	48
27	max	1896.03.19	68
2,9	min	1962.09.02	52
-11,7	min	2003.03.23	61
-5,6	min	1919.10.11	133
-3,1	min	1980.05.15	71
19,9	max	1966.02.21	28
39,2	max	1946.08.19	12
20,4	max	1970.11.19	80
17,1	max	1989.12.22	67
-13,4	min	1988.11.10	118
36,1	max	1917.09.20	143
38,8	max	2000.06.14	16
30,6	max	2012.04.29	105
35,9	max	1938.06.26	92
25,5	max	1997.11.08	12
18,4	max	2002.01.30	99
39,1	max	1921.07.27	44
41,7	max	2000.08.21	25
14,7	max	1949.01.04	72
-19,4	min	1973.12.02	78
16	max	1976.01.12	113
15,5	max	1993.01.24	84
38	max	1894.07.25	68
1,5	min	1930.09.06	43
-13,4	min	1964.03.18	35
19,4	max	2006.11.26	87
-19,2	min	1973.12.01	35
-24	min	1902.12.12	44
-5	min	1984.04.28	121
25	max	1990.03.12	113
25,2	max	1989.10.22	103
40,6	max	2013.08.08	105
-8,7	min	2011.10.18	132
-11,4	min	1918.03.28	43
-5,2	min	2013.10.07	132
35	max	1987.06.15	98
39,3	max	1917.08.01	143
-26,5	min	1940.01.20	97
-5,2	min	1988.04.24	59
15,2	max	1956.01.22	72
29,2	max	1934.04.18	47
4,7	min	1998.07.09	59
-4,5	min	1931.10.02	63
-16,8	min	1920.10.31	143
-10	min	1977.04.01	63
16,2	max	2003.01.03	99
28,2	max	1997.10.10	126
-1,5	min	1959.09.20	101
23,1	max	2000.11.17	87
25,6	max	2006.03.27	84
-7,1	min	2013.10.06	132
21	max	1989.12.19	6
36,1	max	1987.09.14	126
-3,6	min	1957.05.09	101
30,2	max	1939.04.08	92
-24,2	min	1969.01.01	106
-26	min	1927.12.21	35
-4,2	min	2011.05.06	61
-7,3	min	1997.04.16	59
-2	min	1959.09.19	101
3,4	min	2011.06.26	61
-1	min	1973.05.17	116
-8,6	min	2013.10.05	61
-31,9	min	2003.01.12	61
-12	min	2003.03.22	61
35	max	1925.05.31	44
-23,5	min	1954.02.23	51
22,3	max	1957.03.14	45
34,9	max	1950.05.26	30
22,1	max	1963.11.11	2
37,6	max	2008.09.07	5
-25	min	1954.01.03	110
-19,5	min	1962.03.19	96
17,8	max	1961.12.04	30
-8,7	min	2011.10.18	57
41	max	2007.07.18	33
4	min	1902.07.03	44
-24	min	1947.01.05	133
26,8	max	2012.10.20	107
35	max	1987.06.15	107
-18	min	2005.03.07	130
3,8	min	1987.08.07	116
-2,2	min	1978.05.11	59
37,3	max	2013.06.19	18
0,2	min	1973.09.16	71
4,2	min	1919.08.04	63
-12	min	1931.03.30	43
4,1	min	1967.06.11	59
34	max	1929.05.29	44
17,3	max	1915.12.10	80
31	max	1935.10.05	76
-1,6	min	1968.05.20	106
18,9	max	2012.11.28	87
37,9	max	1994.06.29	40
-16,5	min	1929.03.06	52
15,3	max	1921.01.01	81
-14,3	min	1983.11.14	71
36	max	1910.06.12	44
27,7	max	1989.04.01	82
35,8	max	1905.09.15	80
-2	min	1933.09.19	52
-6,8	min	2011.10.16	61
-1,4	min	2004.05.24	61
36,6	max	1947.06.05	68
28	max	1896.03.23	68
31,3	max	2012.04.28	107
-26,2	min	1902.12.15	133
-23,1	min	1956.02.25	50
24,2	max	1963.11.05	5
17	max	1926.02.03	30
-7	min	1908.10.20	81
2,1	min	2001.08.30	61
-12,5	min	1997.10.29	62
34	max	1932.09.30	92
-2,6	min	1978.05.13	3
-0,8	min	1991.05.26	7
26	max	1926.10.30	47
1,5	min	1980.08.25	101
3,7	min	1986.08.22	7
38,6	max	1994.07.31	60
39,2	max	2011.08.25	86
-26	min	1940.02.19	136
-0,5	min	1991.09.09	52
24,7	max	1963.11.04	5
37,7	max	2002.06.23	84
36	max	1896.05.28	68
27,5	max	1961.10.19	12
2	min	1980.08.26	122
-23	min	1988.11.24	86
33,3	max	2012.05.02	1
39,5	max	1950.07.04	123
-16,2	min	1908.11.16	133
33,5	max	1983.05.17	98
-26	min	1935.02.12	30
-12,2	min	2006.11.04	61
-18,2	min	1908.11.17	8
0,6	min	1962.06.08	59
25,9	max	1938.04.03	43
31	max	1950.04.21	39
35	max	1945.05.15	68
2,9	min	1962.06.10	106
2,5	min	1982.06.16	71
-6,4	min	1981.04.17	35
36,7	max	1916.06.10	68
2,6	min	2001.08.31	61
-3,6	min	2002.10.08	61
27,2	max	1961.04.15	43
28,5	max	1986.04.07	107
36	max	1905.09.13	80
25,6	max	1935.10.21	30
22,2	max	1972.03.16	3
-26	min	1982.01.14	31
24	max	2002.11.15	65
34,7	max	2007.05.22	53
1,7	min	2006.06.09	61
17	max	1995.01.26	95
16,8	max	1944.02.02	22
-18,8	min	2006.03.09	15
34,4	max	2005.05.30	107
5,2	min	1919.07.24	63
-24,6	min	1947.01.07	30
3,5	min	2012.08.14	61
-24,1	min	1947.01.30	43
0	min	1911.09.12	133
-0,7	min	1966.05.30	59
39	max	1905.08.03	39
32,9	max	2012.05.01	145
36,6	max	1927.06.03	44
17	max	1948.01.14	81
-25,1	min	1985.02.13	106
41,3	max	1950.07.05	72
-9,3	min	2013.10.04	61
-1,5	min	1997.09.21	119
4,5	min	1984.07.04	59
1,8	min	2000.06.17	61
16,7	max	1975.01.06	84
5,2	min	1937.07.12	63
1,3	min	2009.06.14	61
