"IAZON";"EMBER1";"EMBER2"
0;1;0
1;0;2
2;5;0
3;0;7
4;0;9
5;13;0
6;0;15
7;16;0
8;0;17
9;20;0
10;23;0
11;24;0
12;0;27
13;0;28
14;29;0
15;0;30
16;32;0
17;33;0
18;0;35
19;0;40
20;42;0
21;0;43
22;0;45
23;46;0
24;0;50
25;1;2
26;1;3
27;5;1
28;11;1
29;1;15
30;19;1
31;22;1
32;25;1
33;28;1
34;1;32
35;33;1
36;35;1
37;36;1
38;1;38
39;39;1
40;1;42
41;43;1
42;1;49
43;5;2
44;6;2
45;7;2
46;2;9
47;2;10
48;2;16
49;17;2
50;2;19
51;2;25
52;2;26
53;31;2
54;32;2
55;2;33
56;2;34
57;35;2
58;2;39
59;2;40
60;41;2
61;44;2
62;45;2
63;47;2
64;2;48
65;2;50
66;5;3
67;6;3
68;7;3
69;3;8
70;3;9
71;3;11
72;14;3
73;16;3
74;21;3
75;22;3
76;3;24
77;3;26
78;28;3
79;32;3
80;33;3
81;35;3
82;40;3
83;3;41
84;42;3
85;43;3
86;3;44
87;6;4
88;8;4
89;4;9
90;10;4
91;4;11
92;13;4
93;17;4
94;4;19
95;4;22
96;4;24
97;25;4
98;27;4
99;4;29
100;4;33
101;36;4
102;4;38
103;42;4
104;4;47
105;4;48
106;4;49
107;50;4
108;5;6
109;5;7
110;5;9
111;12;5
112;5;14
113;16;5
114;5;17
115;5;20
116;5;21
117;5;23
118;5;25
119;5;28
120;31;5
121;5;34
122;5;35
123;36;5
124;37;5
125;39;5
126;5;40
127;43;5
128;5;44
129;5;45
130;5;46
131;5;47
132;5;48
133;49;5
134;5;50
135;9;6
136;6;13
137;16;6
138;17;6
139;19;6
140;6;22
141;6;23
142;6;28
143;6;29
144;30;6
145;6;35
146;6;37
147;45;6
148;50;6
149;10;7
150;11;7
151;7;13
152;7;14
153;15;7
154;21;7
155;22;7
156;23;7
157;25;7
158;26;7
159;27;7
160;7;31
161;35;7
162;36;7
163;38;7
164;7;39
165;40;7
166;41;7
167;7;43
168;7;45
169;7;46
170;7;47
171;7;48
172;9;8
173;12;8
174;8;16
175;17;8
176;8;18
177;21;8
178;22;8
179;8;25
180;8;26
181;28;8
182;30;8
183;8;32
184;34;8
185;8;36
186;8;38
187;39;8
188;8;40
189;8;42
190;43;8
191;8;44
192;47;8
193;48;8
194;49;8
195;9;11
196;9;13
197;16;9
198;9;17
199;9;18
200;9;20
201;23;9
202;25;9
203;27;9
204;9;29
205;9;31
206;34;9
207;9;35
208;36;9
209;39;9
210;9;41
211;9;42
212;9;43
213;9;44
214;9;46
215;9;47
216;9;48
217;9;50
218;11;10
219;12;10
220;10;16
221;19;10
222;10;20
223;21;10
224;10;22
225;10;24
226;10;26
227;10;27
228;10;28
229;29;10
230;10;38
231;10;39
232;10;42
233;10;43
234;10;44
235;46;10
236;10;47
237;10;50
238;12;11
239;13;11
240;15;11
241;11;16
242;11;17
243;11;20
244;11;25
245;31;11
246;11;34
247;36;11
248;44;11
249;11;45
250;47;11
251;48;11
252;11;50
253;12;13
254;14;12
255;15;12
256;16;12
257;17;12
258;21;12
259;22;12
260;23;12
261;12;24
262;12;26
263;12;27
264;30;12
265;12;32
266;12;34
267;12;37
268;12;38
269;39;12
270;12;40
271;12;41
272;42;12
273;49;12
274;12;50
275;18;13
276;19;13
277;21;13
278;22;13
279;24;13
280;28;13
281;13;29
282;13;30
283;32;13
284;33;13
285;34;13
286;36;13
287;38;13
288;13;39
289;40;13
290;13;43
291;13;44
292;48;13
293;49;13
294;13;50
295;14;15
296;14;16
297;14;17
298;14;19
299;25;14
300;28;14
301;29;14
302;14;30
303;14;31
304;32;14
305;14;33
306;34;14
307;35;14
