foglalasazon;utasazon;utazon
1;41;211
2;328;42
3;1051;289
4;266;230
5;321;245
6;1195;80
7;1223;248
8;608;242
9;105;174
10;1075;224
11;49;149
12;1272;297
13;584;234
14;881;162
15;1265;191
16;1357;104
17;1143;215
18;1083;112
19;95;245
20;1390;279
21;536;250
22;956;74
23;506;294
24;1080;91
25;631;65
26;829;274
27;959;292
28;63;14
29;1167;27
30;1334;122
31;1155;9
32;157;77
33;497;97
34;1161;154
35;1288;82
36;109;14
37;843;275
38;801;87
39;1294;64
40;845;13
41;44;155
42;303;168
43;103;78
44;221;266
45;1304;276
46;20;125
47;885;62
48;1273;221
49;448;163
50;1357;212
51;1302;222
52;968;231
53;166;289
54;27;166
55;259;281
56;1449;203
57;264;117
58;295;253
59;155;229
60;293;48
61;1417;50
62;734;217
63;127;173
64;253;132
65;1418;87
66;969;34
67;1309;188
68;1014;228
69;424;267
70;930;58
71;73;166
72;1440;259
73;213;221
74;102;274
75;785;266
76;325;158
77;427;223
78;1275;146
79;55;163
80;142;8
81;827;140
82;794;267
83;981;102
84;295;200
85;541;179
86;1307;111
87;407;142
88;865;78
89;313;140
90;519;280
91;167;11
92;366;192
93;256;167
94;939;258
95;338;155
96;989;45
97;599;294
98;128;58
99;1490;85
100;356;45
101;938;297
102;456;70
103;933;30
104;1270;157
105;987;146
106;845;17
107;971;187
108;460;47
109;1326;153
110;522;1
111;650;269
112;1339;139
113;1155;220
114;1269;53
115;1007;258
116;1246;260
117;537;294
118;673;283
119;1323;252
120;1202;92
121;1155;211
122;376;132
123;1370;14
124;657;221
125;1060;153
126;822;21
127;662;29
128;1240;189
129;1416;191
130;514;299
131;705;145
132;11;142
133;1260;140
134;1256;197
135;1249;29
136;708;81
137;1241;6
138;1408;72
139;1035;216
140;1001;10
141;1378;139
142;1136;65
143;45;155
144;738;91
145;306;179
146;159;244
147;256;167
148;1197;187
149;528;109
150;1500;158
151;383;85
152;1335;19
153;165;104
154;239;184
155;1139;13
