utazon;irodaazon;uttip;uticel;indulas;napok;ar
1;11;1;"Svájc";2010.12.30;7;172900
2;10;3;"Észak-Írország";2010.3.15;14;267400
3;20;3;"New York";2010.4.10;4;87200
4;11;2;"Horvátország";2010.7.25;10;188000
5;9;2;"Spanyolország";2010.12.6;21;384300
6;16;3;"Párizs";2010.8.23;7;121100
7;16;1;"Szlovákia";2010.6.16;21;406350
8;3;3;"Szlovákia";2010.3.1;7;127750
9;3;2;"Manchester";2010.9.21;4;83400
10;12;1;"Dublin";2010.5.27;3;68400
11;8;3;"Szlovénia";2010.11.24;14;348600
12;4;1;"Berlin";2010.8.27;7;139300
13;19;2;"Wales";2010.10.20;14;298200
14;13;1;"Manchester";2010.3.20;4;78200
15;20;1;"London";2010.11.12;4;88600
16;20;2;"Lettország";2010.8.16;10;181000
17;19;1;"New York";2010.1.14;3;54450
18;16;2;"Törökország";2010.12.1;14;226800
19;13;2;"Washington";2010.6.11;3;54450
20;1;2;"Szlovénia";2010.2.14;7;135100
21;14;3;"Spanyolország";2010.3.11;10;207500
22;17;2;"Szófia";2010.12.20;3;62400
23;7;3;"Róma";2010.4.28;7;128100
24;4;1;"Monaco";2010.9.3;7;119700
25;15;1;"Észak-Írország";2010.8.7;10;241000
26;15;1;"Szlovákia";2010.9.10;14;224000
27;16;3;"Pisa";2010.11.28;3;63450
28;7;1;"Luxembourg";2010.8.10;3;50700
29;17;3;"Erdély";2010.3.19;21;507150
30;4;1;"Szófia";2010.11.15;7;167650
31;18;3;"Varsó";2010.6.10;4;94400
32;19;3;"Párizs";2010.10.1;3;64050
33;16;3;"Wales";2010.11.28;21;473550
34;5;1;"Törökország";2010.1.25;7;149800
35;2;1;"Szlovákia";2010.12.13;21;332850
36;8;2;"Dél-Franciaország";2010.5.9;7;175000
37;14;3;"Finnország";2010.8.2;7;152250
38;13;2;"Spanyolország";2010.8.21;14;343700
39;1;1;"Lettország";2010.5.14;21;341250
40;16;1;"Spanyolország";2010.8.14;7;136150
41;11;3;"Róma";2010.8.12;3;59700
42;8;3;"Varsó";2010.2.25;3;72300
43;1;2;"Szlovénia";2010.7.6;7;116550
44;19;3;"Málta";2010.5.30;14;256900
45;15;1;"Róma";2010.3.7;4;64200
46;7;3;"Belgium";2010.12.19;21;428400
47;9;3;"Róma";2010.4.7;4;68200
48;10;3;"Spanyolország";2010.3.15;14;312900
49;13;1;"Törökország";2010.6.7;7;174650
50;11;3;"Pozsony";2010.10.18;4;73000
51;7;3;"Dublin";2010.2.9;3;62100
52;18;1;"Belgium";2010.2.6;14;339500
53;17;3;"Marseille";2010.8.10;3;66750
54;16;3;"Cannes";2010.2.18;3;65850
55;18;1;"Spanyolország";2010.10.6;21;402150
56;3;2;"Görögország";2010.1.3;21;497700
57;20;2;"Ciprus";2010.9.18;21;402150
58;5;3;"Moszkva";2010.6.9;3;61500
59;20;2;"New York";2010.11.2;4;69400
60;6;2;"Berlin";2010.2.21;7;157850
61;1;3;"Spanyolország";2010.1.18;21;375900
