mtazon;mesterazon;tevekenysegazon
1;1;5
2;1;14
3;1;7
4;1;3
5;1;7
6;2;28
7;2;6
8;2;10
9;3;12
10;4;9
11;4;27
12;4;7
13;5;1
14;5;17
15;6;24
16;6;18
17;6;25
18;6;14
19;8;10
20;9;17
21;9;19
22;9;13
23;9;22
24;10;19
25;10;25
26;10;27
27;11;10
28;12;4
29;12;14
30;12;22
31;12;29
32;14;29
33;14;1
34;15;5
35;16;20
36;17;9
37;17;29
38;17;18
39;18;19
40;20;26
41;20;8
42;21;2
43;21;13
44;21;7
45;22;5
46;22;18
47;23;13
48;23;17
49;23;9
50;23;3
51;23;17
52;23;13
53;24;1
54;24;8
55;24;8
56;24;29
57;24;30
58;24;29
59;26;17
60;26;7
61;27;30
62;28;19
63;29;20
64;29;29
65;29;2
66;30;3
67;30;18
68;30;9
69;30;21
70;31;18
71;31;8
72;33;2
73;33;15
74;34;2
75;34;13
76;34;3
77;35;2
78;36;18
79;36;11
80;37;26
81;39;30
82;39;7
83;39;16
84;39;14
85;39;6
86;40;29
87;41;14
88;42;17
89;43;17
90;43;2
91;45;28
92;46;1
93;46;20
94;46;15
95;47;18
96;47;12
97;47;28
98;47;24
99;47;13
100;48;24
101;48;30
102;49;29
103;49;30
104;49;5
105;49;6
106;50;26
107;50;9
108;51;17
109;52;11
110;52;18
111;52;16
112;53;24
113;54;3
114;54;12
115;54;18
116;56;13
117;56;25
118;56;16
119;57;6
120;57;23
121;57;20
122;58;21
123;58;27
124;59;11
125;59;1
126;59;12
127;59;21
128;60;18
129;60;24
130;61;25
131;61;18
132;61;19
133;61;19
134;62;23
135;62;22
136;63;15
137;63;16
138;63;30
139;65;14
140;65;12
141;65;22
142;65;20
143;66;24
144;66;18
145;66;22
146;67;5
147;67;6
148;67;3
149;67;17
150;67;2
151;67;13
152;68;23
153;68;16
154;69;13
155;69;26
156;69;28
157;70;25
158;72;11
159;72;26
160;73;26
161;73;24
162;73;21
163;73;14
164;73;18
165;74;5
166;74;1
167;75;13
168;75;9
169;76;20
170;77;29
171;78;10
172;78;13
173;78;25
174;79;24
175;79;3
176;79;18
177;79;3
178;80;1
179;80;21
180;80;8
181;80;3
182;82;16
183;82;1
184;82;28
185;82;7
186;82;24
187;82;7
188;83;18
189;84;20
190;84;13
191;85;30
192;85;12
193;86;2
194;86;29
195;86;14
196;87;13
197;88;9
198;88;22
199;89;28
200;90;25
201;90;23
202;91;10
203;92;8
204;92;13
205;92;10
206;92;1
207;92;10
208;92;2
209;93;10
210;93;16
211;93;16
212;94;21
213;94;30
214;95;30
215;96;28
216;96;14
217;97;30
218;97;9
219;98;12
220;98;4
221;99;6
222;100;19
223;100;1
224;100;17
225;100;24
226;101;3
227;102;29
228;103;28
229;104;21
230;104;28
231;104;5
232;104;14
233;105;29
234;105;19
235;105;22
236;106;5
237;107;25
238;107;13
239;107;12
240;107;8
241;108;18
242;109;7
243;111;2
244;111;6
245;111;1
246;111;14
247;112;30
248;112;21
249;113;29
250;113;15
251;115;23
252;115;8
253;115;3
254;115;29
255;116;26
256;116;19
257;117;4
258;118;21
259;118;12
260;119;26
261;119;29
262;119;21
263;119;1
264;119;12
265;119;14
266;119;11
267;120;3
268;121;12
269;121;2
270;121;29
271;122;6
272;123;14
273;125;1
274;125;18
275;126;23
276;126;16
277;126;23
278;127;30
279;127;5
280;128;27
281;129;7
282;129;27
283;130;22
284;130;24
285;130;1
286;131;14
287;131;11
288;132;25
289;135;6
290;135;8
291;135;6
292;137;1
293;137;25
294;137;1
295;139;14
296;139;28
297;139;10
298;141;2
299;142;24
300;142;28
301;144;18
302;145;22
303;146;20
304;146;30
305;146;24
306;147;7
307;147;30
308;147;15
309;147;26
310;147;19
311;148;10
312;149;11
313;149;1
314;150;1
315;150;22
316;150;16
317;153;19
318;153;7
319;154;15
320;155;15
321;155;7
322;156;10
323;156;22
324;157;7
325;158;27
326;158;28
327;159;10
328;159;11
329;159;25
330;160;8
331;161;6
332;162;17
333;162;5
334;164;21
335;165;20
336;165;3
337;167;3
338;169;19
339;170;6
340;170;26
