munkaazon;megrendeloazon;mtazon;megrenddatum;teljdatum;munkadij;garancia
1;243;214;2009.01.01;2009.01.07;90000;3
2;207;198;2009.01.02;2009.01.17;1000;2
3;294;209;2009.01.02;2009.01.17;12000;2
4;45;60;2009.01.03;2009.01.14;81000;1
5;67;68;2009.01.03;2009.01.31;12000;3
6;72;316;2009.01.03;2009.01.05;24000;2
7;196;176;2009.01.04;2009.02.02;95000;1
8;134;295;2009.01.04;2009.02.02;40000;3
9;186;52;2009.01.04;2009.01.12;15000;1
10;119;82;2009.01.04;2009.01.19;67000;3
11;107;114;2009.01.05;2009.01.16;61000;2
12;23;145;2009.01.06;2009.01.25;67000;3
13;240;241;2009.01.06;2009.01.08;71000;1
14;269;40;2009.01.07;2009.01.30;59000;3
15;281;105;2009.01.07;2009.01.09;76000;3
16;81;313;2009.01.07;2009.01.10;68000;1
17;187;79;2009.01.07;2009.01.22;58000;1
18;147;267;2009.01.07;2009.01.18;1000;2
19;78;288;2009.01.07;2009.01.11;42000;2
20;91;320;2009.01.07;2009.01.11;48000;1
21;243;171;2009.01.08;2009.01.24;10000;3
22;91;72;2009.01.08;2009.02.07;13000;1
23;288;31;2009.01.08;2009.01.13;40000;2
24;7;299;2009.01.08;2009.01.12;57000;3
25;123;313;2009.01.08;2009.01.12;71000;2
26;151;176;2009.01.08;2009.02.06;85000;3
27;182;254;2009.01.08;2009.01.17;89000;2
28;174;147;2009.01.09;2009.01.22;39000;1
29;148;324;2009.01.09;2009.01.24;43000;3
30;60;208;2009.01.09;2009.01.11;30000;3
31;286;55;2009.01.09;2009.01.30;85000;3
32;148;126;2009.01.09;2009.01.11;84000;2
33;34;286;2009.01.09;2009.01.31;34000;2
34;163;24;2009.01.10;2009.01.19;27000;1
35;175;221;2009.01.10;2009.01.11;62000;1
36;259;191;2009.01.10;2009.01.18;78000;2
37;146;191;2009.01.10;2009.02.07;11000;1
38;51;101;2009.01.11;2009.01.21;79000;3
39;203;26;2009.01.12;2009.01.18;33000;3
40;278;76;2009.01.12;2009.01.19;49000;2
41;148;4;2009.01.12;2009.01.29;49000;2
42;236;305;2009.01.12;2009.02.02;57000;3
43;43;231;2009.01.13;2009.02.10;46000;2
44;243;152;2009.01.13;2009.01.22;25000;2
45;98;162;2009.01.13;2009.02.04;81000;2
46;38;111;2009.01.14;2009.01.17;55000;2
47;267;53;2009.01.14;2009.01.22;30000;1
48;159;329;2009.01.14;2009.02.09;77000;3
49;143;112;2009.01.15;2009.02.12;46000;3
50;4;266;2009.01.15;2009.01.19;33000;2
51;145;333;2009.01.15;2009.01.26;50000;1
52;85;55;2009.01.15;2009.02.13;71000;1
53;277;335;2009.01.15;2009.02.13;44000;3
54;241;116;2009.01.16;2009.02.08;76000;3
55;264;336;2009.01.16;2009.01.27;50000;2
56;280;115;2009.01.16;2009.02.10;19000;1
57;183;33;2009.01.16;2009.02.07;78000;1
58;13;117;2009.01.16;2009.01.24;36000;3
59;178;71;2009.01.17;2009.02.04;10000;3
60;249;78;2009.01.17;2009.01.30;28000;3
61;32;6;2009.01.17;2009.02.08;15000;3
62;85;18;2009.01.17;2009.01.31;87000;1
63;285;317;2009.01.18;2009.01.27;90000;2
64;226;263;2009.01.18;2009.01.29;50000;1
65;176;169;2009.01.18;2009.01.22;24000;3
66;91;178;2009.01.19;2009.02.12;72000;1
67;216;15;2009.01.19;2009.01.22;85000;3
68;71;42;2009.01.19;2009.02.17;33000;1
69;18;218;2009.01.19;2009.02.10;35000;1
70;133;257;2009.01.19;2009.01.22;56000;3
71;272;205;2009.01.19;2009.01.22;71000;2
72;13;311;2009.01.20;2009.02.16;70000;3
73;224;36;2009.01.20;2009.01.21;86000;2
74;87;30;2009.01.20;2009.02.12;74000;1
75;260;228;2009.01.20;2009.02.12;59000;3
76;286;265;2009.01.21;2009.02.05;49000;2
77;262;192;2009.01.21;2009.02.18;71000;3
78;155;280;2009.01.22;2009.02.02;79000;1
79;178;132;2009.01.22;2009.02.18;42000;3
80;239;37;2009.01.22;2009.02.05;4000;1
81;168;134;2009.01.23;2009.02.19;94000;3
82;24;46;2009.01.23;2009.02.05;97000;2
83;96;101;2009.01.23;2009.02.15;44000;1
84;201;26;2009.01.23;2009.02.20;65000;1
85;16;217;2009.01.23;2009.01.27;14000;3
86;165;69;2009.01.24;2009.01.25;74000;2
87;104;318;2009.01.24;2009.02.05;74000;1
88;148;305;2009.01.24;2009.02.23;4000;1
89;45;73;2009.01.24;2009.02.01;1000;1
90;244;203;2009.01.25;2009.02.20;24000;1
91;34;220;2009.01.25;2009.02.06;73000;3
92;226;119;2009.01.25;2009.02.09;93000;3
93;282;121;2009.01.26;2009.02.12;80000;1
94;277;314;2009.01.26;2009.01.27;85000;3
95;157;226;2009.01.27;2009.02.18;65000;3
96;162;182;2009.01.28;2009.02.27;45000;1
97;226;109;2009.01.28;2009.02.08;85000;3
98;74;245;2009.01.28;2009.02.04;62000;3
