"SZAZON";"EMBER";"FILM"
1;44;10
2;29;12
3;31;8
4;29;4
5;6;4
6;49;9
7;11;8
8;32;6
9;18;5
10;12;8
11;23;9
12;37;11
13;19;10
14;22;2
15;38;7
16;38;5
17;21;7
18;20;7
19;14;10
20;6;5
21;37;2
22;21;9
23;29;11
24;19;7
25;29;9
26;36;10
27;45;9
28;16;10
29;22;9
30;38;6
31;31;5
32;39;9
33;28;3
34;18;9
35;43;9
36;27;6
37;22;11
38;23;4
39;28;5
40;29;7
41;18;6
42;34;6
43;43;8
44;26;2
45;34;6
46;45;5
47;36;8
48;18;8
49;41;2
50;6;7
51;17;2
52;25;8
53;29;8
54;23;7
55;5;10
56;23;3
57;32;7
58;13;11
59;15;7
60;48;7
61;43;9
62;14;7
63;28;5
64;24;6
65;28;8
66;44;8
67;42;11
68;24;8
69;23;5
70;14;9
71;26;6
72;32;6
73;37;7
74;18;9
75;10;4
76;29;4
77;27;9
78;27;2
79;36;1
80;25;5
81;37;6
82;23;3
83;29;10
84;43;11
85;25;6
86;42;9
87;52;8
88;14;9
89;40;4
90;31;7
91;35;7
92;31;4
93;43;5
94;6;2
95;31;5
96;24;8
97;17;8
98;46;7
99;27;4
100;21;1
101;22;3
102;13;5
103;18;3
104;35;1
105;28;7
106;34;8
107;44;4
108;29;11
109;40;10
110;33;8
111;41;9
112;16;8
113;14;10
114;26;3
115;30;11
116;28;7
117;32;8
118;23;8
119;13;7
120;27;1
121;34;11
122;35;8
123;19;5
124;4;6
125;48;5
126;30;10
127;14;11
128;30;5
129;27;10
130;11;7
131;31;5
132;5;9
133;47;5
134;7;8
135;29;5
136;28;9
137;19;10
138;18;10
