KSHkod;Telepules;Jazon;KTazon;KJazon;KJszekhely;Terulet;Nepesseg
1508;Ipolyszög;2;4201;6;Balassagyarmat;611;648
1526;Somoskőújfalu;2;4205;1;;233;2226
2015;Ráckeresztúr;2;3710;1;;3530;3311
2024;Martonyi;2;3502;6;Szalonna;1757;400
2033;Kakasd;2;4701;1;;2079;1613
2042;Narda;2;4808;6;Felsőcsatár;1035;513
2051;Sávoly;2;4406;4;Helyben;2684;490
2060;Gönyű;2;3802;1;;2163;3140
2079;Dunaremete;2;3804;6;Darnózseli;436;251
2088;Mánd;2;4503;6;Vámosoroszi;517;264
2097;Gutorfölde;2;5002;4;Helyben;2485;1076
2103;Maróc;2;5003;6;Bázakerettye;516;87
2112;Budapest XVII. kerület;1;3101;1;;5482;78442
2121;Csanádalberti;2;3604;6;Ambrózfalva;1532;455
2130;Mihályfa;2;5006;4;Helyben;1207;384
2149;Foktő;2;3303;4;Helyben;3146;1626
2158;Muhi;2;3501;6;Nyékládháza;962;552
2167;Komádi;6;3902;3;Helyben;14465;5373
2185;Csopak;2;4903;1;;2398;1588
2194;Nemesvámos;2;4908;4;Helyben;4077;2519
2200;Isztimér;2;3705;4;Helyben;5388;967
2219;Balatonfűzfő;6;4902;1;;925;4314
2228;Martonfa;2;3208;6;Pécsvárad;569;203
2237;Vág;2;3801;4;Helyben;1403;493
2246;Vát;2;4808;1;;2327;677
2264;Vásárosdombó;2;3203;4;Helyben;1174;1134
2273;Abaújvár;2;3512;4;Helyben;736;217
2282;Hejőkürt;2;3511;6;Nemesbikk;1490;318
2291;Tiszabábolna;2;3514;4;Helyben;3271;378
2307;Kaba;6;3907;1;;9504;6000
2316;Etyek;2;3701;1;;5327;4319
2325;Baktalórántháza;6;4501;1;;3525;4282
2343;Kincsesbánya;2;3705;6;Isztimér;1087;1505
2352;Újkígyós;6;3401;3;Helyben;5492;5376
2361;Nagybajcs;2;3802;1;;765;918
2370;Rád;2;4309;1;;1774;1891
2389;Bercel;2;4201;4;Helyben;3588;2022
2404;Surd;2;5004;4;Helyben;2194;628
2413;Kisbabot;2;3806;6;Enese;610;204
2422;Hegyesd;2;4906;6;Monostorapáti;1105;153
2431;Bük;6;4802;1;;2086;3410
2440;Szatta;2;4805;6;Őriszentpéter;601;67
2459;Vajta;2;3706;6;Cece;2343;1053
2468;Hegymeg;2;3502;6;Tomor;570;108
2477;Csombárd;2;4404;6;Hetes;899;294
2486;Zalacséb;2;5005;4;Helyben;963;548
