KTazon;KTnev;KTszekhely;Mazon
3101;Budapesti;Budapest;7
3201;Komlói;Komló;2
3202;Mohácsi;Mohács;2
3203;Sásdi;Sásd;2
3204;Sellyei;Sellye;2
3205;Siklósi;Siklós;2
3206;Szigetvári;Szigetvár;2
3207;Pécsi;Pécs;2
3208;Pécsváradi;Pécsvárad;2
3209;Szentlőrinci;Szentlőrinc;2
3301;Bajai;Baja;1
3302;Bácsalmási;Bácsalmás;1
3303;Kalocsai;Kalocsa;1
3304;Kecskeméti;Kecskemét;1
3305;Kiskőrösi;Kiskőrös;1
3306;Kiskunfélegyházai;Kiskunfélegyháza;1
3307;Kiskunhalasi;Kiskunhalas;1
3308;Kiskunmajsai;Kiskunmajsa;1
3309;Kunszentmiklósi;Kunszentmiklós;1
3310;Jánoshalmai;Jánoshalma;1
3401;Békéscsabai;Békéscsaba;3
3402;Mezőkovácsházai;Mezőkovácsháza;3
3403;Orosházai;Orosháza;3
3404;Sarkadi;Sarkad;3
3405;Szarvasi;Szarvas;3
3406;Szeghalomi;Szeghalom;3
3407;Békési;Békés;3
3408;Gyulai;Gyula;3
3501;Miskolci;Miskolc;4
3502;Edelényi;Edelény;4
3503;Encsi;Encs;4
3504;Kazincbarcikai;Kazincbarcika;4
3505;Mezőkövesdi;Mezőkövesd;4
3506;Ózdi;Ózd;4
3507;Sárospataki;Sárospatak;4
3508;Sátoraljaújhelyi;Sátoraljaújhely;4
3509;Szerencsi;Szerencs;4
3510;Szikszói;Szikszó;4
3511;Tiszaújvárosi;Tiszaújváros;4
3512;Abaúj-Hegyközi;Gönc;4
3513;Bodrogközi;Cigánd;4
3514;Mezőcsáti;Mezőcsát;4
3515;Tokaji;Tokaj;4
3601;Csongrádi;Csongrád;5
3602;Hódmezővásárhelyi;Hódmezővásárhely;5
3603;Kisteleki;Kistelek;5
3604;Makói;Makó;5
3605;Mórahalomi;Mórahalom;5
3606;Szegedi;Szeged;5
3607;Szentesi;Szentes;5
3701;Bicskei;Bicske;6
3702;Dunaújvárosi;Dunaújváros;6
3703;Enyingi;Enying;6
3704;Gárdonyi;Gárdony;6
3705;Móri;Mór;6
3706;Sárbogárdi;Sárbogárd;6
3707;Székesfehérvári;Székesfehérvár;6
3708;Abai;Aba;6
3709;Adonyi;Adony;6
3710;Ercsi;Ercsi;6
3801;Csornai;Csorna;8
3802;Győri;Győr;8
3803;Kapuvár-Beledi;Kapuvár;8
3804;Mosonmagyaróvári;Mosonmagyaróvár;8
3805;Sopron-Fertődi;Sopron;8
3806;Téti;Tét;8
3807;Pannonhalmai;Pannonhalma;8
3901;Balmazújvárosi;Balmazújváros;9
3902;Berettyóújfalui;Berettyóújfalu;9
3903;Debreceni;Debrecen;9
3904;Hajdúböszörményi;Hajdúböszörmény;9
3905;Hajdúszoboszlói;Hajdúszoboszló;9
3906;Polgári;Polgár;9
3907;Püspökladányi;Püspökladány;9
3908;Derecske-Létavértesi;Létavértes;9
