TelepulesID;TeruletNeve;TipusID;TeruletHa;FolyoM;UtolsoM;UtolsoSz;SzamlalDb
1;Abai rét;13;488,97;;2013.10.3 18:39:00;2012.11.6;4
1;Holdvilág tavak és szikesek;5;93,93;;2014.2.19 9:56:00;2014.2.14;102
2;Abdai Holt-Rábca;6;32,51;;2014.2.3 21:07:00;2011.8.24;6
3;Abonyi-bányatavak;1;138,53;;2014.3.9 11:42:00;2014.3.9;109
4;Lovadi-rét;13;193,96;;2013.12.3 13:33:00;2013.7.14;1
4;Ács, Cukorgyári-ülepítők;18;54,50;;2013.12.2 13:59:00;2013.7.30;15
5;Sinkár-tó;19;72,58;;2011.8.28 22:23:00;1994.8.10;4
6;Öreg-hany;13;84,03;;2014.3.21 21:28:00;;0
7;Kis tó;17;1,50;;2012.1.16 16:24:00;1988.7.17;2
8;Líviai-halastavak;5;295,92;;2013.5.17 9:25:00;2013.4.17;60
9;Lőrintei-víztározó;19;34,68;;2012.2.16 11:50:00;1993.12.23;44
9;Vörösiszap tároló kazetták;8;167,72;;2012.1.13 11:50:00;1992.3.14;1
10;Akasztói-halastavak;5;496,43;;2012.10.20 19:23:00;2003.9.28;3
11;Tisza 191-193 fkm;4;26,57;2000;2014.3.2 16:41:00;2014.2.3;1
11;Atkai-holtág;6;152,72;;2013.1.30 10:34:00;2013.1.29;91
12;Almásfüzitői Kavicsbányató;9;25,31;;2013.12.3 11:54:00;2013.7.30;5
13;Alsómocsoládi-halastavak;5;168,98;;2013.7.2 12:36:00;1991.6.16;1
14;Betonelemgyári-kavicsbányató;9;106,94;;2012.10.22 18:48:00;2008.12.28;15
14;Simárd, Új Kavicsbányató;9;10,46;;2013.10.3 12:42:00;;0
14;N-Zoll Trans Kft. 1. sz. Kavicsbányatava;9;28,45;;2013.10.3 12:39:00;;0
15;Apagyi horgásztó;7;12,08;;2012.3.1 20:43:00;2012.2.27;4
16;Ürbői-halastavak;5;444,96;;2011.11.18 15:08:00;2010.10.3;26
17;Aranyos Holt-Tisza;6;10,32;;2012.12.14 21:31:00;;0
18;Darányitelepi tavak;17;14,33;;2014.3.2 15:22:00;2014.3.2;16
19;víztározó;19;52,01;;2014.3.22 9:12:00;2014.3.21;6
19;Sós-tó;15;8,55;;2014.3.17 20:30:00;2014.3.17;69
20;Duna, Baja - déli országhatár között;4;2332,17;4400;2013.10.29 10:01:00;2008.4.18;54
21;Ipolyszögi-égerláp;11;106,14;;2010.11.15 14:15:00;;0
22;Őszeszék;15;71,95;;2013.8.27 15:52:00;2013.3.26;167
22;Müller-szék;15;135,76;;2013.8.27 15:44:00;2013.3.26;146
23;Irmapusztai-halastavak;5;399,22;;2012.12.6 18:07:00;2008.10.3;13
24;Magdolna-puszta;14;950,36;;2013.5.12 8:13:00;1989.12.30;29
24;Nyírőlapos és Nyárijárás;14;1640,10;;2013.5.4 11:31:00;1989.4.16;19
24;Nagyszik;15;447,66;;2013.10.21 14:01:00;2012.10.13;222
24;Nyírőlapos;14;624,82;;2013.10.21 16:08:00;2012.12.15;131
24;Virágoskúti-halastó;5;1798,26;;2014.1.8 21:25:00;2013.12.15;505
24;Nyárijárás;14;1010,97;;2013.10.21 15:01:00;2011.11.16;3
25;Tisza, 559.5-557 fkm;4;37,42;2500;2013.1.18 21:06:00;2013.1.12;3
26;Barbacsi-tó;5;205,01;;2014.1.14 16:03:00;;0
27;Bátai-holtág;6;65,50;;2013.10.13 19:18:00;;0
27;Nyéki-Holt-Duna;6;36,44;;2013.10.13 19:08:00;;0
28;BAFAMI trágyaszikkasztó;18;8,00;;2014.3.10 21:11:00;2014.3.10;28
29;Bébi-tó;17;0,47;;2012.1.16 16:23:00;1988.6.11;6
30;Fehérháti-halastavak;5;105,40;;2013.10.3 15:21:00;;0
31;Biatorbágyi-halastavak;5;200,85;;2012.10.23 18:43:00;2005.3.14;1
32;Biharugrai-halastavak;5;815,70;;2014.2.14 16:52:00;2013.12.28;286
33;Bikali-halastavak;5;58,52;;2013.7.2 12:47:00;1991.6.16;1
34;Biri külterület;11;7,68;;2013.12.15 15:05:00;2013.4.21;1
35;Bogácsi-víztározó;19;17,77;;2014.2.16 16:34:00;2014.2.10;11
36;Bokodi-tó;19;176,48;;2014.1.14 16:28:00;2013.12.19;15
37;Dráva, Bolhó - Péterhida között;4;271,39;1200;2011.11.29 21:54:00;2008.12.14;8
38;Rábca-ártér;6;134,63;;2014.2.23 21:25:00;2014.2.22;27
39;Nyirkai-Hany;17;440,24;;2013.11.28 18:13:00;2013.8.24;84
40;Duna, Bp. FOKA-öböl - Adony között;4;2589,23;620;2012.10.19 13:53:00;;0
41;Rákos-patak, Egressy út - Szugló utca;12;1,17;500;2014.1.11 14:28:00;2014.1.11;36
42;Naplás-tó;19;13,90;;2014.3.14 9:08:00;2014.3.13;5
43;Bika-rét;11;54,84;;2013.12.20 16:42:00;2013.5.22;1
44;Lacul Cefa;5;754,78;;2012.3.1 16:48:00;;0
45;Nagy-szék;16;1700,77;;2014.3.22 14:57:00;2014.3.22;29
