Het	Helyezett	SzamAzon
1	1	22
1	2	32
1	3	36
1	4	2
1	5	6
1	6	21
1	7	3
1	8	38
1	9	8
1	10	12
1	11	47
1	12	49
1	13	16
1	14	23
1	15	20
1	16	18
1	17	35
1	18	4
1	19	24
1	20	37
1	21	43
1	22	55
1	23	60
1	24	46
1	25	39
1	26	30
1	27	19
1	28	28
1	29	54
1	30	53
1	31	5
1	32	29
1	33	44
1	34	45
1	35	31
1	36	25
1	37	34
1	38	27
1	39	10
1	40	14
2	1	22
2	2	21
2	3	32
2	4	47
2	5	2
2	6	36
2	7	23
2	8	38
2	9	6
2	10	49
2	11	20
2	12	43
2	13	18
2	14	12
2	15	24
2	16	3
2	17	37
2	18	4
2	19	55
2	20	46
2	21	14
2	22	8
2	23	16
2	24	35
2	25	39
2	26	28
2	27	19
2	28	53
2	29	34
2	30	48
2	31	1
2	32	29
2	33	15
2	34	51
2	35	27
2	36	60
2	37	58
2	38	45
2	39	31
2	40	44
3	1	21
3	2	22
3	3	32
3	4	2
3	5	36
3	6	18
3	7	52
3	8	47
3	9	38
3	10	55
3	11	43
3	12	12
3	13	6
3	14	23
3	15	35
3	16	24
3	17	8
3	18	16
3	19	46
3	20	28
3	21	49
3	22	37
3	23	14
3	24	40
3	25	3
3	26	7
3	27	20
3	28	17
3	29	9
3	30	53
3	31	58
3	32	34
3	33	26
3	34	15
3	35	33
3	36	39
3	37	60
3	38	29
3	39	13
3	40	25
4	1	52
4	2	21
4	3	22
4	4	32
4	5	9
4	6	18
4	7	36
4	8	38
4	9	2
4	10	8
4	11	16
4	12	6
4	13	47
4	14	40
4	15	23
4	16	55
4	17	43
4	18	7
4	19	56
4	20	24
4	21	37
4	22	35
4	23	30
4	24	53
4	25	12
4	26	46
4	27	29
4	28	28
4	29	14
4	30	60
4	31	17
4	32	51
4	33	54
4	34	57
4	35	42
4	36	15
4	37	34
4	38	58
4	39	27
4	40	50
5	1	21
5	2	32
5	3	22
5	4	52
5	5	38
5	6	43
5	7	18
5	8	36
5	9	40
5	10	7
5	11	11
5	12	2
5	13	9
5	14	41
5	15	24
5	16	53
5	17	47
5	18	6
5	19	16
5	20	23
5	21	12
5	22	37
5	23	28
5	24	8
5	25	56
5	26	59
5	27	55
5	28	15
5	29	14
5	30	51
5	31	35
5	32	34
5	33	60
5	34	45
5	35	26
5	36	44
5	37	30
5	38	17
5	39	57
5	40	58
