irányítószám	szobák mérete (m2)					teljes terület (m2)	irányár (MFt)	fajlagos ár (Ft/m2)	szobák területének aránya	szobák száma	fél szobák száma	2 + 2 fél szoba	12
	1. szoba	2. szoba	3. szoba	4. szoba	5. szoba								
4225	24	16	11	9,8		90	20,8						
4028	32	12	10,5	10	9,7	110	25,5						
4032	16	10,5	10,5	10,5		68	14,9						
4025	25	9	10,2			66	15,9						
4025	19,5	9,4	10	9,4	9,5	70	17,2						
4225	24,5	11	12	11,3	10	92	21,2						
4030	40	13	12,5	12,5	9,8	120	27,9						
4031	20	10	9,8	10		69	16,5						
4031	23,5	10,4	10,4			65	15,9						
4024	21	9,6	9,8			66	15,9						
4025	33	14	11,8	10,2		95	22						
4028	32,5	16	12,2	10,8	10,9	120	28,9						
4032	18	10	10,8	11		76	16,7						
4225	19,5	11,3	10,6	11,6		86	18,8						
4026	18,5	8,9	9,8	9,8		72	17,1						
4026	29	11	11			75	17,7						
4028	31	15	12			76	16,3						
4029	30	14	13,2	10,6		103	22,5						
4029	25,5	13,6	11,6	11,5	9,4	113	23,5						
													
irányítószám:													
fajlagos ár:													
